,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Accati Stella,Female,11-01-2025,Prato Nevoso,ITA,Italy,European Cup,Slopestyle,10,27.10
1,Accati Stella,Female,06-04-2024,Alpe di Siusi/Seiseralm,ITA,Italy,National Championships,Slopestyle,4,23.30
2,Accati Stella,Female,05-04-2024,Alpe di Siusi/Seiseralm,ITA,Italy,National Championships,Big Air,5,0.20
3,Accati Stella,Female,30-03-2024,Livigno/Mottolino,ITA,Italy,FIS Junior World Championships,Big Air,22,5.80
4,Accati Stella,Female,28-03-2024,Livigno/Mottolino,ITA,Italy,Qualification,Big Air,22,
5,Accati Stella,Female,26-03-2024,Livigno/Mottolino,ITA,Italy,FIS Junior World Championships,Slopestyle,12,43.90
6,Accati Stella,Female,24-03-2024,Livigno/Mottolino,ITA,Italy,Qualification,Slopestyle,12,
7,Accati Stella,Female,22-02-2024,Prato Nevoso,ITA,Italy,European Cup,Slopestyle,16,13.40
8,Accati Stella,Female,13-10-2023,SnowWorld Landgraaf,NED,Italy,FIS,Slopestyle,11,7.80
9,Accati Stella,Female,12-10-2023,SnowWorld Landgraaf,NED,Italy,FIS,Slopestyle,10,11.00
10,Accati Stella,Female,05-04-2023,Livigno,ITA,Italy,National Championships,Slopestyle,5,15.50
11,Accati Stella,Female,04-12-2022,Glacier 3000,SUI,Italy,Junior,Slopestyle,5,12.50
12,Accati Stella,Female,29-11-2022,Glacier 3000,SUI,Italy,FIS,Slopestyle,8,3.70
