,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Adams Kaitlyn,Female,14-03-2025,Flachau,AUT,United States Of America,World Cup,Slopestyle,26,
1,Adams Kaitlyn,Female,13-03-2025,Flachau,AUT,United States Of America,Qualification,Slopestyle,14,
2,Adams Kaitlyn,Female,05-03-2025,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,10,12.10
3,Adams Kaitlyn,Female,04-03-2025,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,12,0.20
4,Adams Kaitlyn,Female,26-02-2025,Winsport Calgary,CAN,United States Of America,Nor-Am Cup Premium,Big Air,6,90.50
5,Adams Kaitlyn,Female,25-02-2025,Winsport Calgary,CAN,United States Of America,Nor-Am Cup Premium,Slopestyle,3,215.10
6,Adams Kaitlyn,Female,22-02-2025,Calgary,CAN,United States Of America,World Cup,Slopestyle,26,22.40
7,Adams Kaitlyn,Female,20-02-2025,Calgary,CAN,United States Of America,Qualification,Slopestyle,26,
8,Adams Kaitlyn,Female,12-02-2025,Aspen / Highlands,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,6,99.50
9,Adams Kaitlyn,Female,06-02-2025,Aspen,USA,United States Of America,World Cup,Big Air,16,103.40
10,Adams Kaitlyn,Female,05-02-2025,Aspen,USA,United States Of America,Qualification,Big Air,16,
11,Adams Kaitlyn,Female,02-02-2025,Aspen,USA,United States Of America,World Cup,Slopestyle,26,35.80
12,Adams Kaitlyn,Female,31-01-2025,Aspen,USA,United States Of America,Qualification,Slopestyle,26,
13,Adams Kaitlyn,Female,18-01-2025,Laax,SUI,United States Of America,World Cup,Slopestyle,24,60.70
14,Adams Kaitlyn,Female,16-01-2025,Laax,SUI,United States Of America,Qualification,Slopestyle,24,
15,Adams Kaitlyn,Female,02-09-2024,Cardrona,NZL,United States Of America,World Cup,Slopestyle,23,69.70
16,Adams Kaitlyn,Female,31-08-2024,Cardrona,NZL,United States Of America,Qualification,Slopestyle,23,
17,Adams Kaitlyn,Female,03-04-2024,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,3,53.20
18,Adams Kaitlyn,Female,03-04-2024,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,4,79.30
