,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Alfakhry Rim,Female,04-03-2025,Cedars Ski Resort,LBN,Lebanon,FIS,Giant Slalom,9,14.50
1,Alfakhry Rim,Female,04-03-2025,Cedars ski Resort,LBN,Lebanon,FIS,Giant Slalom,9,14.50
2,Alfakhry Rim,Female,03-03-2025,Cedars Ski Resort,LBN,Lebanon,FIS,Giant Slalom,11,12.00
3,Alfakhry Rim,Female,03-03-2025,Cedars ski Resort,LBN,Lebanon,National Championships,Giant Slalom,11,12.00
4,Alfakhry Rim,Female,18-02-2024,Cedars ski Resort,LBN,Lebanon,FIS,Giant Slalom,8,16.00
5,Alfakhry Rim,Female,16-02-2024,Cedars ski Resort,LBN,Lebanon,FIS,Giant Slalom,8,16.00
6,Alfakhry Rim,Female,16-02-2024,Cedars ski Resort,LBN,Lebanon,National Championships,Giant Slalom,7,18.00
7,Alfakhry Rim,Female,27-01-2024,Mzaar Ski Resort,LBN,Lebanon,FIS,Giant Slalom,6,20.00
8,Alfakhry Rim,Female,26-01-2024,Mzaar Ski Resort,LBN,Lebanon,FIS,Giant Slalom,6,20.00
9,Alfakhry Rim,Female,14-02-2023,Cedars,LBN,Lebanon,National Championships,Giant Slalom,5,22.50
10,Alfakhry Rim,Female,13-02-2023,Cedars,LBN,Lebanon,FIS,Giant Slalom,5,22.50
11,Alfakhry Rim,Female,12-02-2023,Cedars,LBN,Lebanon,FIS,Giant Slalom,5,22.50
12,Alfakhry Rim,Female,11-02-2023,Cedars-Capucine,LBN,Lebanon,FIS,Giant Slalom,5,22.50
13,Alfakhry Rim,Female,10-02-2023,Cedars-Capucine,LBN,Lebanon,FIS,Giant Slalom,5,22.50
