,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Almqvist Gabriel,Male,06-02-2025,Aspen,USA,Sweden,World Cup,Big Air,23,141.00
1,Almqvist Gabriel,Male,05-02-2025,Aspen,USA,Sweden,Qualification,Big Air,10,
2,Almqvist Gabriel,Male,02-02-2025,Aspen,USA,Sweden,World Cup,Slopestyle,43,59.30
3,Almqvist Gabriel,Male,31-01-2025,Aspen,USA,Sweden,Qualification,Slopestyle,21,
4,Almqvist Gabriel,Male,11-01-2025,Kreischberg,AUT,Sweden,World Cup,Big Air,36,88.30
5,Almqvist Gabriel,Male,11-01-2025,Kreischberg,AUT,Sweden,Qualification,Big Air,20,
6,Almqvist Gabriel,Male,05-01-2025,Font Romeu,FRA,Sweden,European Cup Premium,Slopestyle,42,13.60
7,Almqvist Gabriel,Male,17-02-2024,Stockholm,SWE,Sweden,FIS,Slopestyle,1,100.00
8,Almqvist Gabriel,Male,11-02-2024,Klaeppen,SWE,Sweden,FIS,Slopestyle,4,97.30
9,Almqvist Gabriel,Male,20-01-2024,Laax,SUI,Sweden,World Cup,Slopestyle,51,34.70
10,Almqvist Gabriel,Male,16-01-2024,Laax,SUI,Sweden,Qualification,Slopestyle,24,
11,Almqvist Gabriel,Male,15-12-2023,Copper Mountain,USA,Sweden,World Cup,Big Air,27,135.20
12,Almqvist Gabriel,Male,13-12-2023,Copper Mountain,USA,Sweden,Qualification,Big Air,13,
13,Almqvist Gabriel,Male,09-12-2023,Edmonton,CAN,Sweden,World Cup,Big Air,27,126.30
14,Almqvist Gabriel,Male,08-12-2023,Edmonton,CAN,Sweden,Qualification,Big Air,15,
15,Almqvist Gabriel,Male,21-10-2023,Chur,SUI,Sweden,World Cup,Big Air,53,9.50
16,Almqvist Gabriel,Male,21-10-2023,Chur,SUI,Sweden,Qualification,Big Air,28,
17,Almqvist Gabriel,Male,01-04-2023,Klaeppen,SWE,Sweden,National Championships,Big Air,6,42.90
18,Almqvist Gabriel,Male,31-03-2023,Klaeppen,SWE,Sweden,National Championships,Slopestyle,2,162.10
19,Almqvist Gabriel,Male,26-03-2023,Funaesdalen,SWE,Sweden,FIS,Slopestyle,1,110.00
20,Almqvist Gabriel,Male,04-03-2023,Bakuriani,GEO,Sweden,World Championships,Big Air,15,151.60
21,Almqvist Gabriel,Male,02-03-2023,Bakuriani,GEO,Sweden,Qualification,Big Air,7,
