,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Almqvist William,Male,20-01-2024,Laax,SUI,Sweden,World Cup,Slopestyle,46,56.20
1,Almqvist William,Male,16-01-2024,Laax,SUI,Sweden,Qualification,Slopestyle,22,
2,Almqvist William,Male,05-01-2024,Font Romeu,FRA,Sweden,European Cup,Big Air,9,79.90
3,Almqvist William,Male,04-01-2024,Font Romeu,FRA,Sweden,European Cup Premium,Slopestyle,8,102.40
4,Almqvist William,Male,14-04-2023,Corvatsch,SUI,Sweden,European Cup Premium,Slopestyle,71,4.70
5,Almqvist William,Male,01-04-2023,Klaeppen,SWE,Sweden,National Championships,Big Air,5,54.40
6,Almqvist William,Male,31-03-2023,Klaeppen,SWE,Sweden,National Championships,Slopestyle,6,69.10
7,Almqvist William,Male,26-03-2023,Funaesdalen,SWE,Sweden,FIS,Slopestyle,3,68.00
8,Almqvist William,Male,17-03-2023,Laax,SUI,Sweden,European Cup Premium,Slopestyle,12,108.60
9,Almqvist William,Male,04-03-2023,Bakuriani,GEO,Sweden,World Championships,Big Air,20,114.80
10,Almqvist William,Male,02-03-2023,Bakuriani,GEO,Sweden,Qualification,Big Air,11,
11,Almqvist William,Male,27-02-2023,Bakuriani,GEO,Sweden,World Championships,Slopestyle,25,105.60
12,Almqvist William,Male,24-02-2023,Bakuriani,GEO,Sweden,Qualification,Slopestyle,12,
13,Almqvist William,Male,12-02-2023,Calgary,CAN,Sweden,World Cup,Slopestyle,24,84.10
14,Almqvist William,Male,10-02-2023,Calgary,CAN,Sweden,Qualification,Slopestyle,15,
15,Almqvist William,Male,04-02-2023,Font Romeu,FRA,Sweden,European Cup,Big Air,7,62.50
16,Almqvist William,Male,02-02-2023,Font Romeu,FRA,Sweden,European Cup,Slopestyle,1,150.00
17,Almqvist William,Male,25-01-2023,Prato Nevoso,ITA,Sweden,European Cup,Slopestyle,16,32.50
18,Almqvist William,Male,17-12-2022,Kiruna,SWE,Sweden,FIS,Slopestyle,13,22.90
19,Almqvist William,Male,09-04-2022,Corvatsch,SUI,Sweden,European Cup Premium,Big Air,37,26.70
20,Almqvist William,Male,07-04-2022,Corvatsch,SUI,Sweden,European Cup Premium,Slopestyle,22,71.40
21,Almqvist William,Male,02-04-2022,Klaeppen,SWE,Sweden,National Championships,Big Air,9,13.40
22,Almqvist William,Male,01-04-2022,Klaeppen,SWE,Sweden,National Championships,Slopestyle,8,51.20
23,Almqvist William,Male,19-03-2022,Jaervsoe,SWE,Sweden,FIS,Slopestyle,4,52.40
24,Almqvist William,Male,15-03-2022,Laax,SUI,Sweden,European Cup Premium,Slopestyle,6,69.60
25,Almqvist William,Male,13-02-2022,Klaeppen,SWE,Sweden,FIS,Slopestyle,10,6.00
26,Almqvist William,Male,04-02-2022,Font Romeu,FRA,Sweden,FIS,Slopestyle,5,54.40
27,Almqvist William,Male,03-02-2022,Font Romeu,FRA,Sweden,European Cup,Slopestyle,25,9.90
28,Almqvist William,Male,22-01-2022,Hemavan,SWE,Sweden,FIS,Slopestyle,2,63.30
29,Almqvist William,Male,19-12-2021,Kiruna,SWE,Sweden,FIS,Slopestyle,7,57.40
30,Almqvist William,Male,19-11-2021,Landgraaf,NED,Sweden,European Cup,Slopestyle,11,58.20
31,Almqvist William,Male,18-11-2021,Landgraaf,NED,Sweden,FIS,Slopestyle,8,78.40
32,Almqvist William,Male,21-03-2021,Klaeppen,SWE,Sweden,National Championships,Big Air,3,29.83
33,Almqvist William,Male,20-03-2021,Klaeppen,SWE,Sweden,National Championships,Slopestyle,4,42.61
34,Almqvist William,Male,14-03-2021,Jarvsoe,SWE,Sweden,FIS,Slopestyle,3,54.10
35,Almqvist William,Male,22-02-2021,Götschen,GER,Sweden,European Cup,Big Air,25,28.95
36,Almqvist William,Male,21-02-2021,Götschen,GER,Sweden,European Cup,Slopestyle,18,33.96
37,Almqvist William,Male,13-02-2021,Klaeppen,SWE,Sweden,FIS,Slopestyle,6,53.57
38,Almqvist William,Male,08-02-2021,Kopaonik,SRB,Sweden,European Cup,Big Air,15,36.65
39,Almqvist William,Male,30-01-2021,Hemavan,SWE,Sweden,FIS,Slopestyle,1,50.00
40,Almqvist William,Male,07-03-2020, Jarvsoe,SWE,Sweden,FIS,Slopestyle,4,25.00
41,Almqvist William,Male,08-02-2020,Klaeppen,SWE,Sweden,FIS,Slopestyle,2,56.00
42,Almqvist William,Male,19-01-2020,Vars,FRA,Sweden,European Cup,Slopestyle,19,19.20
43,Almqvist William,Male,18-01-2020,Vars,FRA,Sweden,European Cup,Big Air,37,3.10
44,Almqvist William,Male,15-12-2019,Hemavan,SWE,Sweden,FIS,Slopestyle,6,20.00
45,Almqvist William,Male,21-04-2018,Tandaadalen,SWE,Sweden,FIS,Slopestyle,8,41.60
46,Almqvist William,Male,23-03-2018,Skellefteaa,SWE,Sweden,National Championships,Slopestyle,11,36.00
47,Almqvist William,Male,21-03-2018,Skellefteaa,SWE,Sweden,National Championships,Big Air,11,26.40
