,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Antonov Viktor,Male,14-03-2019,Osogovo,BUL,Bulgaria,National Championships,Parallel Slalom,24,15.40
1,Antonov Viktor,Male,13-03-2019,Osogovo,BUL,Bulgaria,National Championships,Parallel Giant Slalom,23,17.60
2,Antonov Viktor,Male,14-02-2019,Osogovo,BUL,Bulgaria,National Championships,Snowboard Cross,14,9.00
3,Antonov Viktor,Male,12-02-2019,Osogovo,BUL,Bulgaria,National Championships,Big Air,4,25.00
4,Antonov Viktor,Male,31-03-2017,Pamporovo,BUL,Bulgaria,National Championships,Parallel Slalom,29,
5,Antonov Viktor,Male,30-03-2017,Pamporovo,BUL,Bulgaria,National Championships,Parallel GS,28,
6,Antonov Viktor,Male,29-03-2017,Pamporovo,BUL,Bulgaria,National Championships,Big Air,9,14.50
7,Antonov Viktor,Male,28-03-2017,Pamporovo,BUL,Bulgaria,National Championships,Slopestyle,12,
8,Antonov Viktor,Male,21-02-2017,Bansko,BUL,Bulgaria,National Championships,Snowboardcross,19,
9,Antonov Viktor,Male,15-02-2017,Palandoken / Erzurum,TUR,Bulgaria,European Youth Olympic Festival,Snowboardcross,12,11.00
10,Antonov Viktor,Male,13-02-2017,Palandoken / Erzurum,TUR,Bulgaria,European Youth Olympic Festival,Parallel GS,13,
