,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Athanasiou Dimitrios,Male,16-03-2025,Kopaonik,SRB,Greece,National Championships,Big Air,2,39.60
1,Athanasiou Dimitrios,Male,16-03-2025,Kopaonik,SRB,Greece,National Championships,Slopestyle,9,0.10
2,Athanasiou Dimitrios,Male,15-03-2025,Kopaonik,SRB,Greece,National Championships,Big Air,5,
3,Athanasiou Dimitrios,Male,14-03-2025,Kopaonik,SRB,Greece,National Championships,Slopestyle,2,
4,Athanasiou Dimitrios,Male,09-03-2025,Kalavrita,GRE,Greece,National Championships,Big Air,7,16.30
5,Athanasiou Dimitrios,Male,08-03-2025,Kalavrita,GRE,Greece,National Championships,Slopestyle,17,3.10
6,Athanasiou Dimitrios,Male,15-02-2025,Seli ,GRE,Greece,National Championships,Slalom,DNF,
7,Athanasiou Dimitrios,Male,14-02-2025,Seli ,GRE,Greece,FIS,Giant Slalom,DNS,
8,Athanasiou Dimitrios,Male,14-02-2025,Seli ,GRE,Greece,National Championships,Giant Slalom,DNS,
9,Athanasiou Dimitrios,Male,26-01-2025,Anilio,GRE,Greece,National Championships,Rail Event,20,2.00
10,Athanasiou Dimitrios,Male,25-01-2025,Anilio,GRE,Greece,FIS,Slopestyle,1,50.00
11,Athanasiou Dimitrios,Male,28-02-2024,Vorras,GRE,Greece,National Championships,Slalom,DNF,
12,Athanasiou Dimitrios,Male,27-02-2024,Vorras,GRE,Greece,FIS,Giant Slalom,DNF,
13,Athanasiou Dimitrios,Male,27-02-2024,Vorras,GRE,Greece,National Championships,Giant Slalom,DNF,
14,Athanasiou Dimitrios,Male,29-01-2023,Anilio,GRE,Greece,FIS,Big Air,6,1.20
15,Athanasiou Dimitrios,Male,28-01-2023,Anilio,GRE,Greece,National Championships,Slopestyle,4,3.30
16,Athanasiou Dimitrios,Male,30-01-2022,Anilio,GRE,Greece,FIS,Slopestyle,10,8.50
17,Athanasiou Dimitrios,Male,29-01-2022,Anilio,GRE,Greece,National Championships,Slopestyle,12,5.20
