,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Avino Max,Male,27-03-2024,Baqueira Beret,ESP,Spain,National Championships,Snowboard Cross,7,64.80
1,Avino Max,Male,14-03-2024,Isola 2000,FRA,Spain,European Cup,Snowboard Cross,49,
2,Avino Max,Male,12-03-2024,Isola 2000,FRA,Spain,Junior,Snowboard Cross,27,3.15
3,Avino Max,Male,11-03-2024,Isola 2000,FRA,Spain,Junior,Snowboard Cross,43,2.64
4,Avino Max,Male,09-03-2024,Colere,ITA,Spain,FIS,Snowboard Cross,9,14.50
5,Avino Max,Male,28-01-2024,Grasgehren,GER,Spain,Junior,Snowboard Cross,32,2.86
6,Avino Max,Male,27-01-2024,Grasgehren,GER,Spain,Junior,Snowboard Cross,8,16.00
7,Avino Max,Male,21-01-2024,Baquiera Beret,ESP,Spain,FIS,Snowboard Cross,8,16.00
8,Avino Max,Male,09-12-2023,Pitztal,AUT,Spain,Junior,Snowboard Cross,58,1.31
9,Avino Max,Male,08-04-2023,Chamonix,FRA,Spain,National Championships,Snowboard Cross,35,5.80
10,Avino Max,Male,18-03-2023,Sierra Nevada,ESP,Spain,National Championships,Snowboard Cross,7,54.00
11,Avino Max,Male,12-03-2023,Lenk,SUI,Spain,National Junior Championships,Snowboard Cross,17,12.60
12,Avino Max,Male,04-03-2023,Formigal,ESP,Spain,FIS,Snowboard Cross,6,28.00
13,Avino Max,Male,18-02-2023,Baquirea Beret,ESP,Spain,FIS,Snowboard Cross,24,10.50
14,Avino Max,Male,24-11-2022,Pitztal,AUT,Spain,European Cup,Snowboard Cross,DNS,
15,Avino Max,Male,23-11-2022,Pitztal,AUT,Spain,Qualification,Snowboard Cross,DNS,
16,Avino Max,Male,09-04-2022,Baqueira Beret,ESP,Spain,National Championships,Snowboard Cross,7,104.40
17,Avino Max,Male,20-03-2022,Passo San Pellegrino,ITA,Spain,Junior,Snowboard Cross,33,2.88
18,Avino Max,Male,19-03-2022,Passo San Pellegrino,ITA,Spain,Junior,Snowboard Cross,34,2.64
19,Avino Max,Male,06-03-2022,Dolni Morava,CZE,Spain,Junior,Snowboard Cross,8,16.00
20,Avino Max,Male,05-03-2022,Dolni Morava,CZE,Spain,Junior,Snowboard Cross,9,14.50
21,Avino Max,Male,16-01-2022,Baqueira Beret,ESP,Spain,FIS,Snowboard Cross,21,9.00
22,Avino Max,Male,31-10-2021,Les 2 Alpes,FRA,Spain,FIS,Snowboard Cross,45,2.72
23,Avino Max,Male,30-10-2021,Les 2 Alpes,FRA,Spain,FIS,Snowboard Cross,48,3.54
24,Avino Max,Male,11-04-2021,Sierra Nevada,ESP,Spain,National Championships,Snowboard Cross,17,14.00
25,Avino Max,Male,07-03-2021,Corno alle Scale,ITA,Spain,Junior,Snowboard Cross,DNS,
