,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Axelsson Felix,Male,07-04-2024,Klaeppen,SWE,Sweden,National Championships,Big Air,4,33.20
1,Axelsson Felix,Male,05-04-2024,Klaeppen,SWE,Sweden,National Championships,Slopestyle,6,50.90
2,Axelsson Felix,Male,23-03-2024,Funaesdalen,SWE,Sweden,FIS,Slopestyle,3,22.20
3,Axelsson Felix,Male,10-03-2024,Jaervsoe,SWE,Sweden,FIS,Slopestyle,1,20.00
4,Axelsson Felix,Male,17-02-2024,Stockholm,SWE,Sweden,FIS,Slopestyle,2,78.00
5,Axelsson Felix,Male,11-02-2024,Klaeppen,SWE,Sweden,FIS,Slopestyle,6,64.50
6,Axelsson Felix,Male,01-04-2023,Klaeppen,SWE,Sweden,National Championships,Big Air,7,33.20
7,Axelsson Felix,Male,31-03-2023,Klaeppen,SWE,Sweden,National Championships,Slopestyle,9,32.10
8,Axelsson Felix,Male,26-03-2023,Funaesdalen,SWE,Sweden,FIS,Slopestyle,5,38.60
9,Axelsson Felix,Male,18-02-2023,Jaervsoe,SWE,Sweden,FIS,Slopestyle,3,69.60
10,Axelsson Felix,Male,12-02-2023,Klaeppen,SWE,Sweden,FIS,Slopestyle,8,14.70
11,Axelsson Felix,Male,21-01-2023,Skelleftea,SWE,Sweden,FIS,Big Air,2,6.40
12,Axelsson Felix,Male,17-12-2022,Kiruna,SWE,Sweden,FIS,Slopestyle,15,12.90
13,Axelsson Felix,Male,09-04-2022,Funaesdalen,SWE,Sweden,FIS,Slopestyle,2,55.40
14,Axelsson Felix,Male,02-04-2022,Klaeppen,SWE,Sweden,National Championships,Big Air,2,104.40
15,Axelsson Felix,Male,01-04-2022,Klaeppen,SWE,Sweden,National Championships,Slopestyle,4,127.90
16,Axelsson Felix,Male,19-03-2022,Jaervsoe,SWE,Sweden,FIS,Slopestyle,7,25.60
17,Axelsson Felix,Male,13-02-2022,Klaeppen,SWE,Sweden,FIS,Slopestyle,11,0.20
18,Axelsson Felix,Male,11-04-2021,Funaesdalen,SWE,Sweden,FIS,Slopestyle,3,32.85
19,Axelsson Felix,Male,21-03-2021,Klaeppen,SWE,Sweden,National Championships,Big Air,8,0.07
20,Axelsson Felix,Male,20-03-2021,Klaeppen,SWE,Sweden,National Championships,Slopestyle,7,21.92
21,Axelsson Felix,Male,14-03-2021,Jarvsoe,SWE,Sweden,FIS,Slopestyle,15,5.77
22,Axelsson Felix,Male,21-02-2021,Leksand ,SWE,Sweden,FIS,Slopestyle,7,16.44
23,Axelsson Felix,Male,13-02-2021,Klaeppen,SWE,Sweden,FIS,Slopestyle,9,30.79
24,Axelsson Felix,Male,30-01-2021,Hemavan,SWE,Sweden,FIS,Slopestyle,4,27.00
25,Axelsson Felix,Male,07-03-2020, Jarvsoe,SWE,Sweden,FIS,Slopestyle,5,22.50
26,Axelsson Felix,Male,08-02-2020,Klaeppen,SWE,Sweden,FIS,Slopestyle,6,28.00
27,Axelsson Felix,Male,15-12-2019,Hemavan,SWE,Sweden,FIS,Slopestyle,3,30.00
28,Axelsson Felix,Male,16-03-2019,Bollnaes,SWE,Sweden,FIS,Slopestyle,5,31.50
29,Axelsson Felix,Male,09-03-2019,Falun,SWE,Sweden,FIS,Slopestyle,3,42.00
30,Axelsson Felix,Male,24-02-2019,Funaesdalen,SWE,Sweden,FIS,Slopestyle,3,30.00
31,Axelsson Felix,Male,09-02-2019,Klaeppen,SWE,Sweden,FIS,Slopestyle,5,22.50
32,Axelsson Felix,Male,29-01-2019,Sundsvall,SWE,Sweden,National Championships,Big Air,6,48.00
33,Axelsson Felix,Male,19-01-2019,Umeaa,SWE,Sweden,FIS,Big Air,2,
34,Axelsson Felix,Male,21-04-2018,Tandaadalen,SWE,Sweden,FIS,Slopestyle,14,
35,Axelsson Felix,Male,10-03-2018,Bollnaes,SWE,Sweden,FIS,Slopestyle,6,44.00
36,Axelsson Felix,Male,18-02-2018,Kungsberget,SWE,Sweden,FIS,Slopestyle,9,14.50
