,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Babacek David,Male,01-03-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,11,21.60
1,Babacek David,Male,29-02-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,17,12.60
2,Babacek David,Male,03-02-2024,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,9,14.50
3,Babacek David,Male,02-02-2024,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,21,9.00
4,Babacek David,Male,01-02-2024,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,47,3.61
5,Babacek David,Male,31-01-2024,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,70,
6,Babacek David,Male,06-01-2024,Dolni Morava,CZE,Czechia,National Junior Championships,Parallel Slalom,9,14.50
7,Babacek David,Male,19-03-2023,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,13,30.00
8,Babacek David,Male,18-03-2023,Dolni Morava,CZE,Czechia,National Championships,Snowboard Cross,11,36.00
9,Babacek David,Male,17-03-2023,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,17,21.00
10,Babacek David,Male,05-02-2023,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,15,8.00
11,Babacek David,Male,04-02-2023,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,18,6.50
12,Babacek David,Male,03-02-2023,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,13,10.00
13,Babacek David,Male,06-03-2022,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,6,20.00
14,Babacek David,Male,05-03-2022,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,8,16.00
15,Babacek David,Male,06-02-2022,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,33,1.20
16,Babacek David,Male,05-02-2022,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,26,2.50
17,Babacek David,Male,23-01-2022,Vitkovice,CZE,Czechia,Junior,Snowboard Cross,11,12.00
18,Babacek David,Male,22-01-2022,Vitkovice,CZE,Czechia,Junior,Snowboard Cross,24,3.50
19,Babacek David,Male,12-12-2021,Moninec,CZE,Czechia,Junior,Snowboard Cross,9,14.50
20,Babacek David,Male,11-12-2021,Moninec,CZE,Czechia,Junior,Snowboard Cross,10,13.00
