,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Barber Nate,Male,21-03-2025,"Mammoth Mountain, CA",USA,United States Of America,Nor-Am Cup,Big Air,20,9.20
1,Barber Nate,Male,20-03-2025,"Mammoth Mountain, CA",USA,United States Of America,Nor-Am Cup,Slopestyle,38,2.90
2,Barber Nate,Male,13-03-2025,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,9,15.90
3,Barber Nate,Male,10-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Big Air,3,83.20
4,Barber Nate,Male,09-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Slopestyle,7,62.20
5,Barber Nate,Male,05-03-2025,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,8,66.90
6,Barber Nate,Male,04-03-2025,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,18,45.60
7,Barber Nate,Male,12-02-2025,Aspen / Highlands,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,35,14.90
8,Barber Nate,Male,13-01-2025,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,14,29.40
9,Barber Nate,Male,29-09-2023,Cardrona,NZL,United States Of America,Australian New Zealand Cup,Slopestyle,42,4.30
10,Barber Nate,Male,06-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Slopestyle,7,45.40
11,Barber Nate,Male,16-02-2023,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Big Air,28,5.20
12,Barber Nate,Male,15-02-2023,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Slopestyle,41,5.20
13,Barber Nate,Male,10-02-2023,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,29,16.70
14,Barber Nate,Male,03-02-2023,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,12,11.70
15,Barber Nate,Male,26-01-2023,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Slopestyle,43,4.40
16,Barber Nate,Male,09-03-2022,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,3,34.30
17,Barber Nate,Male,24-02-2022,Copper Mountain Resort,USA,United States Of America,FIS,Slopestyle,7,45.50
18,Barber Nate,Male,04-02-2022,"Park City, UT",USA,United States Of America,FIS,Slopestyle,5,24.70
19,Barber Nate,Male,19-01-2022,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Slopestyle,6,35.00
20,Barber Nate,Male,29-01-2021,Park City,USA,United States Of America,FIS,Slopestyle,16,13.03
21,Barber Nate,Male,28-01-2021,Park City,USA,United States Of America,FIS,Halfpipe,14,5.19
