,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Barbieri Alessandro,Male,01-02-2025,Aspen,USA,United States Of America,World Cup,Halfpipe,11,250.70
1,Barbieri Alessandro,Male,30-01-2025,Aspen,USA,United States Of America,Qualification,Halfpipe,6,
2,Barbieri Alessandro,Male,18-01-2025,Laax,SUI,United States Of America,World Cup,Halfpipe,10,278.00
3,Barbieri Alessandro,Male,17-01-2025,Laax,SUI,United States Of America,Qualification,Halfpipe,5,
4,Barbieri Alessandro,Male,20-12-2024,Copper,USA,United States Of America,World Cup,Halfpipe,13,214.30
5,Barbieri Alessandro,Male,18-12-2024,Copper,USA,United States Of America,Qualification,Halfpipe,7,
6,Barbieri Alessandro,Male,08-12-2024,Secret Garden,CHN,United States Of America,World Cup,Halfpipe,13,199.20
7,Barbieri Alessandro,Male,06-12-2024,Secret Garden,CHN,United States Of America,Qualification,Halfpipe,6,
8,Barbieri Alessandro,Male,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,6,89.00
9,Barbieri Alessandro,Male,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup Premium,Halfpipe,21,0.20
10,Barbieri Alessandro,Male,21-02-2024,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Halfpipe,1,240.00
11,Barbieri Alessandro,Male,10-02-2024,Calgary,CAN,United States Of America,World Cup,Halfpipe,7,363.80
12,Barbieri Alessandro,Male,09-02-2024,Calgary,CAN,United States Of America,Qualification,Halfpipe,7,
13,Barbieri Alessandro,Male,01-02-2024,Gangwon/Welli Hilli,KOR,United States Of America,Youth Olympic Winter Games,Halfpipe,2,236.80
14,Barbieri Alessandro,Male,20-01-2024,Laax,SUI,United States Of America,World Cup,Halfpipe,15,195.00
15,Barbieri Alessandro,Male,16-12-2023,Copper Mountain,USA,United States Of America,World Cup,Halfpipe,35,20.70
16,Barbieri Alessandro,Male,14-12-2023,Copper Mountain,USA,United States Of America,Qualification,Halfpipe,18,
17,Barbieri Alessandro,Male,06-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Slopestyle,13,25.10
18,Barbieri Alessandro,Male,05-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Halfpipe,2,106.20
19,Barbieri Alessandro,Male,29-03-2023,Copper Mountain,USA,United States Of America,Nor-Am Cup,Halfpipe,3,135.30
20,Barbieri Alessandro,Male,13-02-2023,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Halfpipe,12,23.70
21,Barbieri Alessandro,Male,09-02-2023,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,1,140.00
22,Barbieri Alessandro,Male,27-01-2023,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,4,80.40
23,Barbieri Alessandro,Male,06-04-2022,Copper Mountain Resort,USA,United States Of America,National Championships,Halfpipe,2,71.80
24,Barbieri Alessandro,Male,28-02-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,DNS,
25,Barbieri Alessandro,Male,27-02-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,21,14.60
26,Barbieri Alessandro,Male,15-02-2022,Aspen / Buttermilk,USA,United States Of America,Nor-Am Cup,Big Air,DNS,
27,Barbieri Alessandro,Male,14-02-2022,Aspen / Buttermilk,USA,United States Of America,Nor-Am Cup,Halfpipe,2,114.50
28,Barbieri Alessandro,Male,28-01-2022,Mammoth Mountain Ski Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,7,61.40
