,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Bazhan Sviatoslav,Male,16-03-2025,Senales - Schnals,ITA,Ukraine,FIS,Parallel Slalom,23,
1,Bazhan Sviatoslav,Male,15-03-2025,Senales - Schnals,ITA,Ukraine,FIS,Parallel Slalom,11,
2,Bazhan Sviatoslav,Male,05-03-2025,Zakopane/Suche,POL,Ukraine,FIS Junior World Championships,Parallel Slalom,29,9.36
3,Bazhan Sviatoslav,Male,05-03-2025,Zakopane/Suche,POL,Ukraine,Qualification,Parallel Slalom,29,
4,Bazhan Sviatoslav,Male,04-03-2025,Zakopane/Suche,POL,Ukraine,FIS Junior World Championships,Parallel Giant Slalom,DNF,
5,Bazhan Sviatoslav,Male,04-03-2025,Zakopane/Suche,POL,Ukraine,Qualification,Parallel Giant Slalom,DNF,
6,Bazhan Sviatoslav,Male,04-02-2025,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,5,45.00
7,Bazhan Sviatoslav,Male,03-02-2025,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,5,31.50
8,Bazhan Sviatoslav,Male,26-01-2025,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,53,4.67
9,Bazhan Sviatoslav,Male,25-01-2025,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,DSQ,
10,Bazhan Sviatoslav,Male,22-01-2025,Bardonecchia,ITA,Ukraine,Universiade,Parallel Slalom,19,31.20
11,Bazhan Sviatoslav,Male,21-01-2025,Bardonecchia,ITA,Ukraine,Universiade,Parallel Giant Slalom,24,18.20
12,Bazhan Sviatoslav,Male,11-01-2025,Folgaria,ITA,Ukraine,Qualification,Parallel Giant Slalom,27,
13,Bazhan Sviatoslav,Male,11-01-2025,Folgaria,ITA,Ukraine,European Cup,Parallel Giant Slalom,27,8.10
14,Bazhan Sviatoslav,Male,10-01-2025,Folgaria,ITA,Ukraine,Qualification,Parallel Giant Slalom,DSQ,
15,Bazhan Sviatoslav,Male,10-01-2025,Folgaria,ITA,Ukraine,European Cup,Parallel Giant Slalom,DSQ,
16,Bazhan Sviatoslav,Male,22-12-2024,Moninec,CZE,Ukraine,FIS,Parallel Slalom,18,20.80
17,Bazhan Sviatoslav,Male,21-12-2024,Moninec,CZE,Ukraine,FIS,Parallel Slalom,16,24.00
18,Bazhan Sviatoslav,Male,20-12-2024,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,29,6.48
19,Bazhan Sviatoslav,Male,19-12-2024,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,48,
20,Bazhan Sviatoslav,Male,15-12-2024,Götschen,GER,Ukraine,European Cup,Parallel Slalom,49,3.79
21,Bazhan Sviatoslav,Male,14-12-2024,Götschen,GER,Ukraine,European Cup,Parallel Slalom,DSQ,
22,Bazhan Sviatoslav,Male,23-03-2024,Lachtal,AUT,Ukraine,FIS Junior World Championships,Parallel Slalom,33,5.76
23,Bazhan Sviatoslav,Male,23-03-2024,Lachtal,AUT,Ukraine,Qualification,Parallel Slalom,33,
24,Bazhan Sviatoslav,Male,22-03-2024,Lachtal,AUT,Ukraine,Qualification,Parallel Giant Slalom,43,
25,Bazhan Sviatoslav,Male,22-03-2024,Lachtal,AUT,Ukraine,FIS Junior World Championships,Parallel Giant Slalom,43,4.15
26,Bazhan Sviatoslav,Male,13-03-2024,Davos/Rinerhorn ,SUI,Ukraine,European Cup,Parallel Giant Slalom,32,9.36
27,Bazhan Sviatoslav,Male,12-03-2024,Davos/Rinerhorn ,SUI,Ukraine,European Cup,Parallel Giant Slalom,38,6.88
28,Bazhan Sviatoslav,Male,10-03-2024,Lenzerheide,SUI,Ukraine,European Cup,Parallel Slalom,13,36.00
29,Bazhan Sviatoslav,Male,09-03-2024,Lenzerheide,SUI,Ukraine,European Cup,Parallel Slalom,13,36.00
30,Bazhan Sviatoslav,Male,14-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,DSQ,
31,Bazhan Sviatoslav,Male,13-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,4,50.00
