,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Beaudin Adam,Male,01-02-2025,Winsport Calgary,CAN,Canada,FIS,Slopestyle,19,8.10
1,Beaudin Adam,Male,17-03-2024,Winsport Calgary,CAN,Canada,FIS,Halfpipe,9,9.90
2,Beaudin Adam,Male,16-03-2024,Winsport Calgary,CAN,Canada,FIS,Slopestyle,13,10.40
3,Beaudin Adam,Male,03-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,13,9.40
4,Beaudin Adam,Male,02-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,6,21.30
5,Beaudin Adam,Male,21-02-2024,Winsport Calgary,CAN,Canada,Nor-Am Cup,Halfpipe,19,14.70
6,Beaudin Adam,Male,28-01-2024,Winsport Calgary,CAN,Canada,FIS,Halfpipe,14,4.10
7,Beaudin Adam,Male,27-01-2024,Winsport Calgary,CAN,Canada,FIS,Slopestyle,17,7.20
8,Beaudin Adam,Male,06-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,19,4.90
9,Beaudin Adam,Male,05-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,15,7.60
10,Beaudin Adam,Male,23-03-2023,Winsport Calgary,CAN,Canada,National Junior Championships,Halfpipe,8,0.10
11,Beaudin Adam,Male,19-03-2023,Winsport Calgary,CAN,Canada,FIS,Slopestyle,27,4.50
12,Beaudin Adam,Male,18-03-2023,Winsport Calgary,CAN,Canada,FIS,Halfpipe,9,9.10
13,Beaudin Adam,Male,29-01-2023,Winsport Calgary,CAN,Canada,FIS,Halfpipe,12,5.20
14,Beaudin Adam,Male,28-01-2023,Winsport Calgary,CAN,Canada,FIS,Slopestyle,16,4.80
15,Beaudin Adam,Male,18-03-2022,Calgary,CAN,Canada,FIS,Halfpipe,9,8.10
16,Beaudin Adam,Male,16-03-2022,Calgary,CAN,Canada,FIS,Halfpipe,7,7.80
17,Beaudin Adam,Male,20-02-2022,Calgary,CAN,Canada,FIS,Slopestyle,17,4.10
18,Beaudin Adam,Male,19-02-2022,Calgary,CAN,Canada,FIS,Slopestyle,19,3.90
19,Beaudin Adam,Male,06-02-2022,Calgary,CAN,Canada,National Junior Championships,Slopestyle,26,10.80
