,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Beck Thomas,Male,14-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,25,21.60
1,Beck Thomas,Male,13-08-2025,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,9,
2,Beck Thomas,Male,02-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,22,4.50
3,Beck Thomas,Male,01-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,26,2.50
4,Beck Thomas,Male,25-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,49,0.79
5,Beck Thomas,Male,24-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,33,1.20
6,Beck Thomas,Male,12-01-2025,Lenk,SUI,Australia,Junior Regional Cup,Snowboard Cross,35,2.40
7,Beck Thomas,Male,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,18,46.80
8,Beck Thomas,Male,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,22,32.40
9,Beck Thomas,Male,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,24,25.20
10,Beck Thomas,Male,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,14,9.00
