,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Beckman Leif,Male,26-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,2,40.90
1,Beckman Leif,Male,25-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,2,40.90
2,Beckman Leif,Male,12-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,22,9.90
3,Beckman Leif,Male,11-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,17,13.40
4,Beckman Leif,Male,03-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,29,0.90
5,Beckman Leif,Male,02-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,31,0.90
6,Beckman Leif,Male,14-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,7,18.30
7,Beckman Leif,Male,13-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,12,10.20
8,Beckman Leif,Male,06-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,8,15.90
9,Beckman Leif,Male,05-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,4,29.00
10,Beckman Leif,Male,05-03-2023,Silver Star Mountain Resort,CAN,Canada,FIS,Slopestyle,6,20.30
11,Beckman Leif,Male,04-03-2023,Silver Star Mountain Resort,CAN,Canada,FIS,Slopestyle,3,34.10
