,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Berchtold Keanu,Male,11-04-2025,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,14,6.50
1,Berchtold Keanu,Male,16-03-2025,Laax,SUI,Switzerland,National Junior Championships,Halfpipe,13,13.50
2,Berchtold Keanu,Male,08-03-2025,LAAX Kids Open,SUI,Switzerland,Junior,Halfpipe,7,27.30
3,Berchtold Keanu,Male,07-03-2025,LAAX Kids Open,SUI,Switzerland,Junior,Slopestyle,14,10.10
4,Berchtold Keanu,Male,15-02-2025,Davos,SUI,Switzerland,Junior,Slopestyle,30,0.10
5,Berchtold Keanu,Male,31-01-2025,Grindelwald,SUI,Switzerland,FIS,Halfpipe,5,21.60
6,Berchtold Keanu,Male,14-04-2024,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,9,8.10
7,Berchtold Keanu,Male,17-03-2024,Laax,SUI,Switzerland,Junior,Halfpipe,6,23.10
8,Berchtold Keanu,Male,15-03-2024,Laax,SUI,Switzerland,Junior,Slopestyle,21,4.20
9,Berchtold Keanu,Male,10-03-2024,Laax,SUI,Switzerland,National Junior Championships,Halfpipe,9,9.10
10,Berchtold Keanu,Male,18-02-2024,Davos,SUI,Switzerland,Junior,Slopestyle,14,6.20
