,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Bethonico Noah,Male,08-02-2025,Reiteralm,AUT,Brazil,European Cup,Snowboard Cross,5,
1,Bethonico Noah,Male,02-02-2025,Beidahu,CHN,Brazil,World Cup,Snowboard Cross,49,15.80
2,Bethonico Noah,Male,02-02-2025,Beidahu,CHN,Brazil,Qualification,Snowboard Cross,49,
3,Bethonico Noah,Male,01-02-2025,Beidahu,CHN,Brazil,World Cup,Snowboard Cross,54,
4,Bethonico Noah,Male,31-01-2025,Beidahu,CHN,Brazil,Qualification,Snowboard Cross,54,
5,Bethonico Noah,Male,14-12-2024,Cervinia,ITA,Brazil,World Cup,Snowboard Cross,51,15.20
6,Bethonico Noah,Male,13-12-2024,Cervinia,ITA,Brazil,Qualification,Snowboard Cross,51,
7,Bethonico Noah,Male,27-11-2024,Pitztal,AUT,Brazil,European Cup,Snowboard Cross,44,6.23
8,Bethonico Noah,Male,27-11-2024,Pitztal,AUT,Brazil,Qualification,Snowboard Cross,44,
9,Bethonico Noah,Male,28-08-2024,Corralco,CHI,Brazil,South American Cup,Snowboard Cross,1,160.00
10,Bethonico Noah,Male,27-08-2024,Corralco,CHI,Brazil,South American Cup,Snowboard Cross,2,128.00
11,Bethonico Noah,Male,24-03-2024,Mt. St. Anne,CAN,Brazil,World Cup,Snowboard Cross,DNS,
12,Bethonico Noah,Male,23-03-2024,Mt. St. Anne,CAN,Brazil,World Cup,Snowboard Cross,48,16.10
13,Bethonico Noah,Male,22-03-2024,Mt. St. Anne,CAN,Brazil,Qualification,Snowboard Cross,48,
14,Bethonico Noah,Male,17-03-2024,Montafon,AUT,Brazil,World Cup,Snowboard Cross,50,15.50
15,Bethonico Noah,Male,16-03-2024,Montafon,AUT,Brazil,World Cup,Snowboard Cross,58,
16,Bethonico Noah,Male,15-03-2024,Montafon,AUT,Brazil,Qualification,Snowboard Cross,58,
17,Bethonico Noah,Male,09-03-2024,Cortina d'Ampezzo,ITA,Brazil,World Cup,Snowboard Cross,60,12.50
18,Bethonico Noah,Male,08-03-2024,Cortina d'Ampezzo,ITA,Brazil,Qualification,Snowboard Cross,60,
19,Bethonico Noah,Male,03-03-2024,Sierra Nevada,ESP,Brazil,World Cup,Snowboard Cross,52,14.90
20,Bethonico Noah,Male,02-03-2024,Sierra Nevada,ESP,Brazil,World Cup,Snowboard Cross,55,14.00
21,Bethonico Noah,Male,01-03-2024,Sierra Nevada,ESP,Brazil,Qualification,Snowboard Cross,56,
22,Bethonico Noah,Male,25-02-2024,Grasgehren,GER,Brazil,European Cup,Snowboard Cross,DNS,
23,Bethonico Noah,Male,24-02-2024,Grasgehren,GER,Brazil,European Cup,Snowboard Cross,7,115.20
24,Bethonico Noah,Male,04-02-2024,Gudauri,GEO,Brazil,World Cup,Snowboard Cross,51,15.20
25,Bethonico Noah,Male,03-02-2024,Gudauri,GEO,Brazil,World Cup,Snowboard Cross,54,
26,Bethonico Noah,Male,02-02-2024,Gudauri,GEO,Brazil,Qualification,Snowboard Cross,54,
27,Bethonico Noah,Male,26-01-2024,St. Moritz,SUI,Brazil,World Cup,Snowboard Cross,61,
28,Bethonico Noah,Male,25-01-2024,St. Moritz,SUI,Brazil,Qualification,Snowboard Cross,61,
29,Bethonico Noah,Male,03-12-2023,Les Deux Alpes,FRA,Brazil,Qualification,Snowboard Cross,50,
30,Bethonico Noah,Male,03-12-2023,Les Deux Alpes,FRA,Brazil,World Cup,Snowboard Cross,50,15.50
31,Bethonico Noah,Male,03-09-2023,Corralco (CHI),BRA,Brazil,South American Cup,Snowboard Cross,2,128.00
32,Bethonico Noah,Male,03-09-2023,Corralco (CHI),BRA,Brazil,South American Cup,Snowboard Cross,1,160.00
33,Bethonico Noah,Male,02-04-2023,Copper Mountain Resort,USA,Brazil,National Championships,Snowboard Cross,4,75.00
34,Bethonico Noah,Male,30-03-2023,Passo San Pellegrino,ITA,Brazil,FIS Junior World Championships,Snowboard Cross,25,19.20
35,Bethonico Noah,Male,26-03-2023,Mt. St. Anne,CAN,Brazil,World Cup,Snowboard Cross,25,60.00
36,Bethonico Noah,Male,25-03-2023,Mt. St. Anne,CAN,Brazil,World Cup,Snowboard Cross,44,17.30
37,Bethonico Noah,Male,24-03-2023,Mt. St. Anne,CAN,Brazil,Qualification,Snowboard Cross,44,
38,Bethonico Noah,Male,21-03-2023,Mt. Orignal,CAN,Brazil,Junior,Snowboard Cross,3,72.00
39,Bethonico Noah,Male,20-03-2023,Mt. Orignal,CAN,Brazil,Nor-Am Cup,Snowboard Cross,13,32.00
40,Bethonico Noah,Male,16-03-2023,Veysonnaz,SUI,Brazil,World Cup,Snowboard Cross,55,14.00
41,Bethonico Noah,Male,15-03-2023,Veysonnaz,SUI,Brazil,Qualification,Snowboard Cross,55,
42,Bethonico Noah,Male,12-03-2023,Sierra Nevada,ESP,Brazil,World Cup,Snowboard Cross,33,24.00
43,Bethonico Noah,Male,11-03-2023,Sierra Nevada,ESP,Brazil,World Cup,Snowboard Cross,33,24.00
44,Bethonico Noah,Male,01-03-2023,Bakuriani,GEO,Brazil,World Championships,Snowboard Cross,25,60.00
45,Bethonico Noah,Male,08-02-2023,Gore Mountain Ski Area,USA,Brazil,Nor-Am Cup,Snowboard Cross,3,96.00
46,Bethonico Noah,Male,07-02-2023,Gore Mountain Ski Area,USA,Brazil,Nor-Am Cup,Snowboard Cross,5,72.00
47,Bethonico Noah,Male,26-01-2023,Big White Ski Resort,CAN,Brazil,Nor-Am Cup,Snowboard Cross,15,25.60
48,Bethonico Noah,Male,25-01-2023,Big White Ski Resort,CAN,Brazil,Nor-Am Cup,Snowboard Cross,10,41.60
49,Bethonico Noah,Male,12-01-2023,Sunshine Village,CAN,Brazil,Nor-Am Cup,Snowboard Cross,5,162.00
50,Bethonico Noah,Male,11-01-2023,Sunshine Village,CAN,Brazil,Nor-Am Cup,Snowboard Cross,7,129.60
51,Bethonico Noah,Male,17-12-2022,Cervinia,ITA,Brazil,World Cup,Snowboard Cross,25,60.00
52,Bethonico Noah,Male,16-12-2022,Cervinia,ITA,Brazil,World Cup,Snowboard Cross,52,14.90
53,Bethonico Noah,Male,15-12-2022,Cervinia,ITA,Brazil,Qualification,Snowboard Cross,52,
54,Bethonico Noah,Male,04-12-2022,Les Deux Alpes,FRA,Brazil,World Cup,Snowboard Cross,50,15.50
55,Bethonico Noah,Male,02-12-2022,Les Deux Alpes,FRA,Brazil,Qualification,Snowboard Cross,50,
