,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Bladon Daxon,Male,26-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,11,6.70
1,Bladon Daxon,Male,25-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,12,5.20
2,Bladon Daxon,Male,12-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,40,0.60
3,Bladon Daxon,Male,11-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,41,0.60
4,Bladon Daxon,Male,17-03-2024,Winsport Calgary,CAN,Canada,FIS,Halfpipe,11,5.90
5,Bladon Daxon,Male,16-03-2024,Winsport Calgary,CAN,Canada,FIS,Slopestyle,31,2.40
6,Bladon Daxon,Male,07-03-2024,"Alpine Ski Club,",CAN,Canada,National Junior Championships,Halfpipe,4,0.10
7,Bladon Daxon,Male,05-03-2024,Blue Mtn,CAN,Canada,National Junior Championships,Slopestyle,29,1.50
8,Bladon Daxon,Male,28-01-2024,Winsport Calgary,CAN,Canada,FIS,Halfpipe,17,1.00
9,Bladon Daxon,Male,27-01-2024,Winsport Calgary,CAN,Canada,FIS,Slopestyle,21,5.20
10,Bladon Daxon,Male,18-01-2024,Sun Peaks,CAN,Canada,Nor-Am Cup,Big Air,48,0.10
11,Bladon Daxon,Male,17-01-2024,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,51,1.10
12,Bladon Daxon,Male,14-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,13,9.20
13,Bladon Daxon,Male,13-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,21,4.20
14,Bladon Daxon,Male,23-03-2023,Winsport Calgary,CAN,Canada,National Junior Championships,Halfpipe,7,4.70
15,Bladon Daxon,Male,19-03-2023,Winsport Calgary,CAN,Canada,FIS,Slopestyle,31,3.20
16,Bladon Daxon,Male,18-03-2023,Winsport Calgary,CAN,Canada,FIS,Halfpipe,10,6.90
17,Bladon Daxon,Male,29-01-2023,Winsport Calgary,CAN,Canada,FIS,Halfpipe,14,2.40
18,Bladon Daxon,Male,28-01-2023,Winsport Calgary,CAN,Canada,FIS,Slopestyle,19,2.60
