,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Bodnaruk Vita,Female,09-03-2025,Montafon/Gargellen,AUT,Ukraine,European Cup,Parallel Slalom,34,7.92
1,Bodnaruk Vita,Female,08-03-2025,Montafon/Gargellen,AUT,Ukraine,European Cup,Parallel Giant Slalom,33,8.64
2,Bodnaruk Vita,Female,02-03-2025,Krynica,POL,Ukraine,Qualification,Parallel Giant Slalom,29,
3,Bodnaruk Vita,Female,02-03-2025,Krynica,POL,Ukraine,World Cup,Parallel Giant Slalom,29,36.00
4,Bodnaruk Vita,Female,01-03-2025,Krynica,POL,Ukraine,Qualification,Parallel Giant Slalom,39,
5,Bodnaruk Vita,Female,01-03-2025,Krynica,POL,Ukraine,World Cup,Parallel Giant Slalom,39,18.80
6,Bodnaruk Vita,Female,26-01-2025,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,28,14.40
7,Bodnaruk Vita,Female,25-01-2025,Rogla,SLO,Ukraine,Qualification,Parallel Giant Slalom,37,
8,Bodnaruk Vita,Female,25-01-2025,Rogla,SLO,Ukraine,World Cup,Parallel Giant Slalom,37,
9,Bodnaruk Vita,Female,22-01-2025,Bansko,BUL,Ukraine,European Cup,Parallel Giant Slalom,23,28.80
10,Bodnaruk Vita,Female,21-01-2025,Bansko,BUL,Ukraine,European Cup,Parallel Giant Slalom,DSQ,
11,Bodnaruk Vita,Female,19-01-2025,Bansko,BUL,Ukraine,Qualification,Parallel Giant Slalom,25,
12,Bodnaruk Vita,Female,19-01-2025,Bansko,BUL,Ukraine,World Cup,Parallel Giant Slalom,25,60.00
13,Bodnaruk Vita,Female,18-01-2025,Bansko,BUL,Ukraine,Qualification,Parallel Giant Slalom,46,
14,Bodnaruk Vita,Female,18-01-2025,Bansko,BUL,Ukraine,World Cup,Parallel Giant Slalom,46,16.70
15,Bodnaruk Vita,Female,14-01-2025,Bad Gastein,AUT,Ukraine,Qualification,Parallel Slalom,30,
16,Bodnaruk Vita,Female,14-01-2025,Bad Gastein,AUT,Ukraine,World Cup,Parallel Slalom,30,32.00
17,Bodnaruk Vita,Female,11-01-2025,Scuol,SUI,Ukraine,Qualification,Parallel Giant Slalom,34,
18,Bodnaruk Vita,Female,11-01-2025,Scuol,SUI,Ukraine,World Cup,Parallel Giant Slalom,34,
19,Bodnaruk Vita,Female,21-12-2024,Davos,SUI,Ukraine,Qualification,Parallel Slalom,41,
20,Bodnaruk Vita,Female,21-12-2024,Davos,SUI,Ukraine,World Cup,Parallel Slalom,41,
21,Bodnaruk Vita,Female,15-12-2024,Götschen,GER,Ukraine,European Cup,Parallel Slalom,DSQ,
22,Bodnaruk Vita,Female,14-12-2024,Cortina d'Ampezzo,ITA,Ukraine,Qualification,Parallel Giant Slalom,40,
23,Bodnaruk Vita,Female,14-12-2024,Cortina d'Ampezzo,ITA,Ukraine,World Cup,Parallel Giant Slalom,40,18.50
24,Bodnaruk Vita,Female,12-12-2024,Carezza,ITA,Ukraine,Qualification,Parallel Giant Slalom,38,
25,Bodnaruk Vita,Female,12-12-2024,Carezza,ITA,Ukraine,World Cup,Parallel Giant Slalom,38,19.10
26,Bodnaruk Vita,Female,08-12-2024,Yanqing (NASC),CHN,Ukraine,World Cup,Parallel Slalom,34,22.00
27,Bodnaruk Vita,Female,08-12-2024,Yanqing (NASC),CHN,Ukraine,Qualification,Parallel Slalom,34,
28,Bodnaruk Vita,Female,07-12-2024,Yanqing (NASC),CHN,Ukraine,World Cup,Parallel Giant Slalom,38,
29,Bodnaruk Vita,Female,07-12-2024,Yanqing (NASC),CHN,Ukraine,Qualification,Parallel Giant Slalom,38,
30,Bodnaruk Vita,Female,01-12-2024,Mylin,CHN,Ukraine,World Cup,Parallel Slalom,34,22.00
31,Bodnaruk Vita,Female,01-12-2024,Mylin,CHN,Ukraine,Qualification,Parallel Slalom,34,
32,Bodnaruk Vita,Female,30-11-2024,Mylin,CHN,Ukraine,World Cup,Parallel Giant Slalom,32,26.00
33,Bodnaruk Vita,Female,30-11-2024,Mylin,CHN,Ukraine,Qualification,Parallel Giant Slalom,32,
34,Bodnaruk Vita,Female,17-03-2024,St. Moritz,SUI,Ukraine,European Cup,Parallel Slalom,DNS,
35,Bodnaruk Vita,Female,16-03-2024,St. Moritz,SUI,Ukraine,European Cup,Parallel Giant Slalom,16,54.00
36,Bodnaruk Vita,Female,13-03-2024,Davos/Rinerhorn ,SUI,Ukraine,European Cup,Parallel Giant Slalom,9,69.60
37,Bodnaruk Vita,Female,12-03-2024,Davos/Rinerhorn ,SUI,Ukraine,European Cup,Parallel Giant Slalom,15,57.60
38,Bodnaruk Vita,Female,10-03-2024,Lenzerheide,SUI,Ukraine,European Cup,Parallel Slalom,8,76.80
39,Bodnaruk Vita,Female,09-03-2024,Lenzerheide,SUI,Ukraine,European Cup,Parallel Slalom,11,57.60
40,Bodnaruk Vita,Female,14-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,2,160.00
41,Bodnaruk Vita,Female,13-02-2024,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,5,90.00
42,Bodnaruk Vita,Female,28-01-2024,Nova Levante - Welschnofen,ITA,Ukraine,FIS,Parallel Giant Slalom,5,81.00
43,Bodnaruk Vita,Female,27-01-2024,Nova Levante - Welschnofen,ITA,Ukraine,FIS,Parallel Giant Slalom,11,43.20
44,Bodnaruk Vita,Female,24-01-2024,Pamporovo,BUL,Ukraine,European Cup,Parallel Slalom,6,116.00
45,Bodnaruk Vita,Female,23-01-2024,Pamporovo,BUL,Ukraine,European Cup,Parallel Slalom,2,232.00
46,Bodnaruk Vita,Female,22-12-2023,Moninec,CZE,Ukraine,FIS,Parallel Slalom,23,16.00
47,Bodnaruk Vita,Female,21-12-2023,Moninec,CZE,Ukraine,FIS,Parallel Slalom,8,64.00
48,Bodnaruk Vita,Female,20-12-2023,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,7,93.60
49,Bodnaruk Vita,Female,19-12-2023,Moninec,CZE,Ukraine,European Cup,Parallel Slalom,17,36.40
50,Bodnaruk Vita,Female,19-03-2023,Ratschings,ITA,Ukraine,European Cup,Parallel Slalom,DSQ,
51,Bodnaruk Vita,Female,18-03-2023,Ratschings,ITA,Ukraine,European Cup,Parallel Slalom,29,9.36
52,Bodnaruk Vita,Female,12-03-2023,Davos,SUI,Ukraine,European Cup,Parallel Slalom,11,62.40
53,Bodnaruk Vita,Female,11-03-2023,Davos,SUI,Ukraine,European Cup,Parallel Slalom,9,104.40
54,Bodnaruk Vita,Female,05-03-2023,Zakopane,POL,Ukraine,European Cup,Parallel Giant Slalom,14,52.20
55,Bodnaruk Vita,Female,04-03-2023,Zakopane,POL,Ukraine,European Cup,Parallel Giant Slalom,17,50.40
56,Bodnaruk Vita,Female,21-02-2023,Bakuriani,GEO,Ukraine,Qualification,Parallel Slalom,36,
57,Bodnaruk Vita,Female,21-02-2023,Bakuriani,GEO,Ukraine,World Championships,Parallel Slalom,36,19.70
58,Bodnaruk Vita,Female,19-02-2023,Bakuriani,GEO,Ukraine,Qualification,Parallel Giant Slalom,29,
59,Bodnaruk Vita,Female,19-02-2023,Bakuriani,GEO,Ukraine,World Championships,Parallel Giant Slalom,29,36.00
60,Bodnaruk Vita,Female,14-02-2023,Bukovel,UKR,Ukraine,National Championships,Parallel Slalom,4,75.00
61,Bodnaruk Vita,Female,13-02-2023,Bukovel,UKR,Ukraine,National Championships,Parallel Giant Slalom,4,75.00
62,Bodnaruk Vita,Female,05-02-2023,Lenzerheide,SUI,Ukraine,European Cup,Parallel Slalom,13,44.00
63,Bodnaruk Vita,Female,29-01-2023,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,13,48.00
64,Bodnaruk Vita,Female,29-01-2023,Simonhöhe,AUT,Ukraine,Qualification,Parallel Giant Slalom,13,
65,Bodnaruk Vita,Female,28-01-2023,Simonhöhe,AUT,Ukraine,European Cup,Parallel Giant Slalom,17,33.60
66,Bodnaruk Vita,Female,28-01-2023,Simonhöhe,AUT,Ukraine,Qualification,Parallel Giant Slalom,17,
67,Bodnaruk Vita,Female,22-01-2023,Gore Mountain,USA,Ukraine,Universiade,Parallel Slalom,7,64.80
