,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Bongiorno Millie,Female,15-03-2025,Winterberg,GER,Australia,Qualification,Parallel Slalom,36,
1,Bongiorno Millie,Female,15-03-2025,Winterberg,GER,Australia,World Cup,Parallel Slalom,36,
2,Bongiorno Millie,Female,09-03-2025,Montafon/Gargellen,AUT,Australia,European Cup,Parallel Slalom,22,32.40
3,Bongiorno Millie,Female,08-03-2025,Montafon/Gargellen,AUT,Australia,European Cup,Parallel Giant Slalom,22,32.40
4,Bongiorno Millie,Female,02-03-2025,Krynica,POL,Australia,Qualification,Parallel Giant Slalom,39,
5,Bongiorno Millie,Female,02-03-2025,Krynica,POL,Australia,World Cup,Parallel Giant Slalom,39,18.80
6,Bongiorno Millie,Female,01-03-2025,Krynica,POL,Australia,Qualification,Parallel Giant Slalom,DNF,
7,Bongiorno Millie,Female,01-03-2025,Krynica,POL,Australia,World Cup,Parallel Giant Slalom,DNF,
8,Bongiorno Millie,Female,25-02-2025,"Holiday Valley Resort, NY",USA,Australia,Nor-Am Cup,Parallel Giant Slalom,1,160.00
9,Bongiorno Millie,Female,24-02-2025,"Holiday Valley Resort, NY",USA,Australia,Nor-Am Cup,Parallel Giant Slalom,1,160.00
10,Bongiorno Millie,Female,20-02-2025,Val Saint Come,CAN,Australia,Nor-Am Cup,Parallel Giant Slalom,3,96.00
11,Bongiorno Millie,Female,19-02-2025,Val Saint Come,CAN,Australia,Nor-Am Cup,Parallel Giant Slalom,5,72.00
12,Bongiorno Millie,Female,16-02-2025,Val St. Come,CAN,Australia,Qualification,Parallel Giant Slalom,30,
13,Bongiorno Millie,Female,16-02-2025,Val St. Come,CAN,Australia,World Cup,Parallel Giant Slalom,30,32.00
14,Bongiorno Millie,Female,15-02-2025,Val St. Come,CAN,Australia,Qualification,Parallel Giant Slalom,29,
15,Bongiorno Millie,Female,15-02-2025,Val St. Come,CAN,Australia,World Cup,Parallel Giant Slalom,29,36.00
