,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Boyd Virginia,Female,28-03-2025,Engadin,SUI,United States Of America,World Championships,Snowboard Cross,26,50.00
1,Boyd Virginia,Female,27-03-2025,Engadin,SUI,United States Of America,Qualification,Snowboard Cross,26,
2,Boyd Virginia,Female,21-03-2025,Montafon,AUT,United States Of America,World Cup,Snowboard Cross,39,
3,Boyd Virginia,Female,20-03-2025,Montafon,AUT,United States Of America,Qualification,Snowboard Cross,39,
4,Boyd Virginia,Female,02-03-2025,Gore Mountain Ski Area,USA,United States Of America,FIS,Snowboard Cross,1,150.00
5,Boyd Virginia,Female,01-03-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,3,120.00
6,Boyd Virginia,Female,28-02-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,2,160.00
7,Boyd Virginia,Female,15-02-2025,Cortina d'Ampezzo,ITA,United States Of America,World Cup,Snowboard Cross,28,40.00
8,Boyd Virginia,Female,15-02-2025,Cortina d'Ampezzo,ITA,United States Of America,Qualification,Snowboard Cross,28,
9,Boyd Virginia,Female,05-02-2025,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,FIS,Snowboard Cross,1,130.00
10,Boyd Virginia,Female,04-02-2025,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,1,180.00
11,Boyd Virginia,Female,03-02-2025,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,2,144.00
12,Boyd Virginia,Female,05-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,3,120.00
13,Boyd Virginia,Female,04-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,5,90.00
14,Boyd Virginia,Female,07-04-2024,Gudauri,GEO,United States Of America,FIS Junior World Championships,Snowboard Cross Team,14,
15,Boyd Virginia,Female,06-04-2024,Gudauri,GEO,United States Of America,FIS Junior World Championships,Snowboard Cross,13,72.00
16,Boyd Virginia,Female,05-04-2024,Gudauri,GEO,United States Of America,Qualification,Snowboard Cross,17,
17,Boyd Virginia,Female,31-03-2024,"Copper Mountain, CO",USA,United States Of America,National Championships,Snowboard Cross,4,35.00
18,Boyd Virginia,Female,29-03-2024,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,3,96.00
19,Boyd Virginia,Female,28-03-2024,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,2,128.00
20,Boyd Virginia,Female,19-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,FIS,Snowboard Cross,1,110.00
21,Boyd Virginia,Female,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,3,96.00
22,Boyd Virginia,Female,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,2,128.00
23,Boyd Virginia,Female,28-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,2,128.00
24,Boyd Virginia,Female,27-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,2,128.00
25,Boyd Virginia,Female,22-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,7,57.60
26,Boyd Virginia,Female,21-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,1,160.00
27,Boyd Virginia,Female,02-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Snowboard Cross,1,50.00
28,Boyd Virginia,Female,30-03-2023,Passo San Pellegrino,ITA,United States Of America,FIS Junior World Championships,Snowboard Cross,25,21.60
29,Boyd Virginia,Female,08-02-2023,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,13,52.00
30,Boyd Virginia,Female,07-02-2023,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,6,104.00
31,Boyd Virginia,Female,26-01-2023,Big White Ski Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,9,46.40
32,Boyd Virginia,Female,25-01-2023,Big White Ski Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,14,28.80
33,Boyd Virginia,Female,12-01-2023,Sunshine Village,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,10,41.60
34,Boyd Virginia,Female,11-01-2023,Sunshine Village,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,7,57.60
35,Boyd Virginia,Female,27-11-2022,Pitztal,AUT,United States Of America,Junior,Snowboard Cross,17,19.60
36,Boyd Virginia,Female,26-11-2022,Pitztal,AUT,United States Of America,Junior,Snowboard Cross,34,3.30
