,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Braunius Stijn,Male,09-02-2025,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,15,
1,Braunius Stijn,Male,08-02-2025,Dolni Morava,CZE,Netherlands,National Championships,Snowboard Cross,15,
2,Braunius Stijn,Male,25-02-2024,Grasgehren,GER,Netherlands,European Cup,Snowboard Cross,55,
3,Braunius Stijn,Male,24-02-2024,Grasgehren,GER,Netherlands,European Cup,Snowboard Cross,61,
4,Braunius Stijn,Male,06-02-2024,Reiteralm,AUT,Netherlands,European Cup,Snowboard Cross,51,
5,Braunius Stijn,Male,05-02-2024,Reiteralm,AUT,Netherlands,European Cup,Snowboard Cross,42,3.58
6,Braunius Stijn,Male,03-02-2024,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,6,28.00
7,Braunius Stijn,Male,02-02-2024,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,9,20.30
8,Braunius Stijn,Male,01-02-2024,Dolni Morava,CZE,Netherlands,European Cup,Snowboard Cross,32,5.72
9,Braunius Stijn,Male,31-01-2024,Dolni Morava,CZE,Netherlands,European Cup,Snowboard Cross,68,
10,Braunius Stijn,Male,08-04-2023,Chamonix,FRA,Netherlands,National Championships,Snowboard Cross,33,6.96
11,Braunius Stijn,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Netherlands,National Championships,Snowboard Cross,38,5.54
12,Braunius Stijn,Male,01-04-2023,St. Moritz,SUI,Netherlands,National Championships,Snowboard Cross,12,63.80
13,Braunius Stijn,Male,19-03-2023,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,8,48.00
14,Braunius Stijn,Male,18-03-2023,Dolni Morava,CZE,Netherlands,National Championships,Snowboard Cross,10,39.00
15,Braunius Stijn,Male,17-03-2023,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,12,33.00
16,Braunius Stijn,Male,12-03-2023,Lenk,SUI,Netherlands,FIS,Snowboard Cross,17,22.40
17,Braunius Stijn,Male,05-02-2023,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,11,21.60
18,Braunius Stijn,Male,04-02-2023,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,7,32.40
19,Braunius Stijn,Male,03-02-2023,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,17,12.60
20,Braunius Stijn,Male,14-01-2023,Lenk,SUI,Netherlands,FIS,Snowboard Cross,31,1.40
21,Braunius Stijn,Male,06-03-2022,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,17,14.00
22,Braunius Stijn,Male,05-03-2022,Dolni Morava,CZE,Netherlands,FIS,Snowboard Cross,17,14.00
23,Braunius Stijn,Male,27-02-2022,Flumserberg,SUI,Netherlands,FIS,Snowboard Cross,36,
24,Braunius Stijn,Male,26-02-2022,Flumserberg,SUI,Netherlands,FIS,Snowboard Cross,37,
25,Braunius Stijn,Male,28-02-2021,Lenk,SUI,Netherlands,FIS,Snowboard Cross,DNS,
