,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Brcic Dante,Male,10-04-2025,Corvatsch,SUI,Croatia,European Cup Premium,Slopestyle,26,91.10
1,Brcic Dante,Male,31-03-2025,Alpe di Siusi/Seiseralm,ITA,Croatia,National Championships,Slopestyle,2,148.60
2,Brcic Dante,Male,30-03-2025,Alpe di Siusi/Seiseralm,ITA,Croatia,National Championships,Big Air,5,156.00
3,Brcic Dante,Male,28-03-2025,Engadin,SUI,Croatia,World Championships,Big Air,29,128.00
4,Brcic Dante,Male,25-03-2025,Engadin,SUI,Croatia,Qualification,Big Air,14,
5,Brcic Dante,Male,21-03-2025,Engadin,SUI,Croatia,World Championships,Slopestyle,48,54.40
6,Brcic Dante,Male,20-03-2025,Engadin,SUI,Croatia,Qualification,Slopestyle,26,
7,Brcic Dante,Male,01-03-2025,Bjelasnica/ Sarajevo,BIH,Croatia,FIS,Big Air,1,50.00
8,Brcic Dante,Male,27-02-2025,Bjelalnica,CRO,Croatia,FIS,Big Air,1,50.00
9,Brcic Dante,Male,26-02-2025,Bjelalnica,CRO,Croatia,FIS,Slopestyle,1,50.00
10,Brcic Dante,Male,25-02-2025,Bjelalnica,CRO,Croatia,FIS,Big Air,1,50.00
11,Brcic Dante,Male,22-02-2025,Calgary,CAN,Croatia,World Cup,Slopestyle,41,74.80
12,Brcic Dante,Male,20-02-2025,Calgary,CAN,Croatia,Qualification,Slopestyle,21,
13,Brcic Dante,Male,06-02-2025,Aspen,USA,Croatia,World Cup,Big Air,48,10.50
14,Brcic Dante,Male,05-02-2025,Aspen,USA,Croatia,Qualification,Big Air,24,
15,Brcic Dante,Male,02-02-2025,Aspen,USA,Croatia,World Cup,Slopestyle,47,41.10
16,Brcic Dante,Male,31-01-2025,Aspen,USA,Croatia,Qualification,Slopestyle,25,
17,Brcic Dante,Male,18-01-2025,Laax,SUI,Croatia,World Cup,Slopestyle,57,12.90
18,Brcic Dante,Male,16-01-2025,Laax,SUI,Croatia,Qualification,Slopestyle,28,
19,Brcic Dante,Male,11-01-2025,Kreischberg,AUT,Croatia,Qualification,Big Air,10,
20,Brcic Dante,Male,11-01-2025,Kreischberg,AUT,Croatia,World Cup,Big Air,23,151.30
