,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Brienza Giada,Female,26-08-2024,Cardrona,NZL,United States Of America,Australian New Zealand Cup Premium,Halfpipe,3,62.40
1,Brienza Giada,Female,17-08-2024,The Remarkables,NZL,United States Of America,Australian New Zealand Cup,Slopestyle,9,21.70
2,Brienza Giada,Female,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup Premium,Halfpipe,13,21.60
3,Brienza Giada,Female,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,21,3.10
4,Brienza Giada,Female,06-03-2024,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Halfpipe,4,26.20
5,Brienza Giada,Female,04-03-2024,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Slopestyle,DNS,
6,Brienza Giada,Female,27-02-2024,Northstar California Resorts,USA,United States Of America,FIS,Halfpipe,3,22.20
7,Brienza Giada,Female,27-02-2024,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,11,3.70
8,Brienza Giada,Female,16-02-2024,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,DNS,
9,Brienza Giada,Female,13-02-2024,"Park City, UT",USA,United States Of America,FIS,Halfpipe,2,39.00
10,Brienza Giada,Female,31-01-2024,Mount Snow,USA,United States Of America,FIS,Slopestyle,6,6.00
11,Brienza Giada,Female,10-01-2024,"Copper Mountain, CO",USA,United States Of America,FIS,Halfpipe,9,9.90
