,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Brookes Mia,Female,28-03-2025,Engadin,SUI,Great Britain,World Championships,Big Air,5,
1,Brookes Mia,Female,26-03-2025,Engadin,SUI,Great Britain,Qualification,Big Air,7,
2,Brookes Mia,Female,21-03-2025,Engadin,SUI,Great Britain,World Championships,Slopestyle,6,423.20
3,Brookes Mia,Female,20-03-2025,Engadin,SUI,Great Britain,Qualification,Slopestyle,6,
4,Brookes Mia,Female,14-03-2025,Flachau,AUT,Great Britain,World Cup,Slopestyle,DNS,
5,Brookes Mia,Female,13-03-2025,Flachau,AUT,Great Britain,Qualification,Slopestyle,DNS,
6,Brookes Mia,Female,22-02-2025,Calgary,CAN,Great Britain,World Cup,Slopestyle,3,549.70
7,Brookes Mia,Female,20-02-2025,Calgary,CAN,Great Britain,Qualification,Slopestyle,2,
8,Brookes Mia,Female,06-02-2025,Aspen,USA,Great Britain,World Cup,Big Air,DNS,
9,Brookes Mia,Female,05-02-2025,Aspen,USA,Great Britain,Qualification,Big Air,DNS,
10,Brookes Mia,Female,02-02-2025,Aspen,USA,Great Britain,World Cup,Slopestyle,3,687.70
11,Brookes Mia,Female,31-01-2025,Aspen,USA,Great Britain,Qualification,Slopestyle,5,
12,Brookes Mia,Female,18-01-2025,Laax,SUI,Great Britain,World Cup,Slopestyle,1,1000.00
13,Brookes Mia,Female,16-01-2025,Laax,SUI,Great Britain,Qualification,Slopestyle,1,
14,Brookes Mia,Female,11-01-2025,Kreischberg,AUT,Great Britain,World Cup,Big Air,3,686.40
15,Brookes Mia,Female,09-01-2025,Kreischberg,AUT,Great Britain,Qualification,Big Air,2,
16,Brookes Mia,Female,05-01-2025,Klagenfurt,AUT,Great Britain,World Cup,Big Air,1,1000.00
17,Brookes Mia,Female,03-01-2025,Klagenfurt,AUT,Great Britain,Qualification,Big Air,5,
18,Brookes Mia,Female,01-12-2024,Beijing,CHN,Great Britain,World Cup,Big Air,1,1000.00
19,Brookes Mia,Female,30-11-2024,Beijing,CHN,Great Britain,Qualification,Big Air,5,
20,Brookes Mia,Female,19-10-2024,Chur,SUI,Great Britain,World Cup,Big Air,5,491.50
21,Brookes Mia,Female,02-09-2024,Cardrona,NZL,Great Britain,World Cup,Slopestyle,2,825.80
22,Brookes Mia,Female,31-08-2024,Cardrona,NZL,Great Britain,Qualification,Slopestyle,2,
23,Brookes Mia,Female,20-01-2024,Laax,SUI,Great Britain,World Cup,Slopestyle,8,315.40
24,Brookes Mia,Female,16-01-2024,Laax,SUI,Great Britain,Qualification,Slopestyle,5,
25,Brookes Mia,Female,15-12-2023,Copper Mountain,USA,Great Britain,World Cup,Big Air,3,672.10
26,Brookes Mia,Female,13-12-2023,Copper Mountain,USA,Great Britain,Qualification,Big Air,3,
27,Brookes Mia,Female,09-12-2023,Edmonton,CAN,Great Britain,World Cup,Big Air,2,810.30
28,Brookes Mia,Female,08-12-2023,Edmonton,CAN,Great Britain,Qualification,Big Air,3,
29,Brookes Mia,Female,02-12-2023,Beijing,CHN,Great Britain,World Cup,Big Air,4,511.20
30,Brookes Mia,Female,01-12-2023,Beijing,CHN,Great Britain,Qualification,Big Air,1,
31,Brookes Mia,Female,21-10-2023,Chur,SUI,Great Britain,World Cup,Big Air,3,674.30
32,Brookes Mia,Female,21-10-2023,Chur,SUI,Great Britain,Qualification,Big Air,1,
33,Brookes Mia,Female,25-03-2023,Silvaplana,SUI,Great Britain,World Cup,Slopestyle,4,540.10
34,Brookes Mia,Female,23-03-2023,Silvaplana,SUI,Great Britain,Qualification,Slopestyle,2,
35,Brookes Mia,Female,17-03-2023,Laax,SUI,Great Britain,European Cup Premium,Slopestyle,2,296.20
36,Brookes Mia,Female,04-03-2023,Bakuriani,GEO,Great Britain,World Championships,Big Air,5,477.70
37,Brookes Mia,Female,02-03-2023,Bakuriani,GEO,Great Britain,Qualification,Big Air,1,
38,Brookes Mia,Female,27-02-2023,Bakuriani,GEO,Great Britain,World Championships,Slopestyle,1,1000.00
39,Brookes Mia,Female,27-02-2023,Bakuriani,GEO,Great Britain,Qualification,Slopestyle,2,
40,Brookes Mia,Female,22-01-2023,Laax,SUI,Great Britain,World Cup,Slopestyle,2,824.90
41,Brookes Mia,Female,20-01-2023,Laax,SUI,Great Britain,Qualification,Slopestyle,1,
42,Brookes Mia,Female,14-01-2023,Kreischberg,AUT,Great Britain,World Cup,Big Air,5,477.70
43,Brookes Mia,Female,14-01-2023,Kreischberg,AUT,Great Britain,Qualification,Big Air,5,
44,Brookes Mia,Female,22-10-2022,Chur,SUI,Great Britain,World Cup,Big Air,9,249.70
45,Brookes Mia,Female,22-10-2022,Chur,SUI,Great Britain,Qualification,Big Air,9,
46,Brookes Mia,Female,02-08-2022,Perisher,AUS,Great Britain,Australian New Zealand Cup,Big Air,1,120.00
47,Brookes Mia,Female,02-08-2022,Perisher,AUS,Great Britain,Australian New Zealand Cup,Slopestyle,1,120.00
48,Brookes Mia,Female,01-08-2022,Perisher,AUS,Great Britain,Australian New Zealand Cup,Slopestyle,1,120.00
49,Brookes Mia,Female,15-03-2022,Laax,SUI,Great Britain,European Cup Premium,Slopestyle,1,160.00
50,Brookes Mia,Female,13-03-2022,Leysin,SUI,Great Britain,FIS Junior World Championships,Slopestyle,2,197.80
51,Brookes Mia,Female,10-03-2022,Leysin,SUI,Great Britain,FIS Junior World Championships,Big Air,1,240.00
52,Brookes Mia,Female,26-02-2022,Götschen,GER,Great Britain,European Cup,Big Air,1,140.00
53,Brookes Mia,Female,25-02-2022,Götschen,GER,Great Britain,European Cup,Slopestyle,1,180.00
54,Brookes Mia,Female,18-02-2022,Davos,SUI,Great Britain,European Cup Premium,Big Air,1,160.00
55,Brookes Mia,Female,28-01-2022,Crans Montana,SUI,Great Britain,European Cup,Big Air,1,180.00
56,Brookes Mia,Female,19-11-2021,Landgraaf,NED,Great Britain,European Cup,Slopestyle,1,130.00
57,Brookes Mia,Female,18-11-2021,Landgraaf,NED,Great Britain,FIS,Slopestyle,1,130.00
58,Brookes Mia,Female,20-04-2021,Corvatsch,SUI,Great Britain,European Cup Premium,Slopestyle,8,87.97
59,Brookes Mia,Female,18-04-2021,Corvatsch,SUI,Great Britain,European Cup Premium,Big Air,3,117.16
60,Brookes Mia,Female,11-03-2021,Leysin,SUI,Great Britain,European Cup,Slopestyle,1,150.00
61,Brookes Mia,Female,19-02-2021,Davos,SUI,Great Britain,European Cup,Big Air,1,220.00
62,Brookes Mia,Female,31-01-2021,Crans Montana,SUI,Great Britain,European Cup,Slopestyle,2,235.68
63,Brookes Mia,Female,22-12-2020,Corvatsch,SUI,Great Britain,European Cup,Slopestyle,2,291.68
