,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Buresova Vendula,Female,01-03-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,10,26.00
1,Buresova Vendula,Female,18-03-2023,Dolni Morava,CZE,Czechia,National Championships,Snowboard Cross,8,22.40
2,Buresova Vendula,Female,17-03-2023,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,11,16.80
3,Buresova Vendula,Female,13-01-2023,Gore Mountain,USA,Czechia,Universiade,Snowboard Cross,13,
4,Buresova Vendula,Female,12-01-2023,Gore Mountain,USA,Czechia,Qualification,Snowboard Cross,13,
5,Buresova Vendula,Female,25-11-2022,Pitztal,AUT,Czechia,FIS,Snowboard Cross,17,30.80
6,Buresova Vendula,Female,24-11-2022,Pitztal,AUT,Czechia,European Cup,Snowboard Cross,30,7.68
7,Buresova Vendula,Female,24-11-2022,Pitztal,AUT,Czechia,Qualification,Snowboard Cross,30,
8,Buresova Vendula,Female,02-04-2022,Passo San Pellegrino,ITA,Czechia,National Championships,Snowboard Cross,3,174.00
9,Buresova Vendula,Female,27-03-2022,Lenk,SUI,Czechia,National Championships,Snowboard Cross,6,80.00
10,Buresova Vendula,Female,26-03-2022,Lenk,SUI,Czechia,European Cup,Snowboard Cross,15,46.40
11,Buresova Vendula,Female,25-03-2022,Lenk,SUI,Czechia,European Cup,Snowboard Cross,7,104.40
12,Buresova Vendula,Female,06-03-2022,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,12,15.40
13,Buresova Vendula,Female,05-03-2022,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,4,55.00
14,Buresova Vendula,Female,03-03-2022,Pitztal,AUT,Czechia,European Cup,Snowboard Cross,25,17.40
15,Buresova Vendula,Female,02-03-2022,Pitztal,AUT,Czechia,European Cup,Snowboard Cross,19,38.40
16,Buresova Vendula,Female,27-02-2022,Grasgehren,GER,Czechia,European Cup,Snowboard Cross,9,75.40
17,Buresova Vendula,Female,26-02-2022,Grasgehren,GER,Czechia,European Cup,Snowboard Cross,17,36.40
18,Buresova Vendula,Female,06-02-2022,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,5,58.50
19,Buresova Vendula,Female,05-02-2022,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,13,26.00
20,Buresova Vendula,Female,03-02-2022,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,18,28.60
21,Buresova Vendula,Female,02-02-2022,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,25,13.20
22,Buresova Vendula,Female,23-01-2022,Reiteralm,AUT,Czechia,European Cup,Snowboard Cross,17,30.80
23,Buresova Vendula,Female,14-12-2021,Reiteralm,AUT,Czechia,FIS,Snowboard Cross,17,19.60
24,Buresova Vendula,Female,13-12-2021,Reiteralm,AUT,Czechia,FIS,Snowboard Cross,31,
25,Buresova Vendula,Female,11-12-2021,Moninec,CZE,Czechia,FIS,Snowboard Cross,1,50.00
26,Buresova Vendula,Female,31-10-2021,Les 2 Alpes,FRA,Czechia,FIS,Snowboard Cross,9,52.20
