,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Byron Gracie,Female,17-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,17,50.40
1,Byron Gracie,Female,16-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,10,93.60
2,Byron Gracie,Female,14-08-2025,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,9,104.40
3,Byron Gracie,Female,13-08-2025,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,11,28.80
4,Byron Gracie,Female,08-08-2025,Thredbo,AUS,Australia,Junior,Snowboard Cross,4,
5,Byron Gracie,Female,07-08-2025,Thredbo,AUS,Australia,Junior,Snowboard Cross,18,
6,Byron Gracie,Female,02-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,15,19.20
7,Byron Gracie,Female,01-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,16,18.00
8,Byron Gracie,Female,25-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,24,9.10
9,Byron Gracie,Female,24-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,20,14.30
10,Byron Gracie,Female,12-01-2025,Lenk,SUI,Australia,Junior Regional Cup,Snowboard Cross,31,5.04
11,Byron Gracie,Female,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,26,18.00
12,Byron Gracie,Female,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,23,28.80
13,Byron Gracie,Female,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,25,21.60
14,Byron Gracie,Female,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,12,33.00
