,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Canter Jake,Male,10-04-2025,Corvatsch,SUI,United States Of America,European Cup Premium,Slopestyle,2,415.70
1,Canter Jake,Male,22-02-2025,Calgary,CAN,United States Of America,World Cup,Slopestyle,7,391.10
2,Canter Jake,Male,20-02-2025,Calgary,CAN,United States Of America,Qualification,Slopestyle,3,
3,Canter Jake,Male,02-02-2025,Aspen,USA,United States Of America,World Cup,Slopestyle,10,288.20
4,Canter Jake,Male,31-01-2025,Aspen,USA,United States Of America,Qualification,Slopestyle,3,
5,Canter Jake,Male,18-01-2025,Laax,SUI,United States Of America,World Cup,Slopestyle,39,89.20
6,Canter Jake,Male,16-01-2025,Laax,SUI,United States Of America,Qualification,Slopestyle,15,
7,Canter Jake,Male,11-01-2025,Kreischberg,AUT,United States Of America,Qualification,Big Air,2,
8,Canter Jake,Male,11-01-2025,Kreischberg,AUT,United States Of America,World Cup,Big Air,10,287.50
9,Canter Jake,Male,02-09-2024,Cardrona,NZL,United States Of America,World Cup,Slopestyle,37,80.50
10,Canter Jake,Male,31-08-2024,Cardrona,NZL,United States Of America,Qualification,Slopestyle,15,
11,Canter Jake,Male,12-04-2024,Corvatsch,SUI,United States Of America,European Cup Premium,Slopestyle,4,298.50
12,Canter Jake,Male,23-03-2024,Silvaplana,SUI,United States Of America,World Cup,Slopestyle,14,223.10
13,Canter Jake,Male,21-03-2024,Silvaplana,SUI,United States Of America,Qualification,Slopestyle,4,
14,Canter Jake,Male,15-03-2024,Tignes,FRA,United States Of America,World Cup,Slopestyle,10,286.70
15,Canter Jake,Male,15-03-2024,Tignes,FRA,United States Of America,Qualification,Slopestyle,7,
16,Canter Jake,Male,20-01-2024,Laax,SUI,United States Of America,World Cup,Slopestyle,30,125.70
17,Canter Jake,Male,16-01-2024,Laax,SUI,United States Of America,Qualification,Slopestyle,18,
18,Canter Jake,Male,15-12-2023,Copper Mountain,USA,United States Of America,World Cup,Big Air,30,121.20
19,Canter Jake,Male,13-12-2023,Copper Mountain,USA,United States Of America,Qualification,Big Air,16,
20,Canter Jake,Male,09-12-2023,Edmonton,CAN,United States Of America,World Cup,Big Air,19,171.90
21,Canter Jake,Male,08-12-2023,Edmonton,CAN,United States Of America,Qualification,Big Air,10,
22,Canter Jake,Male,21-10-2023,Chur,SUI,United States Of America,Qualification,Big Air,11,
23,Canter Jake,Male,21-10-2023,Chur,SUI,United States Of America,World Cup,Big Air,20,168.60
24,Canter Jake,Male,26-03-2023,Silvaplana,SUI,United States Of America,World Cup,Slopestyle,6,352.00
25,Canter Jake,Male,25-03-2023,Silvaplana,SUI,United States Of America,Qualification,Slopestyle,7,
26,Canter Jake,Male,27-02-2023,Bakuriani,GEO,United States Of America,World Championships,Slopestyle,11,209.30
27,Canter Jake,Male,24-02-2023,Bakuriani,GEO,United States Of America,Qualification,Slopestyle,4,
28,Canter Jake,Male,12-02-2023,Calgary,CAN,United States Of America,World Cup,Slopestyle,5,400.30
29,Canter Jake,Male,10-02-2023,Calgary,CAN,United States Of America,Qualification,Slopestyle,6,
30,Canter Jake,Male,04-02-2023,Mammoth Mountain,USA,United States Of America,World Cup,Slopestyle,11,207.70
