,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Casanova Gian,Male,16-02-2025,Val St. Come,CAN,Switzerland,Qualification,Parallel Giant Slalom,23,
1,Casanova Gian,Male,16-02-2025,Val St. Come,CAN,Switzerland,World Cup,Parallel Giant Slalom,23,80.00
2,Casanova Gian,Male,15-02-2025,Val St. Come,CAN,Switzerland,Qualification,Parallel Giant Slalom,26,
3,Casanova Gian,Male,15-02-2025,Val St. Come,CAN,Switzerland,World Cup,Parallel Giant Slalom,26,50.00
4,Casanova Gian,Male,26-01-2025,Simonhöhe,AUT,Switzerland,European Cup,Parallel Giant Slalom,18,41.60
5,Casanova Gian,Male,25-01-2025,Rogla,SLO,Switzerland,Qualification,Parallel Giant Slalom,32,
6,Casanova Gian,Male,25-01-2025,Rogla,SLO,Switzerland,World Cup,Parallel Giant Slalom,32,26.00
7,Casanova Gian,Male,19-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,20,
8,Casanova Gian,Male,19-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,20,110.00
9,Casanova Gian,Male,18-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,15,
10,Casanova Gian,Male,18-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,15,160.00
11,Casanova Gian,Male,15-01-2025,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom Team,3,
12,Casanova Gian,Male,14-01-2025,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,10,
13,Casanova Gian,Male,14-01-2025,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,7,360.00
14,Casanova Gian,Male,11-01-2025,Scuol,SUI,Switzerland,Qualification,Parallel Giant Slalom,5,
15,Casanova Gian,Male,11-01-2025,Scuol,SUI,Switzerland,World Cup,Parallel Giant Slalom,11,240.00
16,Casanova Gian,Male,21-12-2024,Davos,SUI,Switzerland,Qualification,Parallel Slalom,25,
17,Casanova Gian,Male,21-12-2024,Davos,SUI,Switzerland,World Cup,Parallel Slalom,25,60.00
18,Casanova Gian,Male,14-12-2024,Cortina d'Ampezzo,ITA,Switzerland,Qualification,Parallel Giant Slalom,13,
19,Casanova Gian,Male,14-12-2024,Cortina d'Ampezzo,ITA,Switzerland,World Cup,Parallel Giant Slalom,14,180.00
20,Casanova Gian,Male,12-12-2024,Carezza,ITA,Switzerland,Qualification,Parallel Giant Slalom,17,
21,Casanova Gian,Male,12-12-2024,Carezza,ITA,Switzerland,World Cup,Parallel Giant Slalom,17,140.00
22,Casanova Gian,Male,08-12-2024,Yanqing (NASC),CHN,Switzerland,World Cup,Parallel Slalom,33,24.00
23,Casanova Gian,Male,08-12-2024,Yanqing (NASC),CHN,Switzerland,Qualification,Parallel Slalom,33,
24,Casanova Gian,Male,07-12-2024,Yanqing (NASC),CHN,Switzerland,World Cup,Parallel Giant Slalom,20,110.00
25,Casanova Gian,Male,07-12-2024,Yanqing (NASC),CHN,Switzerland,Qualification,Parallel Giant Slalom,20,
26,Casanova Gian,Male,01-12-2024,Mylin,CHN,Switzerland,World Cup,Parallel Slalom,33,24.00
27,Casanova Gian,Male,01-12-2024,Mylin,CHN,Switzerland,Qualification,Parallel Slalom,33,
28,Casanova Gian,Male,30-11-2024,Mylin,CHN,Switzerland,World Cup,Parallel Giant Slalom,26,50.00
29,Casanova Gian,Male,30-11-2024,Mylin,CHN,Switzerland,Qualification,Parallel Giant Slalom,26,
30,Casanova Gian,Male,07-04-2024,Samnaun,SUI,Switzerland,National Championships,Giant Slalom,2,232.00
31,Casanova Gian,Male,06-04-2024,Samnaun,SUI,Switzerland,National Championships,Parallel Slalom,3,174.00
32,Casanova Gian,Male,17-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Slalom,37,6.98
33,Casanova Gian,Male,16-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Giant Slalom,15,57.60
34,Casanova Gian,Male,10-03-2024,Winterberg,GER,Switzerland,World Cup,Parallel Slalom Team,12,
35,Casanova Gian,Male,09-03-2024,Winterberg,GER,Switzerland,Qualification,Parallel Slalom,34,
36,Casanova Gian,Male,09-03-2024,Winterberg,GER,Switzerland,World Cup,Parallel Slalom,34,
37,Casanova Gian,Male,25-02-2024,Krynica,POL,Switzerland,Qualification,Parallel Giant Slalom,33,
