,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Casi Federico,Male,22-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,23,
1,Casi Federico,Male,09-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,35,4.00
2,Casi Federico,Male,08-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,39,3.76
3,Casi Federico,Male,02-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,5,22.50
4,Casi Federico,Male,01-02-2025,Reiteralm,AUT,Italy,Junior,Snowboard Cross,4,25.00
5,Casi Federico,Male,24-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,6,72.00
6,Casi Federico,Male,23-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,42,3.58
7,Casi Federico,Male,12-01-2025,Lenk,SUI,Italy,Junior Regional Cup,Snowboard Cross,49,1.90
8,Casi Federico,Male,01-12-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,21,12.00
9,Casi Federico,Male,30-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,12,
10,Casi Federico,Male,30-11-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,26,6.00
11,Casi Federico,Male,27-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,69,
12,Casi Federico,Male,27-11-2024,Pitztal,AUT,Italy,European Cup,Snowboard Cross,69,3.53
13,Casi Federico,Male,06-04-2024,Gudauri,GEO,Italy,FIS Junior World Championships,Snowboard Cross,31,10.08
14,Casi Federico,Male,05-04-2024,Gudauri,GEO,Italy,Qualification,Snowboard Cross,30,
15,Casi Federico,Male,30-03-2024,Colere,ITA,Italy,National Championships,Snowboard Cross,27,13.05
16,Casi Federico,Male,22-03-2024,Lenk,SUI,Italy,European Cup,Snowboard Cross,55,3.36
17,Casi Federico,Male,21-03-2024,Lenk,SUI,Italy,European Cup,Snowboard Cross,29,8.64
18,Casi Federico,Male,14-03-2024,Isola 2000,FRA,Italy,European Cup,Snowboard Cross,22,18.00
19,Casi Federico,Male,12-03-2024,Isola 2000,FRA,Italy,Junior,Snowboard Cross,7,25.20
20,Casi Federico,Male,11-03-2024,Isola 2000,FRA,Italy,Junior,Snowboard Cross,29,5.40
21,Casi Federico,Male,25-02-2024,Grasgehren,GER,Italy,European Cup,Snowboard Cross,46,4.84
22,Casi Federico,Male,24-02-2024,Grasgehren,GER,Italy,European Cup,Snowboard Cross,50,4.96
23,Casi Federico,Male,17-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,47,3.94
24,Casi Federico,Male,16-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,42,4.30
25,Casi Federico,Male,04-02-2024,Colere,ITA,Italy,Junior,Snowboard Cross,14,9.00
26,Casi Federico,Male,03-02-2024,Colere,ITA,Italy,Junior,Snowboard Cross,1,50.00
27,Casi Federico,Male,28-01-2024,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,53,
28,Casi Federico,Male,27-01-2024,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,38,3.82
29,Casi Federico,Male,21-01-2024,Gangwon/Welli Hilli,KOR,Italy,Youth Olympic Winter Games,Snowboard Cross Team,8,
30,Casi Federico,Male,20-01-2024,Gangwon/Welli Hilli,KOR,Italy,Youth Olympic Winter Games,Snowboard Cross,9,31.90
31,Casi Federico,Male,09-12-2023,Pitztal,AUT,Italy,Junior,Snowboard Cross,30,3.20
32,Casi Federico,Male,03-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Junior Championships,Snowboard Cross,15,20.80
33,Casi Federico,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,16,43.50
34,Casi Federico,Male,19-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,41,3.28
35,Casi Federico,Male,18-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,50,2.79
36,Casi Federico,Male,08-02-2023,Cervinia,ITA,Italy,Junior,Snowboard Cross,13,26.00
37,Casi Federico,Male,07-02-2023,Cervinia,ITA,Italy,Junior,Snowboard Cross,13,26.00
38,Casi Federico,Male,14-01-2023,Lenk,SUI,Italy,FIS,Snowboard Cross,33,1.20
39,Casi Federico,Male,27-11-2022,Pitztal,AUT,Italy,Junior,Snowboard Cross,80,1.04
40,Casi Federico,Male,26-11-2022,Pitztal,AUT,Italy,Junior,Snowboard Cross,67,1.87
