,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Chayametisurat Fasai,Female,15-11-2024,Glacier 3000,SUI,Thailand,FIS,Big Air,3,3.10
1,Chayametisurat Fasai,Female,19-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Thailand,FIS,Rail Event,3,3.10
2,Chayametisurat Fasai,Female,18-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Thailand,FIS,Slopestyle,4,10.60
3,Chayametisurat Fasai,Female,17-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Thailand,FIS,Slopestyle,5,0.20
4,Chayametisurat Fasai,Female,26-03-2024,Livigno/Mottolino,ITA,Thailand,FIS Junior World Championships,Slopestyle,DNS,
5,Chayametisurat Fasai,Female,24-03-2024,Livigno/Mottolino,ITA,Thailand,Qualification,Slopestyle,DNS,
6,Chayametisurat Fasai,Female,23-11-2023,Glacier 3000,SUI,Thailand,FIS,Slopestyle,3,0.10
7,Chayametisurat Fasai,Female,20-10-2023,"Ski Dubai, Mall of the Emirates (UAE)",UAE,Thailand,FIS,Rail Event,2,
8,Chayametisurat Fasai,Female,19-10-2023,"Ski Dubai, Mall of the Emirates (UAE)",UAE,Thailand,FIS,Slopestyle,2,4.90
9,Chayametisurat Fasai,Female,18-10-2023,"Ski Dubai, Mall of the Emirates (UAE)",UAE,Thailand,FIS,Slopestyle,2,4.90
