,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Chereches Luana,Female,06-03-2022,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,4,35.00
1,Chereches Luana,Female,05-03-2022,Dolni Morava,CZE,Romania,FIS,Snowboard Cross,9,31.90
2,Chereches Luana,Female,12-12-2021,Moninec,CZE,Romania,FIS,Snowboard Cross,4,25.00
3,Chereches Luana,Female,11-12-2021,Moninec,CZE,Romania,FIS,Snowboard Cross,6,20.00
4,Chereches Luana,Female,12-03-2021,Lenk,SUI,Romania,European Cup,Snowboard Cross,16,33.00
5,Chereches Luana,Female,07-03-2021,Montafon/Gargellen,AUT,Romania,European Cup,Snowboard Cross,17,25.20
6,Chereches Luana,Female,06-03-2021,Montafon/Gargellen,AUT,Romania,European Cup,Snowboard Cross,14,32.40
7,Chereches Luana,Female,28-02-2021,Reiteralm,AUT,Romania,European Cup,Snowboard Cross,16,30.00
8,Chereches Luana,Female,27-02-2021,Reiteralm,AUT,Romania,European Cup,Snowboard Cross,18,26.00
9,Chereches Luana,Female,13-02-2021,Chiesa in Valmalenco,ITA,Romania,European Cup,Snowboard Cross,13,36.00
10,Chereches Luana,Female,12-02-2021,Chiesa in Valmalenco,ITA,Romania,European Cup,Snowboard Cross,11,43.20
11,Chereches Luana,Female,03-02-2021,Isola 2000,FRA,Romania,European Cup,Snowboard Cross,17,28.00
12,Chereches Luana,Female,31-01-2021,Isola 2000,FRA,Romania,European Cup,Snowboard Cross,30,11.52
13,Chereches Luana,Female,30-01-2021,Isola 2000,FRA,Romania,European Cup,Snowboard Cross,23,28.80
14,Chereches Luana,Female,24-01-2021,Reiteralm,AUT,Romania,FIS,Snowboard Cross,5,31.50
15,Chereches Luana,Female,23-01-2021,Reiteralm,AUT,Romania,FIS,Snowboard Cross,5,45.00
16,Chereches Luana,Female,17-01-2021,Colere,ITA,Romania,FIS,Snowboard Cross,11,52.80
17,Chereches Luana,Female,16-01-2021,Colere,ITA,Romania,FIS,Snowboard Cross,17,30.80
18,Chereches Luana,Female,01-04-2018,Copper Mountain Resort,USA,Romania,Nor-Am Cup,Snowboard Cross,13,36.00
19,Chereches Luana,Female,29-03-2018,Ski Cooper,USA,Romania,Nor-Am Cup,Snowboard Cross,9,52.20
20,Chereches Luana,Female,28-03-2018,Ski Cooper,USA,Romania,Nor-Am Cup,Snowboard Cross,9,52.20
21,Chereches Luana,Female,22-03-2018,Big White Ski Resort,CAN,Romania,Nor-Am Cup,Snowboard Cross,3,174.00
22,Chereches Luana,Female,18-03-2018,Big White Ski Resort,CAN,Romania,FIS,Snowboard Cross,6,44.00
23,Chereches Luana,Female,17-03-2018,Big White Ski Resort,CAN,Romania,FIS,Snowboard Cross,1,100.00
24,Chereches Luana,Female,08-03-2018,Sugarloaf,USA,Romania,Nor-Am Cup,Snowboard Cross,4,80.00
25,Chereches Luana,Female,07-03-2018,Sugarloaf,USA,Romania,Nor-Am Cup,Snowboard Cross,4,80.00
26,Chereches Luana,Female,23-02-2018,Mont Orignal,CAN,Romania,Nor-Am Cup,Snowboard Cross,13,32.00
27,Chereches Luana,Female,22-02-2018,Mont Orignal,CAN,Romania,Nor-Am Cup,Snowboard Cross,14,28.80
28,Chereches Luana,Female,14-02-2018,Sunday River Resort,USA,Romania,Nor-Am Cup,Snowboard Cross,4,90.00
29,Chereches Luana,Female,13-02-2018,Sunday River Resort,USA,Romania,Nor-Am Cup,Snowboard Cross,19,21.60
30,Chereches Luana,Female,09-02-2018,Craigleith,CAN,Romania,Nor-Am Cup,Snowboard Cross,9,46.40
31,Chereches Luana,Female,08-02-2018,Craigleith,CAN,Romania,Nor-Am Cup,Snowboard Cross,9,52.20
32,Chereches Luana,Female,21-01-2018,Big White Ski Resort,CAN,Romania,FIS,Snowboard Cross,5,49.50
33,Chereches Luana,Female,20-01-2018,Big White Ski Resort,CAN,Romania,FIS,Snowboard Cross,1,110.00
34,Chereches Luana,Female,30-11-2017,Pitztal,AUT,Romania,European Cup,Snowboard Cross,29,11.52
35,Chereches Luana,Female,29-11-2017,Pitztal,AUT,Romania,European Cup,Snowboard Cross,25,21.60
36,Chereches Luana,Female,15-12-2016,Val Thorens,FRA,Romania,European Cup,Snowboardcross,DNS1,
37,Chereches Luana,Female,01-12-2016,Pitztal,AUT,Romania,European Cup,Snowboardcross,25,21.60
38,Chereches Luana,Female,30-11-2016,Pitztal,AUT,Romania,European Cup,Snowboardcross,DNF1,
39,Chereches Luana,Female,09-04-2016,Bad Gastein,AUT,Romania,European Cup,Snowboardcross,18,
40,Chereches Luana,Female,08-04-2016,Bad Gastein,AUT,Romania,European Cup,Snowboardcross,13,58.00
41,Chereches Luana,Female,04-04-2016,Rogla,SLO,Romania,FIS Junior World Championships,Snowboardcross,37,6.98
42,Chereches Luana,Female,19-03-2016,Lenk,SUI,Romania,European Cup,Snowboardcross,23,17.60
43,Chereches Luana,Female,18-03-2016,Lenk,SUI,Romania,European Cup,Snowboardcross,DSQ1,
44,Chereches Luana,Female,13-03-2016,Puy St. Vincent,FRA,Romania,European Cup,Snowboardcross,20,26.40
45,Chereches Luana,Female,12-03-2016,Puy St. Vincent,FRA,Romania,European Cup,Snowboardcross,DNF1,
46,Chereches Luana,Female,05-03-2016,Moena,ITA,Romania,FIS,Snowboardcross,9,40.60
47,Chereches Luana,Female,04-03-2016,Moena,ITA,Romania,FIS,Snowboardcross,9,40.60
48,Chereches Luana,Female,14-02-2016,Dolni Morava,CZE,Romania,FIS,Snowboardcross,13,40.00
49,Chereches Luana,Female,13-02-2016,Dolni Morava,CZE,Romania,FIS,Snowboardcross,7,72.00
50,Chereches Luana,Female,30-01-2016,Grasgehren,GER,Romania,European Cup,Snowboardcross,40,5.36
51,Chereches Luana,Female,10-01-2016,Dolni Morava,CZE,Romania,FIS,Snowboardcross,8,41.60
52,Chereches Luana,Female,09-01-2016,Dolni Morava,CZE,Romania,FIS,Snowboardcross,10,33.80
53,Chereches Luana,Female,28-11-2015,Pitztal,AUT,Romania,Junior,Snowboardcross,24,14.00
54,Chereches Luana,Female,28-11-2015,Pitztal,AUT,Romania,Junior,Snowboardcross,13,40.00
55,Chereches Luana,Female,26-11-2015,Pitztal,AUT,Romania,European Cup,Snowboardcross,49,5.06
56,Chereches Luana,Female,25-11-2015,Pitztal,AUT,Romania,European Cup,Snowboardcross,65,0.00
57,Chereches Luana,Female,07-02-2015,Cortina d'Ampezzo,ITA,Romania,European Cup,Snowboardcross,30,16.00
58,Chereches Luana,Female,25-01-2015,Sedrun,SUI,Romania,FIS,Snowboardcross,15,22.40
