,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Cho Soung-hee,Male,06-04-2025,Bansko,BUL,Korea,National Championships,Parallel Slalom,7,104.40
1,Cho Soung-hee,Male,05-04-2025,Bansko,BUL,Korea,National Championships,Parallel Giant Slalom,DSQ,
2,Cho Soung-hee,Male,29-03-2025,Krvavec,SLO,Korea,National Championships,Giant Slalom,13,58.00
3,Cho Soung-hee,Male,05-03-2025,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,5,81.00
4,Cho Soung-hee,Male,04-03-2025,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,5,81.00
5,Cho Soung-hee,Male,28-02-2025,Akan,JPN,Korea,Asian Cup,Parallel Giant Slalom,3,96.00
6,Cho Soung-hee,Male,27-02-2025,Akan,JPN,Korea,Asian Cup,Parallel Slalom,4,80.00
7,Cho Soung-hee,Male,08-02-2025,Jinshanling Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,6,80.00
8,Cho Soung-hee,Male,07-02-2025,Jinshanling Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,DNS,
9,Cho Soung-hee,Male,09-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Slalom,DNF,
10,Cho Soung-hee,Male,08-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,1,160.00
11,Cho Soung-hee,Male,19-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Slalom,DSQ,
12,Cho Soung-hee,Male,18-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Parallel Giant Slalom,17,28.00
13,Cho Soung-hee,Male,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,DSQ,
14,Cho Soung-hee,Male,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,16,30.00
15,Cho Soung-hee,Male,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,DNF,
16,Cho Soung-hee,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,5,108.00
17,Cho Soung-hee,Male,02-03-2024,Akan,JPN,Korea,FIS,Parallel Giant Slalom,15,28.80
18,Cho Soung-hee,Male,01-03-2024,Akan,JPN,Korea,National Championships,Parallel Giant Slalom,6,72.00
19,Cho Soung-hee,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,2,176.00
20,Cho Soung-hee,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,DSQ,
21,Cho Soung-hee,Male,19-03-2023,Ratschings,ITA,Korea,European Cup,Parallel Slalom,23,19.20
22,Cho Soung-hee,Male,18-03-2023,Berchtesgaden,GER,Korea,Qualification,Parallel Slalom,DNF,
23,Cho Soung-hee,Male,18-03-2023,Berchtesgaden,GER,Korea,World Cup,Parallel Slalom,DNF,
24,Cho Soung-hee,Male,12-03-2023,Davos,SUI,Korea,European Cup,Parallel Slalom,18,28.60
25,Cho Soung-hee,Male,11-03-2023,Davos,SUI,Korea,European Cup,Parallel Slalom,DSQ,
26,Cho Soung-hee,Male,03-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Slalom,4,180.00
27,Cho Soung-hee,Male,02-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,6,144.00
