,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Cho Wan-hee,Male,05-03-2025,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,2,
1,Cho Wan-hee,Male,04-03-2025,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,1,
2,Cho Wan-hee,Male,02-02-2025,Ratschings,ITA,Korea,European Cup,Parallel Slalom,13,52.00
3,Cho Wan-hee,Male,02-02-2025,Ratschings,ITA,Korea,Qualification,Parallel Slalom,12,
4,Cho Wan-hee,Male,01-02-2025,Ratschings,ITA,Korea,European Cup,Parallel Slalom,7,104.40
5,Cho Wan-hee,Male,01-02-2025,Ratschings,ITA,Korea,Qualification,Parallel Slalom,10,
6,Cho Wan-hee,Male,26-01-2025,Simonhöhe,AUT,Korea,European Cup,Parallel Giant Slalom,1,320.00
7,Cho Wan-hee,Male,25-01-2025,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,34,
8,Cho Wan-hee,Male,25-01-2025,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,34,22.00
9,Cho Wan-hee,Male,19-01-2025,Bansko,BUL,Korea,Qualification,Parallel Giant Slalom,18,
10,Cho Wan-hee,Male,19-01-2025,Bansko,BUL,Korea,World Cup,Parallel Giant Slalom,18,130.00
11,Cho Wan-hee,Male,18-01-2025,Bansko,BUL,Korea,Qualification,Parallel Giant Slalom,28,
12,Cho Wan-hee,Male,18-01-2025,Bansko,BUL,Korea,World Cup,Parallel Giant Slalom,28,40.00
13,Cho Wan-hee,Male,14-01-2025,Bad Gastein,AUT,Korea,Qualification,Parallel Slalom,DNF,
14,Cho Wan-hee,Male,14-01-2025,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom,DNF,
15,Cho Wan-hee,Male,11-01-2025,Scuol,SUI,Korea,Qualification,Parallel Giant Slalom,26,
16,Cho Wan-hee,Male,11-01-2025,Scuol,SUI,Korea,World Cup,Parallel Giant Slalom,26,50.00
17,Cho Wan-hee,Male,08-12-2024,Yanqing (NASC),CHN,Korea,World Cup,Parallel Slalom,DNF,
18,Cho Wan-hee,Male,08-12-2024,Yanqing (NASC),CHN,Korea,Qualification,Parallel Slalom,DNF,
19,Cho Wan-hee,Male,07-12-2024,Yanqing (NASC),CHN,Korea,World Cup,Parallel Giant Slalom,28,40.00
20,Cho Wan-hee,Male,07-12-2024,Yanqing (NASC),CHN,Korea,Qualification,Parallel Giant Slalom,28,
21,Cho Wan-hee,Male,01-12-2024,Mylin,CHN,Korea,World Cup,Parallel Slalom,21,100.00
22,Cho Wan-hee,Male,01-12-2024,Mylin,CHN,Korea,Qualification,Parallel Slalom,21,
23,Cho Wan-hee,Male,30-11-2024,Mylin,CHN,Korea,World Cup,Parallel Giant Slalom,12,220.00
24,Cho Wan-hee,Male,30-11-2024,Mylin,CHN,Korea,Qualification,Parallel Giant Slalom,8,
25,Cho Wan-hee,Male,19-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Slalom,5,90.00
26,Cho Wan-hee,Male,18-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Parallel Giant Slalom,3,120.00
27,Cho Wan-hee,Male,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,6,80.00
28,Cho Wan-hee,Male,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,5,90.00
29,Cho Wan-hee,Male,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,2,160.00
30,Cho Wan-hee,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,1,240.00
31,Cho Wan-hee,Male,02-03-2024,Akan,JPN,Korea,FIS,Parallel Giant Slalom,2,144.00
32,Cho Wan-hee,Male,01-03-2024,Akan,JPN,Korea,National Championships,Parallel Giant Slalom,3,108.00
33,Cho Wan-hee,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,4,110.00
34,Cho Wan-hee,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,4,110.00
35,Cho Wan-hee,Male,19-03-2023,Ratschings,ITA,Korea,European Cup,Parallel Slalom,31,6.72
36,Cho Wan-hee,Male,18-03-2023,Berchtesgaden,GER,Korea,Qualification,Parallel Slalom,31,
37,Cho Wan-hee,Male,18-03-2023,Berchtesgaden,GER,Korea,World Cup,Parallel Slalom,31,28.00
38,Cho Wan-hee,Male,15-03-2023,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,28,40.00
39,Cho Wan-hee,Male,15-03-2023,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,28,
40,Cho Wan-hee,Male,12-03-2023,Davos,SUI,Korea,European Cup,Parallel Slalom,15,35.20
41,Cho Wan-hee,Male,11-03-2023,Davos,SUI,Korea,European Cup,Parallel Slalom,11,86.40
42,Cho Wan-hee,Male,03-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Slalom,3,216.00
43,Cho Wan-hee,Male,02-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,3,216.00
44,Cho Wan-hee,Male,21-02-2023,Bakuriani,GEO,Korea,Qualification,Parallel Slalom,28,
45,Cho Wan-hee,Male,21-02-2023,Bakuriani,GEO,Korea,World Championships,Parallel Slalom,28,40.00
46,Cho Wan-hee,Male,19-02-2023,Bakuriani,GEO,Korea,Qualification,Parallel Giant Slalom,22,
47,Cho Wan-hee,Male,19-02-2023,Bakuriani,GEO,Korea,World Championships,Parallel Giant Slalom,22,90.00
48,Cho Wan-hee,Male,07-02-2023,high1 resort,KOR,Korea,FIS,Parallel Slalom,3,132.00
49,Cho Wan-hee,Male,06-02-2023,high1 resort,KOR,Korea,FIS,Parallel Giant Slalom,6,88.00
50,Cho Wan-hee,Male,22-01-2023,Gore Mountain,USA,Korea,Universiade,Parallel Slalom,20,24.20
51,Cho Wan-hee,Male,22-01-2023,Gore Mountain,USA,Korea,Qualification,Parallel Slalom,20,
52,Cho Wan-hee,Male,21-01-2023,Gore Mountain,USA,Korea,Universiade,Parallel Giant Slalom,8,70.40
53,Cho Wan-hee,Male,21-01-2023,Gore Mountain,USA,Korea,Qualification,Parallel Giant Slalom,8,
54,Cho Wan-hee,Male,17-03-2022,Rogla,SLO,Korea,European Cup,Parallel Giant Slalom,2,256.00
55,Cho Wan-hee,Male,16-03-2022,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,23,
56,Cho Wan-hee,Male,16-03-2022,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,23,80.00
57,Cho Wan-hee,Male,13-03-2022,Spindleruv Mlyn,CZE,Korea,National Championships,Parallel Slalom,1,110.00
58,Cho Wan-hee,Male,12-03-2022,Spindleruv Mlyn,CZE,Korea,National Championships,Parallel Giant Slalom,1,110.00
59,Cho Wan-hee,Male,09-03-2022,SUCHE/Zakopane,POL,Korea,National Championships,Parallel Slalom,9,84.10
60,Cho Wan-hee,Male,08-03-2022,SUCHE/Zakopane,POL,Korea,National Championships,Parallel Giant Slalom,3,174.00
61,Cho Wan-hee,Male,03-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Slalom,5,130.50
62,Cho Wan-hee,Male,02-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Giant Slalom,3,174.00
63,Cho Wan-hee,Male,22-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Slalom,7,79.20
64,Cho Wan-hee,Male,21-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Giant Slalom,2,176.00
65,Cho Wan-hee,Male,20-03-2021,Berchtesgaden,GER,Korea,Qualification,Parallel Slalom,48,
66,Cho Wan-hee,Male,20-03-2021,Berchtesgaden,GER,Korea,World Cup,Parallel Slalom,48,16.10
67,Cho Wan-hee,Male,13-03-2021,Davos Rinerhorn,SUI,Korea,European Cup,Parallel Giant Slalom,DSQ,
68,Cho Wan-hee,Male,09-03-2021,SUCHE/Zakopane,POL,Korea,National Championships,Parallel Slalom,10,75.40
69,Cho Wan-hee,Male,08-03-2021,SUCHE/Zakopane,POL,Korea,National Championships,Parallel Giant Slalom,4,145.00
70,Cho Wan-hee,Male,06-03-2021,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,52,
71,Cho Wan-hee,Male,06-03-2021,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,52,14.90
72,Cho Wan-hee,Male,02-03-2021,Rogla,SLO,Korea,World Championships,Parallel Slalom,38,19.10
73,Cho Wan-hee,Male,02-03-2021,Rogla,SLO,Korea,Qualification,Parallel Slalom,38,
74,Cho Wan-hee,Male,01-03-2021,Rogla,SLO,Korea,World Championships,Parallel Giant Slalom,28,40.00
75,Cho Wan-hee,Male,01-03-2021,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,28,
76,Cho Wan-hee,Male,21-02-2021,Gerlitzen,AUT,Korea,National Championships,Parallel Slalom,32,7.54
77,Cho Wan-hee,Male,20-02-2021,Gerlitzen,AUT,Korea,National Championships,Parallel Giant Slalom,14,52.20
78,Cho Wan-hee,Male,07-02-2021,Bannoye,RUS,Korea,Qualification,Parallel Slalom,46,
79,Cho Wan-hee,Male,07-02-2021,Bannoye,RUS,Korea,World Cup,Parallel Slalom,46,
80,Cho Wan-hee,Male,06-02-2021,Baonoye,RUS,Korea,Qualification,Parallel Giant Slalom,DSQ,
81,Cho Wan-hee,Male,06-02-2021,Bannoye,RUS,Korea,World Cup,Parallel Giant Slalom,DSQ,
82,Cho Wan-hee,Male,30-01-2021,Moscow,RUS,Korea,Qualification,Parallel Slalom,40,
