,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Coleman Harry,Male,08-04-2024,Corvatsch,SUI,Great Britain,European Cup,Halfpipe,25,18.30
1,Coleman Harry,Male,17-03-2024,Winsport Calgary,CAN,Great Britain,FIS,Halfpipe,4,27.40
2,Coleman Harry,Male,16-03-2024,Winsport Calgary,CAN,Great Britain,FIS,Slopestyle,9,14.90
3,Coleman Harry,Male,21-02-2024,Winsport Calgary,CAN,Great Britain,Nor-Am Cup,Halfpipe,17,21.30
4,Coleman Harry,Male,28-01-2024,Winsport Calgary,CAN,Great Britain,FIS,Halfpipe,9,11.50
5,Coleman Harry,Male,27-01-2024,Winsport Calgary,CAN,Great Britain,FIS,Slopestyle,9,14.60
6,Coleman Harry,Male,18-01-2024,Sun Peaks,CAN,Great Britain,Nor-Am Cup,Big Air,35,11.20
7,Coleman Harry,Male,17-01-2024,Sun Peaks,CAN,Great Britain,Nor-Am Cup,Slopestyle,42,9.90
8,Coleman Harry,Male,13-10-2023,SnowWorld Landgraaf,NED,Great Britain,FIS,Slopestyle,23,7.70
9,Coleman Harry,Male,12-10-2023,SnowWorld Landgraaf,NED,Great Britain,FIS,Slopestyle,29,4.10
10,Coleman Harry,Male,29-09-2023,Cardrona,NZL,Great Britain,Australian New Zealand Cup,Slopestyle,38,12.70
11,Coleman Harry,Male,12-08-2023,The Remarkables,NZL,Great Britain,Australian New Zealand Cup,Slopestyle,23,0.10
12,Coleman Harry,Male,22-04-2023,Kitzsteinhorn,AUT,Great Britain,European Cup,Big Air,48,5.80
13,Coleman Harry,Male,21-04-2023,Kitzsteinhorn,AUT,Great Britain,European Cup,Slopestyle,56,3.20
14,Coleman Harry,Male,29-03-2023,Leysin,SUI,Great Britain,FIS,Big Air,20,3.00
15,Coleman Harry,Male,28-03-2023,Leysin,SUI,Great Britain,FIS,Slopestyle,16,21.00
16,Coleman Harry,Male,18-02-2023,Davos,SUI,Great Britain,European Cup,Big Air,38,4.30
17,Coleman Harry,Male,18-10-2022,"Ski Dubai, Mall of the Emirates",UAE,Great Britain,FIS,Slopestyle,1,10.00
18,Coleman Harry,Male,17-10-2022,"Ski Dubai, Mall of the Emirates",UAE,Great Britain,FIS,Slopestyle,1,10.00
19,Coleman Harry,Male,07-10-2022,SnowWorld Landgraaf,NED,Great Britain,FIS,Slopestyle,32,1.90
20,Coleman Harry,Male,06-10-2022,SnowWorld Landgraaf,NED,Great Britain,FIS,Slopestyle,22,8.00
21,Coleman Harry,Male,18-11-2021,Landgraaf,NED,Great Britain,FIS,Slopestyle,67,4.70
22,Coleman Harry,Male,08-10-2021,Landgraaf,NED,Great Britain,FIS,Slopestyle,25,0.80
