,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Conaty Kiran,Male,11-04-2025,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,20,2.00
1,Conaty Kiran,Male,16-03-2025,Laax,SUI,Switzerland,National Junior Championships,Halfpipe,17,6.10
2,Conaty Kiran,Male,08-03-2025,LAAX Kids Open,SUI,Switzerland,Junior,Halfpipe,10,17.20
3,Conaty Kiran,Male,07-03-2025,LAAX Kids Open,SUI,Switzerland,Junior,Slopestyle,13,11.10
4,Conaty Kiran,Male,15-02-2025,Davos,SUI,Switzerland,Junior,Slopestyle,5,24.60
5,Conaty Kiran,Male,02-02-2025,Grindelwald,SUI,Switzerland,Junior,Slopestyle,5,23.90
6,Conaty Kiran,Male,01-02-2025,Grindelwald,SUI,Switzerland,Junior,Halfpipe,8,12.80
7,Conaty Kiran,Male,31-01-2025,Grindelwald,SUI,Switzerland,FIS,Halfpipe,9,8.10
8,Conaty Kiran,Male,17-01-2025,Livigno,ITA,Switzerland,Junior,Slopestyle,22,4.50
9,Conaty Kiran,Male,21-12-2024,Schilthorn,SUI,Switzerland,FIS,Slopestyle,24,6.70
10,Conaty Kiran,Male,15-11-2024,Glacier 3000,SUI,Switzerland,FIS,Big Air,18,8.20
11,Conaty Kiran,Male,14-04-2024,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,4,26.70
12,Conaty Kiran,Male,10-03-2024,Laax,SUI,Switzerland,National Junior Championships,Halfpipe,7,14.50
13,Conaty Kiran,Male,18-02-2024,Davos,SUI,Switzerland,Junior,Slopestyle,22,0.10
14,Conaty Kiran,Male,04-02-2024,Grindelwald,SUI,Switzerland,Junior,Halfpipe,5,19.10
15,Conaty Kiran,Male,03-02-2024,Grindelwald,SUI,Switzerland,Junior,Slopestyle,21,3.90
16,Conaty Kiran,Male,21-01-2024,Adelboden - Lenk,SUI,Switzerland,Junior,Slopestyle,4,23.70
