,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Cowan Lola,Female,01-02-2025,Aspen,USA,Chile,World Cup,Halfpipe,27,54.30
1,Cowan Lola,Female,30-01-2025,Aspen,USA,Chile,Qualification,Halfpipe,27,
2,Cowan Lola,Female,18-01-2025,Laax,SUI,Chile,World Cup,Halfpipe,25,44.90
3,Cowan Lola,Female,17-01-2025,Laax,SUI,Chile,Qualification,Halfpipe,25,
4,Cowan Lola,Female,20-12-2024,Copper,USA,Chile,World Cup,Halfpipe,32,29.10
5,Cowan Lola,Female,18-12-2024,Copper,USA,Chile,Qualification,Halfpipe,16,
6,Cowan Lola,Female,08-12-2024,Secret Garden,CHN,Chile,World Cup,Halfpipe,26,10.40
7,Cowan Lola,Female,06-12-2024,Secret Garden,CHN,Chile,Qualification,Halfpipe,26,
8,Cowan Lola,Female,08-04-2024,Corvatsch,SUI,Chile,European Cup,Halfpipe,11,60.70
9,Cowan Lola,Female,18-03-2024,"Aspen Snowmass, CO",USA,Chile,Nor-Am Cup,Halfpipe,11,42.00
10,Cowan Lola,Female,18-03-2024,"Aspen Snowmass, CO",USA,Chile,Nor-Am Cup Premium,Halfpipe,7,54.60
11,Cowan Lola,Female,21-02-2024,Winsport Calgary,CAN,Chile,Nor-Am Cup,Halfpipe,9,32.10
12,Cowan Lola,Female,03-02-2024,Mammoth Mountain,USA,Chile,World Cup,Halfpipe,16,65.60
13,Cowan Lola,Female,30-01-2024,Mammoth Mountain,USA,Chile,Qualification,Halfpipe,16,
14,Cowan Lola,Female,25-01-2024,Copper Mountain,USA,Chile,Nor-Am Cup,Halfpipe,8,32.80
15,Cowan Lola,Female,10-01-2024,"Copper Mountain, CO",USA,Chile,FIS,Halfpipe,7,15.10
16,Cowan Lola,Female,10-03-2023,Horseshoe Resort,CAN,Chile,Nor-Am Cup,Big Air,7,18.60
17,Cowan Lola,Female,09-03-2023,Horseshoe Resort,CAN,Chile,Nor-Am Cup,Slopestyle,12,0.20
18,Cowan Lola,Female,08-03-2023,Horseshoe Resort,CAN,Chile,Nor-Am Cup,Slopestyle,10,20.60
19,Cowan Lola,Female,16-02-2023,Winsport Calgary,CAN,Chile,Nor-Am Cup,Big Air,5,37.20
20,Cowan Lola,Female,15-02-2023,Winsport Calgary,CAN,Chile,Nor-Am Cup,Slopestyle,8,0.30
21,Cowan Lola,Female,10-02-2023,"Aspen Snowmass, CO",USA,Chile,Nor-Am Cup,Slopestyle,DNS,
