,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Crazzolara Kevin,Male,13-03-2024,Davos/Rinerhorn ,SUI,Italy,European Cup,Parallel Giant Slalom,28,14.40
1,Crazzolara Kevin,Male,12-03-2024,Davos/Rinerhorn ,SUI,Italy,European Cup,Parallel Giant Slalom,36,7.09
2,Crazzolara Kevin,Male,09-03-2024,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,DNS,
3,Crazzolara Kevin,Male,24-02-2024,Alleghe,ITA,Italy,Junior,Parallel Giant Slalom,13,30.00
4,Crazzolara Kevin,Male,09-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Slalom,33,6.96
5,Crazzolara Kevin,Male,08-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Giant Slalom,28,11.60
6,Crazzolara Kevin,Male,04-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,21,14.00
7,Crazzolara Kevin,Male,03-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,24,9.80
8,Crazzolara Kevin,Male,28-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,29,5.76
9,Crazzolara Kevin,Male,27-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,13,26.00
10,Crazzolara Kevin,Male,14-01-2024,Gosau,AUT,Italy,FIS,Parallel Slalom,DSQ,
11,Crazzolara Kevin,Male,13-01-2024,Gosau,AUT,Italy,FIS,Parallel Slalom,9,29.00
12,Crazzolara Kevin,Male,12-01-2024,Folgaria,ITA,Italy,European Cup,Parallel Slalom,DSQ,
13,Crazzolara Kevin,Male,12-01-2024,Folgaria,ITA,Italy,Qualification,Parallel Slalom,DSQ1,
14,Crazzolara Kevin,Male,11-01-2024,Folgaria,ITA,Italy,European Cup,Parallel Slalom,33,
15,Crazzolara Kevin,Male,11-01-2024,Folgaria,ITA,Italy,Qualification,Parallel Slalom,33,
16,Crazzolara Kevin,Male,05-01-2024,Simonhöhe,AUT,Italy,Junior,Parallel Giant Slalom,11,26.40
17,Crazzolara Kevin,Male,22-12-2023,Moninec,CZE,Italy,Junior,Parallel Slalom,5,31.50
18,Crazzolara Kevin,Male,21-12-2023,Moninec,CZE,Italy,Junior,Parallel Slalom,12,22.00
19,Crazzolara Kevin,Male,20-12-2023,Moninec,CZE,Italy,European Cup,Parallel Slalom,30,7.04
20,Crazzolara Kevin,Male,19-12-2023,Moninec,CZE,Italy,European Cup,Parallel Slalom,44,3.81
21,Crazzolara Kevin,Male,10-12-2023,Götschen,GER,Italy,Junior,Parallel Slalom,17,18.20
22,Crazzolara Kevin,Male,09-12-2023,Götschen,GER,Italy,European Cup,Parallel Slalom,51,5.47
23,Crazzolara Kevin,Male,09-12-2023,Götschen,GER,Italy,Qualification,Parallel Slalom,51,
24,Crazzolara Kevin,Male,08-12-2023,Götschen,GER,Italy,European Cup,Parallel Slalom,53,5.26
25,Crazzolara Kevin,Male,08-12-2023,Götschen,GER,Italy,Qualification,Parallel Slalom,53,
26,Crazzolara Kevin,Male,30-03-2023,Cortina dAmpezzo,ITA,Italy,National Championships,Parallel Slalom,23,23.20
27,Crazzolara Kevin,Male,19-03-2023,Ratschings,ITA,Italy,European Cup,Parallel Slalom,DNF,
28,Crazzolara Kevin,Male,18-03-2023,Ratschings,ITA,Italy,European Cup,Parallel Slalom,35,3.60
