,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Dagur Arnor,Male,15-01-2025,Seiser Alm,ITA,Iceland,European Cup,Slopestyle,40,5.80
1,Dagur Arnor,Male,15-11-2024,Glacier 3000,SUI,Iceland,FIS,Big Air,14,11.10
2,Dagur Arnor,Male,05-10-2024,SnowWorld Landgraaf,NED,Iceland,FIS,Rail Event,9,13.60
3,Dagur Arnor,Male,04-10-2024,SnowWorld Landgraaf,NED,Iceland,FIS,Slopestyle,10,15.90
4,Dagur Arnor,Male,03-10-2024,SnowWorld Landgraaf,NED,Iceland,FIS,Slopestyle,2,49.70
5,Dagur Arnor,Male,06-04-2024,Akureyri,ISL,Iceland,National Championships,Slopestyle,2,40.40
6,Dagur Arnor,Male,06-04-2024,Akureyri,ISL,Iceland,National Championships,Big Air,3,32.60
7,Dagur Arnor,Male,12-03-2024,Laax,SUI,Iceland,European Cup Premium,Slopestyle,48,24.80
8,Dagur Arnor,Male,15-02-2024,Davos,SUI,Iceland,European Cup,Big Air,36,6.00
9,Dagur Arnor,Male,10-02-2024,Mayrhofen,AUT,Iceland,FIS,Slopestyle,9,5.20
10,Dagur Arnor,Male,13-10-2023,SnowWorld Landgraaf,NED,Iceland,FIS,Slopestyle,7,30.00
11,Dagur Arnor,Male,12-10-2023,SnowWorld Landgraaf,NED,Iceland,FIS,Slopestyle,10,21.20
12,Dagur Arnor,Male,04-03-2023,Oberammergau,GER,Iceland,FIS,Slopestyle,15,4.40
13,Dagur Arnor,Male,12-02-2023,Mayrhofen,AUT,Iceland,FIS,Slopestyle,16,0.10
14,Dagur Arnor,Male,07-10-2022,SnowWorld Landgraaf,NED,Iceland,FIS,Slopestyle,25,6.10
15,Dagur Arnor,Male,06-10-2022,SnowWorld Landgraaf,NED,Iceland,FIS,Slopestyle,29,3.60
16,Dagur Arnor,Male,25-03-2022,Vuokatti,FIN,Iceland,European Youth Olympic Festival,Slopestyle,23,11.10
17,Dagur Arnor,Male,23-03-2022,Vuokatti,FIN,Iceland,European Youth Olympic Festival,Big Air,37,1.70
18,Dagur Arnor,Male,18-01-2022,Livigno,ITA,Iceland,Junior,Slopestyle,29,0.10
19,Dagur Arnor,Male,29-04-2021,Akureyri,ISL,Iceland,FIS,Slopestyle,5,23.43
20,Dagur Arnor,Male,29-04-2021,Akureyri,ISL,Iceland,National Championships,Big Air,13,5.18
21,Dagur Arnor,Male,29-04-2021,Akureyri,ISL,Iceland,National Championships,Slopestyle,3,33.81
22,Dagur Arnor,Male,08-03-2020,Reykjavik,ISL,Iceland,FIS,Slopestyle,5,22.50
23,Dagur Arnor,Male,17-03-2019,Akureyri,ISL,Iceland,National Championships,Big Air,8,16.00
24,Dagur Arnor,Male,16-03-2019,Akureyri,ISL,Iceland,National Championships,Slopestyle,13,10.00
25,Dagur Arnor,Male,07-04-2018,Akureyri,ISL,Iceland,FIS,Slopestyle,16,7.50
26,Dagur Arnor,Male,25-03-2018,Reykjavik,ISL,Iceland,National Championships,Slopestyle,8,16.00
