,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Darbandsari Ali,Male,16-04-2024,Tochal,IRI,Iran,FIS,Giant Slalom,13,10.00
1,Darbandsari Ali,Male,15-04-2024,Tochal,IRI,Iran,FIS,Giant Slalom,9,14.50
2,Darbandsari Ali,Male,11-03-2024,Dizin,IRI,Iran,FIS,Slalom,12,11.00
3,Darbandsari Ali,Male,10-03-2024,Dizin,IRI,Iran,FIS,Slalom,12,11.00
4,Darbandsari Ali,Male,03-03-2024,Dizin,IRI,Iran,FIS,Slalom,9,14.50
5,Darbandsari Ali,Male,02-03-2024,Dizin,IRI,Iran,FIS,Slalom,9,14.50
6,Darbandsari Ali,Male,21-02-2024,Dizin,IRI,Iran,FIS,Slalom,8,16.00
7,Darbandsari Ali,Male,20-02-2024,Dizin,IRI,Iran,FIS,Slalom,12,11.00
8,Darbandsari Ali,Male,13-04-2017,Tochal,IRI,Iran,FIS,Giant Slalom,11,12.00
9,Darbandsari Ali,Male,06-02-2017,Darbandsar,IRI,Iran,FIS,Slalom,12,11.00
10,Darbandsari Ali,Male,05-02-2017,Darbandsar,IRI,Iran,FIS,Slalom,16,7.50
11,Darbandsari Ali,Male,04-01-2017,Dizin,IRI,Iran,FIS,Giant Slalom,20,5.50
12,Darbandsari Ali,Male,25-02-2015,Dizin,IRI,Iran,FIS,Giant Slalom,15,8.00
13,Darbandsari Ali,Male,24-02-2015,Dizin,IRI,Iran,FIS,Giant Slalom,17,7.00
14,Darbandsari Ali,Male,03-02-2015,Shemshak,IRI,Iran,FIS,Slalom,10,13.00
15,Darbandsari Ali,Male,02-02-2015,Shemshak,IRI,Iran,FIS,Slalom,14,9.00
16,Darbandsari Ali,Male,31-12-2014,Darbandsar,IRI,Iran,FIS,Slalom,14,9.00
17,Darbandsari Ali,Male,30-12-2014,Darbandsar,IRI,Iran,FIS,Slalom,16,
18,Darbandsari Ali,Male,25-12-2014,Tochal,IRI,Iran,FIS,Giant Slalom,13,
19,Darbandsari Ali,Male,24-12-2014,Tochal,IRI,Iran,FIS,Giant Slalom,11,12.00
20,Darbandsari Ali,Male,26-02-2014,Dizin,IRI,Iran,FIS,Slalom,21,
21,Darbandsari Ali,Male,25-02-2014,Dizin,IRI,Iran,FIS,Giant Slalom,17,7.00
22,Darbandsari Ali,Male,04-02-2014,Shemshak,IRI,Iran,FIS,Slalom,13,0.00
23,Darbandsari Ali,Male,03-02-2014,Shemshak,IRI,Iran,FIS,Giant Slalom,20,0.00
24,Darbandsari Ali,Male,22-01-2014,Darbandsar,IRI,Iran,FIS,Slalom,17,7.00
25,Darbandsari Ali,Male,21-01-2014,Darbandsar,IRI,Iran,FIS,Giant Slalom,21,0.00
