,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Demke Lisa,Female,15-11-2024,Glacier 3000,SUI,Switzerland,FIS,Big Air,1,10.00
1,Demke Lisa,Female,08-04-2024,Corvatsch,SUI,Switzerland,European Cup,Halfpipe,14,33.50
2,Demke Lisa,Female,15-03-2024,Laax,SUI,Switzerland,Junior,Slopestyle,7,12.80
3,Demke Lisa,Female,09-03-2024,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,11,23.40
4,Demke Lisa,Female,18-02-2024,Davos,SUI,Switzerland,Junior,Slopestyle,2,35.20
5,Demke Lisa,Female,03-02-2024,Grindelwald,SUI,Switzerland,FIS,Halfpipe,1,10.00
6,Demke Lisa,Female,03-02-2024,Grindelwald,SUI,Switzerland,Junior,Slopestyle,1,10.00
7,Demke Lisa,Female,21-01-2024,Adelboden - Lenk,SUI,Switzerland,Junior,Slopestyle,1,10.00
8,Demke Lisa,Female,23-11-2023,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,2,4.90
9,Demke Lisa,Female,16-04-2023,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,4,10.60
10,Demke Lisa,Female,05-02-2023,Grindelwald,SUI,Switzerland,FIS,Halfpipe,4,0.10
11,Demke Lisa,Female,05-02-2023,Grindelwald,SUI,Switzerland,Junior,Slopestyle,4,10.60
12,Demke Lisa,Female,17-01-2023,Livigno,ITA,Switzerland,Junior,Slopestyle,8,11.60
13,Demke Lisa,Female,04-12-2022,Glacier 3000,SUI,Switzerland,Junior,Slopestyle,6,6.00
14,Demke Lisa,Female,09-04-2022,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,1,10.00
15,Demke Lisa,Female,20-03-2022,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,10,0.20
