,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Dent Declan,Male,09-03-2025,Gudauri,GEO,Australia,World Cup,Snowboard Cross,23,
1,Dent Declan,Male,08-03-2025,Gudauri,GEO,Australia,World Cup,Snowboard Cross,37,19.40
2,Dent Declan,Male,07-03-2025,Gudauri,GEO,Australia,Qualification,Snowboard Cross,37,
3,Dent Declan,Male,01-03-2025,Erzurum,TUR,Australia,World Cup,Snowboard Cross,35,20.00
4,Dent Declan,Male,28-02-2025,Erzurum,TUR,Australia,Qualification,Snowboard Cross,35,
5,Dent Declan,Male,15-02-2025,Cortina d'Ampezzo,ITA,Australia,Qualification,Snowboard Cross,44,
6,Dent Declan,Male,15-02-2025,Cortina d'Ampezzo,ITA,Australia,World Cup,Snowboard Cross,44,17.30
7,Dent Declan,Male,09-02-2025,Reiteralm,AUT,Australia,European Cup,Snowboard Cross,17,28.00
8,Dent Declan,Male,08-02-2025,Reiteralm,AUT,Australia,European Cup,Snowboard Cross,17,28.00
9,Dent Declan,Male,02-02-2025,St. Lary,FRA,Australia,National Championships,Snowboard Cross,4,75.00
10,Dent Declan,Male,31-01-2025,St. Lary,FRA,Australia,European Cup,Snowboard Cross,3,108.00
11,Dent Declan,Male,24-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,7,64.80
12,Dent Declan,Male,23-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,2,160.00
13,Dent Declan,Male,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,13,72.00
14,Dent Declan,Male,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,9,104.40
15,Dent Declan,Male,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,3,216.00
16,Dent Declan,Male,22-03-2024,Lenk,SUI,Australia,European Cup,Snowboard Cross,7,86.40
17,Dent Declan,Male,21-03-2024,Lenk,SUI,Australia,European Cup,Snowboard Cross,19,28.80
18,Dent Declan,Male,14-03-2024,Isola 2000,FRA,Australia,European Cup,Snowboard Cross,26,10.00
19,Dent Declan,Male,13-03-2024,Isola 2000,FRA,Australia,European Cup,Snowboard Cross,26,10.00
20,Dent Declan,Male,09-03-2024,Cortina d'Ampezzo,ITA,Australia,World Cup,Snowboard Cross,56,13.70
21,Dent Declan,Male,08-03-2024,Cortina d'Ampezzo,ITA,Australia,Qualification,Snowboard Cross,56,
22,Dent Declan,Male,03-03-2024,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,59,
23,Dent Declan,Male,02-03-2024,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,61,
24,Dent Declan,Male,01-03-2024,Sierra Nevada,ESP,Australia,Qualification,Snowboard Cross,62,
