,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Depriest Brooklyn,Male,02-09-2024,Cardrona,NZL,United States Of America,World Cup,Slopestyle,35,89.90
1,Depriest Brooklyn,Male,31-08-2024,Cardrona,NZL,United States Of America,Qualification,Slopestyle,21,
2,Depriest Brooklyn,Male,03-04-2024,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,9,27.20
3,Depriest Brooklyn,Male,03-04-2024,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,14,27.10
4,Depriest Brooklyn,Male,30-03-2024,Livigno/Mottolino,ITA,United States Of America,FIS Junior World Championships,Big Air,9,76.30
5,Depriest Brooklyn,Male,28-03-2024,Livigno/Mottolino,ITA,United States Of America,Qualification,Big Air,3,
6,Depriest Brooklyn,Male,26-03-2024,Livigno/Mottolino,ITA,United States Of America,FIS Junior World Championships,Slopestyle,1,260.00
7,Depriest Brooklyn,Male,26-03-2024,Livigno/Mottolino,ITA,United States Of America,Qualification,Slopestyle,1,
8,Depriest Brooklyn,Male,17-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,6,67.30
9,Depriest Brooklyn,Male,12-03-2024,Laax,SUI,United States Of America,European Cup Premium,Slopestyle,17,44.20
10,Depriest Brooklyn,Male,08-02-2024,Mammoth Mountain,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,6,219.50
11,Depriest Brooklyn,Male,28-01-2024,Gangwon/Welli Hilli,KOR,United States Of America,Youth Olympic Winter Games,Big Air,8,40.10
12,Depriest Brooklyn,Male,27-01-2024,Gangwon/Welli Hilli,KOR,United States Of America,Qualification,Big Air,7,
13,Depriest Brooklyn,Male,25-01-2024,Gangwon/Welli Hilli,KOR,United States Of America,Youth Olympic Winter Games,Slopestyle,6,81.50
14,Depriest Brooklyn,Male,18-01-2024,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Big Air,2,132.70
15,Depriest Brooklyn,Male,17-01-2024,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Slopestyle,9,62.50
16,Depriest Brooklyn,Male,15-12-2023,Copper Mountain,USA,United States Of America,World Cup,Big Air,52,22.50
17,Depriest Brooklyn,Male,13-12-2023,Copper Mountain,USA,United States Of America,Qualification,Big Air,27,
18,Depriest Brooklyn,Male,09-12-2023,Edmonton,CAN,United States Of America,World Cup,Big Air,52,5.00
19,Depriest Brooklyn,Male,08-12-2023,Edmonton,CAN,United States Of America,Qualification,Big Air,26,
20,Depriest Brooklyn,Male,21-10-2023,Chur,SUI,United States Of America,World Cup,Big Air,46,41.90
21,Depriest Brooklyn,Male,21-10-2023,Chur,SUI,United States Of America,Qualification,Big Air,22,
22,Depriest Brooklyn,Male,04-09-2023,Cardrona,NZL,United States Of America,FIS Junior World Championships,Big Air,5,182.80
23,Depriest Brooklyn,Male,02-09-2023,Cardrona,NZL,United States Of America,Qualification,Big Air,2,
24,Depriest Brooklyn,Male,30-08-2023,Cardrona,NZL,United States Of America,FIS Junior World Championships,Slopestyle,6,160.00
25,Depriest Brooklyn,Male,28-08-2023,Cardrona,NZL,United States Of America,Qualification,Slopestyle,4,
26,Depriest Brooklyn,Male,06-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Slopestyle,1,120.00
27,Depriest Brooklyn,Male,15-03-2023,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,2,98.80
28,Depriest Brooklyn,Male,14-03-2023,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,25,6.50
29,Depriest Brooklyn,Male,10-03-2023,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Big Air,9,49.40
30,Depriest Brooklyn,Male,09-03-2023,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Slopestyle,6,94.50
31,Depriest Brooklyn,Male,08-03-2023,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Slopestyle,21,24.80
32,Depriest Brooklyn,Male,16-02-2023,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Big Air,4,75.60
33,Depriest Brooklyn,Male,15-02-2023,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Slopestyle,31,22.10
34,Depriest Brooklyn,Male,10-02-2023,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,11,54.90
35,Depriest Brooklyn,Male,04-02-2023,Mammoth Mountain,USA,United States Of America,World Cup,Slopestyle,26,97.10
36,Depriest Brooklyn,Male,01-02-2023,Mammoth Mountain,USA,United States Of America,Qualification,Slopestyle,14,
37,Depriest Brooklyn,Male,26-01-2023,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Slopestyle,3,180.40
38,Depriest Brooklyn,Male,18-01-2023,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Slopestyle,3,138.30
39,Depriest Brooklyn,Male,17-01-2023,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Slopestyle,11,49.20
40,Depriest Brooklyn,Male,17-12-2022,Copper Mountain,USA,United States Of America,World Cup,Big Air,29,97.00
41,Depriest Brooklyn,Male,15-12-2022,Copper Mountain,USA,United States Of America,Qualification,Big Air,16,
42,Depriest Brooklyn,Male,07-04-2022,Copper Mountain Resort,USA,United States Of America,National Championships,Slopestyle,2,107.30
43,Depriest Brooklyn,Male,24-03-2022,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,4,68.40
44,Depriest Brooklyn,Male,22-03-2022,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,19,17.60
45,Depriest Brooklyn,Male,20-03-2022,Beaver Valley,CAN,United States Of America,Nor-Am Cup,Big Air,6,44.20
46,Depriest Brooklyn,Male,19-03-2022,Beaver Valley,CAN,United States Of America,Nor-Am Cup,Slopestyle,2,107.40
47,Depriest Brooklyn,Male,18-03-2022,Beaver Valley,CAN,United States Of America,Nor-Am Cup,Slopestyle,7,48.00
