,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Dobson Finley,Male,25-08-2025,Thredbo,AUS,Canada,Australian New Zealand Cup,Big Air,11,21.40
1,Dobson Finley,Male,01-08-2025,Thredbo,AUS,Canada,Australian New Zealand Cup,Slopestyle,28,3.30
2,Dobson Finley,Male,17-03-2025,Sun Peaks,CAN,Canada,FIS,Slopestyle,4,34.70
3,Dobson Finley,Male,13-03-2025,Horseshoe Resort,CAN,Canada,National Junior Championships,Slopestyle,6,21.30
4,Dobson Finley,Male,12-03-2025,Horseshoe Resort,CAN,Canada,National Junior Championships,Big Air,4,28.20
5,Dobson Finley,Male,10-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Big Air,35,6.40
6,Dobson Finley,Male,09-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Slopestyle,41,9.30
7,Dobson Finley,Male,23-02-2025,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,3,34.20
8,Dobson Finley,Male,22-02-2025,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,5,24.30
9,Dobson Finley,Male,12-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,10,21.90
10,Dobson Finley,Male,11-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,18,12.60
11,Dobson Finley,Male,03-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,5,24.70
12,Dobson Finley,Male,02-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,11,11.70
13,Dobson Finley,Male,14-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,19,5.20
14,Dobson Finley,Male,13-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,16,7.00
15,Dobson Finley,Male,06-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,23,2.90
16,Dobson Finley,Male,05-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,22,3.70
17,Dobson Finley,Male,05-03-2023,Silver Star Mountain Resort,CAN,Canada,FIS,Slopestyle,13,7.20
18,Dobson Finley,Male,04-03-2023,Silver Star Mountain Resort,CAN,Canada,FIS,Slopestyle,21,0.70
19,Dobson Finley,Male,08-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,21,2.10
20,Dobson Finley,Male,07-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,17,6.50
