,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Dong Yuyue,Female,20-03-2025,Engadin,SUI,P.r. China,World Championships,Parallel Giant Slalom,DSQ,
1,Dong Yuyue,Female,20-03-2025,Engadin,SUI,P.r. China,Qualification,Parallel Giant Slalom,DSQ,
2,Dong Yuyue,Female,15-03-2025,Winterberg,GER,P.r. China,World Cup,Parallel Slalom,32,26.00
3,Dong Yuyue,Female,15-03-2025,Winterberg,GER,P.r. China,Qualification,Parallel Slalom,32,
4,Dong Yuyue,Female,09-03-2025,Montafon/Gargellen,AUT,P.r. China,European Cup,Parallel Slalom,33,8.64
5,Dong Yuyue,Female,08-03-2025,Montafon/Gargellen,AUT,P.r. China,European Cup,Parallel Giant Slalom,20,39.60
6,Dong Yuyue,Female,08-02-2025,Jinshanling Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,3,96.00
7,Dong Yuyue,Female,07-02-2025,Jinshanling Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Slalom,9,46.40
8,Dong Yuyue,Female,31-12-2024,Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Slalom,6,64.00
9,Dong Yuyue,Female,30-12-2024,Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,5,72.00
10,Dong Yuyue,Female,21-12-2024,Davos,SUI,P.r. China,World Cup,Parallel Slalom,20,110.00
11,Dong Yuyue,Female,21-12-2024,Davos,SUI,P.r. China,Qualification,Parallel Slalom,20,
12,Dong Yuyue,Female,14-12-2024,Cortina d'Ampezzo,ITA,P.r. China,Qualification,Parallel Giant Slalom,28,
13,Dong Yuyue,Female,14-12-2024,Cortina d'Ampezzo,ITA,P.r. China,World Cup,Parallel Giant Slalom,28,40.00
14,Dong Yuyue,Female,08-12-2024,Yanqing (NASC),CHN,P.r. China,Qualification,Parallel Slalom,26,
15,Dong Yuyue,Female,08-12-2024,Yanqing (NASC),CHN,P.r. China,World Cup,Parallel Slalom,26,50.00
16,Dong Yuyue,Female,07-12-2024,Yanqing (NASC),CHN,P.r. China,Qualification,Parallel Giant Slalom,24,
17,Dong Yuyue,Female,07-12-2024,Yanqing (NASC),CHN,P.r. China,World Cup,Parallel Giant Slalom,24,70.00
18,Dong Yuyue,Female,01-12-2024,Mylin,CHN,P.r. China,Qualification,Parallel Slalom,35,
19,Dong Yuyue,Female,01-12-2024,Mylin,CHN,P.r. China,World Cup,Parallel Slalom,35,20.00
20,Dong Yuyue,Female,30-11-2024,Mylin,CHN,P.r. China,Qualification,Parallel Giant Slalom,28,
21,Dong Yuyue,Female,30-11-2024,Mylin,CHN,P.r. China,World Cup,Parallel Giant Slalom,28,40.00
22,Dong Yuyue,Female,19-03-2024,Wanglong Ski Resrort,CHN,P.r. China,Asian Cup,Slalom,6,64.00
23,Dong Yuyue,Female,18-03-2024,Wanglong Ski Resrort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,4,80.00
24,Dong Yuyue,Female,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Slalom,7,57.60
25,Dong Yuyue,Female,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,7,57.60
26,Dong Yuyue,Female,01-03-2024,Jinshanling Galaxy Ski Resort,CHN,P.r. China,FIS,Parallel Slalom,4,55.00
27,Dong Yuyue,Female,29-02-2024,Jinshanling Galaxy Ski Resort,CHN,P.r. China,FIS,Parallel Giant Slalom,3,66.00
28,Dong Yuyue,Female,19-03-2023,Ratschings,ITA,P.r. China,European Cup,Parallel Slalom,15,41.60
29,Dong Yuyue,Female,18-03-2023,Ratschings,ITA,P.r. China,European Cup,Parallel Slalom,8,83.20
30,Dong Yuyue,Female,12-03-2023,Davos,SUI,P.r. China,European Cup,Parallel Slalom,12,57.20
31,Dong Yuyue,Female,11-03-2023,Davos,SUI,P.r. China,European Cup,Parallel Slalom,19,43.20
32,Dong Yuyue,Female,19-02-2023,Bardonecchia,ITA,P.r. China,FIS,Parallel Slalom,DNF1,
33,Dong Yuyue,Female,18-02-2023,Bardonecchia,ITA,P.r. China,FIS,Parallel Slalom,1,130.00
