,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Dorfmann Emma,Female,30-03-2025,Haus im Ennstal,AUT,Italy,Junior Regional Cup,Parallel Slalom,17,21.00
1,Dorfmann Emma,Female,29-03-2025,Haus im Ennstal,AUT,Italy,Junior Regional Cup,Parallel Slalom,10,36.40
2,Dorfmann Emma,Female,16-03-2025,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,7,25.20
3,Dorfmann Emma,Female,15-03-2025,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,17,9.80
4,Dorfmann Emma,Female,23-02-2025,Funes - Vilnoessse,ITA,Italy,FIS,Parallel Giant Slalom,13,44.00
5,Dorfmann Emma,Female,22-02-2025,Funes - Vilnoessse,ITA,Italy,FIS,Parallel Giant Slalom,15,35.20
6,Dorfmann Emma,Female,16-02-2025,Funes/Villnoess,ITA,Italy,Junior Regional Cup,Parallel Giant Slalom,22,16.20
7,Dorfmann Emma,Female,15-02-2025,Funes/Villnoess,ITA,Italy,Junior Regional Cup,Parallel Giant Slalom,18,23.40
8,Dorfmann Emma,Female,09-02-2025,Santa Cristina Val Gardena,ITA,Italy,FIS,Giant Slalom,6,36.00
9,Dorfmann Emma,Female,08-02-2025,Santa Cristina Val Gardena,ITA,Italy,FIS,Giant Slalom,10,13.00
10,Dorfmann Emma,Female,26-01-2025,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,49,5.69
11,Dorfmann Emma,Female,25-01-2025,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,34,
12,Dorfmann Emma,Female,19-01-2025,Samnaun,SUI,Italy,Junior Regional Cup,Parallel Slalom,7,18.00
13,Dorfmann Emma,Female,18-01-2025,Samnaun,SUI,Italy,Junior Regional Cup,Parallel Slalom,6,20.00
14,Dorfmann Emma,Female,12-01-2025,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,18,18.20
15,Dorfmann Emma,Female,06-01-2025,Simonhoehe,AUT,Italy,Junior Regional Cup,Parallel Giant Slalom,15,22.40
16,Dorfmann Emma,Female,05-01-2025,Simonhoehe,AUT,Italy,Junior Regional Cup,Parallel Giant Slalom,16,21.00
17,Dorfmann Emma,Female,10-03-2024,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,17,15.40
18,Dorfmann Emma,Female,09-03-2024,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,22,9.90
19,Dorfmann Emma,Female,24-02-2024,Alleghe,ITA,Italy,Junior,Parallel Giant Slalom,15,22.40
20,Dorfmann Emma,Female,09-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Slalom,29,
21,Dorfmann Emma,Female,08-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Giant Slalom,33,6.96
22,Dorfmann Emma,Female,04-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,23,11.20
23,Dorfmann Emma,Female,03-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,28,5.60
24,Dorfmann Emma,Female,28-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,34,
25,Dorfmann Emma,Female,27-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,34,
26,Dorfmann Emma,Female,05-01-2024,Simonhöhe,AUT,Italy,Junior,Parallel Giant Slalom,DSQ,
