,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Dorfmann Simon,Male,06-04-2025,Cortina d Ampezzo,ITA,Italy,National Championships,Parallel Giant Slalom,17,40.60
1,Dorfmann Simon,Male,05-04-2025,Cortina d Ampezzo,ITA,Italy,National Championships,Parallel Slalom,13,58.00
2,Dorfmann Simon,Male,16-03-2025,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,7,39.60
3,Dorfmann Simon,Male,15-03-2025,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,3,66.00
4,Dorfmann Simon,Male,23-02-2025,Funes - Vilnoessse,ITA,Italy,FIS,Parallel Giant Slalom,12,48.40
5,Dorfmann Simon,Male,22-02-2025,Funes - Vilnoessse,ITA,Italy,FIS,Parallel Giant Slalom,12,48.40
6,Dorfmann Simon,Male,09-02-2025,Santa Cristina Val Gardena,ITA,Italy,FIS,Giant Slalom,3,132.00
7,Dorfmann Simon,Male,08-02-2025,Santa Cristina Val Gardena,ITA,Italy,FIS,Giant Slalom,6,88.00
8,Dorfmann Simon,Male,02-02-2025,Ratschings,ITA,Italy,European Cup,Parallel Slalom,32,6.76
9,Dorfmann Simon,Male,02-02-2025,Ratschings,ITA,Italy,Qualification,Parallel Slalom,33,
10,Dorfmann Simon,Male,01-02-2025,Ratschings,ITA,Italy,European Cup,Parallel Slalom,25,17.40
11,Dorfmann Simon,Male,01-02-2025,Ratschings,ITA,Italy,Qualification,Parallel Slalom,25,
12,Dorfmann Simon,Male,26-01-2025,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,51,4.86
13,Dorfmann Simon,Male,25-01-2025,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,DNF,
14,Dorfmann Simon,Male,22-01-2025,Bardonecchia,ITA,Italy,Universiade,Parallel Slalom,2,208.00
15,Dorfmann Simon,Male,21-01-2025,Bardonecchia,ITA,Italy,Universiade,Parallel Giant Slalom,13,52.00
16,Dorfmann Simon,Male,12-01-2025,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,4,75.00
17,Dorfmann Simon,Male,11-01-2025,Folgaria,ITA,Italy,European Cup,Parallel Giant Slalom,4,90.00
18,Dorfmann Simon,Male,11-01-2025,Folgaria,ITA,Italy,Qualification,Parallel Giant Slalom,5,
19,Dorfmann Simon,Male,10-01-2025,Folgaria,ITA,Italy,European Cup,Parallel Giant Slalom,6,72.00
20,Dorfmann Simon,Male,10-01-2025,Folgaria,ITA,Italy,Qualification,Parallel Giant Slalom,5,
21,Dorfmann Simon,Male,24-03-2024,Lachtal,AUT,Italy,FIS Junior World Championships,Parallel Slalom Team,13,
22,Dorfmann Simon,Male,23-03-2024,Lachtal,AUT,Italy,FIS Junior World Championships,Parallel Slalom,9,69.60
23,Dorfmann Simon,Male,23-03-2024,Lachtal,AUT,Italy,Qualification,Parallel Slalom,7,
24,Dorfmann Simon,Male,22-03-2024,Lachtal,AUT,Italy,FIS Junior World Championships,Parallel Giant Slalom,12,52.80
25,Dorfmann Simon,Male,22-03-2024,Lachtal,AUT,Italy,Qualification,Parallel Giant Slalom,12,
26,Dorfmann Simon,Male,13-03-2024,Davos/Rinerhorn ,SUI,Italy,European Cup,Parallel Giant Slalom,18,46.80
27,Dorfmann Simon,Male,12-03-2024,Davos/Rinerhorn ,SUI,Italy,European Cup,Parallel Giant Slalom,42,6.44
28,Dorfmann Simon,Male,10-03-2024,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,5,54.00
29,Dorfmann Simon,Male,09-03-2024,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,9,34.80
30,Dorfmann Simon,Male,24-02-2024,Alleghe,ITA,Italy,Junior,Parallel Giant Slalom,14,27.00
31,Dorfmann Simon,Male,09-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Slalom,15,46.40
32,Dorfmann Simon,Male,08-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Giant Slalom,31,8.12
33,Dorfmann Simon,Male,04-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,5,63.00
34,Dorfmann Simon,Male,03-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,6,56.00
35,Dorfmann Simon,Male,28-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,17,22.40
36,Dorfmann Simon,Male,27-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,12,28.60
37,Dorfmann Simon,Male,14-01-2024,Gosau,AUT,Italy,FIS,Parallel Slalom,2,80.00
38,Dorfmann Simon,Male,13-01-2024,Gosau,AUT,Italy,FIS,Parallel Slalom,4,50.00
39,Dorfmann Simon,Male,12-01-2024,Folgaria,ITA,Italy,Qualification,Parallel Slalom,11,
40,Dorfmann Simon,Male,12-01-2024,Folgaria,ITA,Italy,European Cup,Parallel Slalom,13,48.00
41,Dorfmann Simon,Male,11-01-2024,Folgaria,ITA,Italy,Qualification,Parallel Slalom,8,
42,Dorfmann Simon,Male,11-01-2024,Folgaria,ITA,Italy,European Cup,Parallel Slalom,11,57.60
43,Dorfmann Simon,Male,05-01-2024,Simonhöhe,AUT,Italy,Junior,Parallel Giant Slalom,12,24.20
44,Dorfmann Simon,Male,22-12-2023,Moninec,CZE,Italy,FIS,Parallel Slalom,8,57.60
45,Dorfmann Simon,Male,21-12-2023,Moninec,CZE,Italy,FIS,Parallel Slalom,17,22.40
46,Dorfmann Simon,Male,20-12-2023,Moninec,CZE,Italy,European Cup,Parallel Slalom,34,4.84
47,Dorfmann Simon,Male,19-12-2023,Moninec,CZE,Italy,European Cup,Parallel Slalom,23,17.60
48,Dorfmann Simon,Male,10-12-2023,Götschen,GER,Italy,Junior,Parallel Slalom,37,
49,Dorfmann Simon,Male,09-12-2023,Götschen,GER,Italy,Qualification,Parallel Slalom,DSQ,
50,Dorfmann Simon,Male,09-12-2023,Götschen,GER,Italy,European Cup,Parallel Slalom,DSQ,
51,Dorfmann Simon,Male,08-12-2023,Götschen,GER,Italy,Qualification,Parallel Slalom,48,
52,Dorfmann Simon,Male,08-12-2023,Götschen,GER,Italy,European Cup,Parallel Slalom,48,5.80
53,Dorfmann Simon,Male,30-03-2023,Cortina dAmpezzo,ITA,Italy,National Championships,Parallel Slalom,18,37.70
54,Dorfmann Simon,Male,19-03-2023,Ratschings,ITA,Italy,European Cup,Parallel Slalom,22,21.60
55,Dorfmann Simon,Male,18-03-2023,Ratschings,ITA,Italy,European Cup,Parallel Slalom,26,9.00
56,Dorfmann Simon,Male,25-02-2023,Simonhoehe,AUT,Italy,Junior,Parallel Giant Slalom,DNF,
57,Dorfmann Simon,Male,19-02-2023,Bardonecchia,ITA,Italy,FIS,Parallel Slalom,4,60.00
58,Dorfmann Simon,Male,18-02-2023,Bardonecchia,ITA,Italy,FIS,Parallel Slalom,14,21.60
59,Dorfmann Simon,Male,12-02-2023,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,26,11.00
60,Dorfmann Simon,Male,11-02-2023,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,24,15.40
61,Dorfmann Simon,Male,05-02-2023,Gosau,AUT,Italy,FIS,Slalom,4,55.00
62,Dorfmann Simon,Male,04-02-2023,Gosau,AUT,Italy,FIS,Slalom,17,15.40
63,Dorfmann Simon,Male,04-02-2023,Gosau,AUT,Italy,FIS,Slalom,8,35.20
64,Dorfmann Simon,Male,29-01-2023,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,28,7.20
65,Dorfmann Simon,Male,29-01-2023,Simonhöhe,AUT,Italy,Qualification,Parallel Giant Slalom,28,
66,Dorfmann Simon,Male,28-01-2023,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,46,
67,Dorfmann Simon,Male,28-01-2023,Simonhöhe,AUT,Italy,Qualification,Parallel Giant Slalom,46,
68,Dorfmann Simon,Male,15-01-2023,Alleghe,ITA,Italy,European Cup,Parallel Slalom,26,8.00
69,Dorfmann Simon,Male,15-01-2023,Alleghe,ITA,Italy,Qualification,Parallel Slalom,26,
70,Dorfmann Simon,Male,14-01-2023,Alleghe,ITA,Italy,European Cup,Parallel Slalom,DNF,
71,Dorfmann Simon,Male,14-01-2023,Alleghe,ITA,Italy,Qualification,Parallel Slalom,DNF,
72,Dorfmann Simon,Male,08-01-2023,Haus im Ennstal,AUT,Italy,Junior,Giant Slalom,8,38.40
73,Dorfmann Simon,Male,07-01-2023,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,18,15.60
74,Dorfmann Simon,Male,12-04-2022,Chiesa Valmalenco,ITA,Italy,National Championships,Parallel Slalom,10,75.40
75,Dorfmann Simon,Male,11-04-2022,Chiesa Valmalenco,ITA,Italy,National Championships,Parallel Giant Slalom,12,63.80
76,Dorfmann Simon,Male,20-03-2022,Senales - Schnals,ITA,Italy,Junior,Parallel Slalom,13,20.00
77,Dorfmann Simon,Male,19-03-2022,Senales - Schnals,ITA,Italy,Junior,Parallel Slalom,8,32.00
78,Dorfmann Simon,Male,13-03-2022,Pizol,SUI,Italy,Junior,Parallel Slalom,6,28.00
79,Dorfmann Simon,Male,12-03-2022,Pizol,SUI,Italy,Junior,Parallel Slalom,5,31.50
80,Dorfmann Simon,Male,27-02-2022,Simonhöhe,AUT,Italy,FIS,Parallel Giant Slalom,22,19.80
81,Dorfmann Simon,Male,26-02-2022,Simonhöhe,AUT,Italy,FIS,Parallel Giant Slalom,24,15.40
82,Dorfmann Simon,Male,20-02-2022,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,15,35.20
83,Dorfmann Simon,Male,19-02-2022,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,16,33.00
84,Dorfmann Simon,Male,06-02-2022,Ebensee,AUT,Italy,FIS,Parallel Slalom,16,10.50
85,Dorfmann Simon,Male,05-02-2022,Ebensee,AUT,Italy,FIS,Parallel Slalom,17,9.80
86,Dorfmann Simon,Male,30-01-2022,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Slalom,6,20.00
87,Dorfmann Simon,Male,29-01-2022,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Slalom,5,22.50
88,Dorfmann Simon,Male,23-01-2022,Bardonecchia,ITA,Italy,FIS,Slalom,5,22.50
89,Dorfmann Simon,Male,22-01-2022,Bardonecchia,ITA,Italy,FIS,Slalom,5,31.50
90,Dorfmann Simon,Male,15-01-2022,Goetschen,GER,Italy,Junior,Parallel Slalom,15,11.20
91,Dorfmann Simon,Male,09-01-2022,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,22,9.00
92,Dorfmann Simon,Male,08-01-2022,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,12,22.00
93,Dorfmann Simon,Male,10-01-2021,Goetschen,GER,Italy,Junior,Parallel Slalom,4,50.00
94,Dorfmann Simon,Male,09-01-2021,Goetschen,GER,Italy,Junior,Parallel Slalom,15,16.00
