,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Doumos Ioannis,Male,22-03-2025,Engadin,SUI,Greece,Qualification,Parallel Slalom,DSQ,
1,Doumos Ioannis,Male,22-03-2025,Engadin,SUI,Greece,World Championships,Parallel Slalom,DSQ,
2,Doumos Ioannis,Male,20-03-2025,Engadin,SUI,Greece,Qualification,Parallel Giant Slalom,48,
3,Doumos Ioannis,Male,20-03-2025,Engadin,SUI,Greece,World Championships,Parallel Giant Slalom,48,16.10
4,Doumos Ioannis,Male,02-03-2025,Krynica,POL,Greece,Qualification,Parallel Giant Slalom,54,
5,Doumos Ioannis,Male,02-03-2025,Krynica,POL,Greece,World Cup,Parallel Giant Slalom,54,
6,Doumos Ioannis,Male,01-03-2025,Krynica,POL,Greece,Qualification,Parallel Giant Slalom,57,
7,Doumos Ioannis,Male,01-03-2025,Krynica,POL,Greece,World Cup,Parallel Giant Slalom,57,
8,Doumos Ioannis,Male,15-02-2025,Seli ,GRE,Greece,National Championships,Slalom,1,50.00
9,Doumos Ioannis,Male,14-02-2025,Seli ,GRE,Greece,FIS,Giant Slalom,4,25.00
10,Doumos Ioannis,Male,14-02-2025,Seli ,GRE,Greece,National Championships,Giant Slalom,1,50.00
11,Doumos Ioannis,Male,05-02-2025,Popova Sapka,MKD,Greece,National Championships,Giant Slalom,DNF,
12,Doumos Ioannis,Male,05-02-2025,Popova Sapka,MKD,Greece,National Championships,Giant Slalom,4,25.00
13,Doumos Ioannis,Male,04-02-2025,Popova Sapka,MKD,Greece,National Championships,Giant Slalom,2,40.00
14,Doumos Ioannis,Male,04-02-2025,Popova Sapka,MKD,Greece,FIS,Giant Slalom,DNF,
15,Doumos Ioannis,Male,02-02-2025,Stara Planina,SRB,Greece,FIS,Giant Slalom,6,20.00
16,Doumos Ioannis,Male,02-02-2025,Stara Planina,SRB,Greece,FIS,Giant Slalom,DNF,
17,Doumos Ioannis,Male,01-02-2025,Stara Planina,SRB,Greece,FIS,Slalom,DNF,
18,Doumos Ioannis,Male,01-02-2025,Stara Planina,SRB,Greece,FIS,Slalom,13,
19,Doumos Ioannis,Male,25-01-2025,Rogla,SLO,Greece,Qualification,Parallel Giant Slalom,52,
20,Doumos Ioannis,Male,25-01-2025,Rogla,SLO,Greece,World Cup,Parallel Giant Slalom,52,
21,Doumos Ioannis,Male,22-01-2025,Bansko,BUL,Greece,European Cup,Parallel Giant Slalom,37,
22,Doumos Ioannis,Male,21-01-2025,Bansko,BUL,Greece,European Cup,Parallel Giant Slalom,DSQ,
23,Doumos Ioannis,Male,19-01-2025,Bansko,BUL,Greece,Qualification,Parallel Giant Slalom,59,
