,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Dutu Katja,Female,27-09-2025,Antwerpen,BEL,Netherlands,European Cup,Rail Event,1,30.00
1,Dutu Katja,Female,11-03-2025,Laax,SUI,Netherlands,European Cup Premium,Slopestyle,5,55.30
2,Dutu Katja,Female,15-02-2025,Bakuriani,GEO,Netherlands,European Youth Olympic Festival,Big Air,4,28.00
3,Dutu Katja,Female,14-02-2025,Bakuriani,GEO,Netherlands,Qualification,Big Air,3,
4,Dutu Katja,Female,12-02-2025,Bakuriani,GEO,Netherlands,European Youth Olympic Festival,Slopestyle,4,39.80
5,Dutu Katja,Female,15-02-2024,Davos,SUI,Netherlands,European Cup,Big Air,3,81.20
6,Dutu Katja,Female,10-02-2024,Kotelnica Bialczanska,POL,Netherlands,European Cup,Big Air,4,39.20
7,Dutu Katja,Female,28-01-2024,Gangwon/Welli Hilli,KOR,Netherlands,Youth Olympic Winter Games,Big Air,7,59.70
8,Dutu Katja,Female,27-01-2024,Gangwon/Welli Hilli,KOR,Netherlands,Qualification,Big Air,8,
9,Dutu Katja,Female,24-01-2024,Gangwon/Welli Hilli,KOR,Netherlands,Youth Olympic Winter Games,Slopestyle,6,70.80
10,Dutu Katja,Female,04-01-2024,Font Romeu,FRA,Netherlands,European Cup Premium,Slopestyle,2,98.20
11,Dutu Katja,Female,14-10-2023,SnowWorld Landgraaf,NED,Netherlands,FIS,Rail Event,1,
12,Dutu Katja,Female,13-10-2023,SnowWorld Landgraaf,NED,Netherlands,FIS,Slopestyle,2,65.10
13,Dutu Katja,Female,12-10-2023,SnowWorld Landgraaf,NED,Netherlands,FIS,Slopestyle,2,65.10
14,Dutu Katja,Female,04-09-2023,Cardrona,NZL,Netherlands,FIS Junior World Championships,Big Air,15,34.30
15,Dutu Katja,Female,02-09-2023,Cardrona,NZL,Netherlands,Qualification,Big Air,9,
16,Dutu Katja,Female,30-08-2023,Cardrona,NZL,Netherlands,FIS Junior World Championships,Slopestyle,19,32.10
17,Dutu Katja,Female,28-08-2023,Cardrona,NZL,Netherlands,Qualification,Slopestyle,8,
18,Dutu Katja,Female,22-04-2023,Kitzsteinhorn,AUT,Netherlands,European Cup,Big Air,20,0.20
19,Dutu Katja,Female,21-04-2023,Kitzsteinhorn,AUT,Netherlands,European Cup,Slopestyle,5,105.60
20,Dutu Katja,Female,16-04-2023,Corvatsch,SUI,Netherlands,National Junior Championships,Slopestyle,1,50.00
21,Dutu Katja,Female,29-03-2023,Leysin,SUI,Netherlands,FIS,Big Air,8,0.30
22,Dutu Katja,Female,28-03-2023,Leysin,SUI,Netherlands,FIS,Slopestyle,2,142.30
