,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Edamatsu Kazuhito,Male,03-03-2024,Tsugaike,JPN,Japan,National Championships,Big Air,12,60.00
1,Edamatsu Kazuhito,Male,03-03-2024,Tsugaike,JPN,Japan,National Championships,Slopestyle,15,35.80
2,Edamatsu Kazuhito,Male,28-02-2024,Hakuba,JPN,Japan,Asian Cup,Slopestyle,26,10.40
3,Edamatsu Kazuhito,Male,17-02-2024,Fukushima Yama,JPN,Japan,Asian Cup,Big Air,15,49.60
4,Edamatsu Kazuhito,Male,31-03-2023,Hakuba,JPN,Japan,Asian Cup,Big Air,23,2.20
5,Edamatsu Kazuhito,Male,29-03-2023,Hakuba,JPN,Japan,Asian Cup,Slopestyle,14,40.40
6,Edamatsu Kazuhito,Male,25-03-2023,Niseko,JPN,Japan,National Championships,Big Air,26,11.20
7,Edamatsu Kazuhito,Male,24-03-2023,Niseko,JPN,Japan,National Championships,Slopestyle,7,81.90
8,Edamatsu Kazuhito,Male,14-02-2023,Fukushima Yama,JPN,Japan,FIS,Big Air,12,46.70
9,Edamatsu Kazuhito,Male,29-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,8,54.70
10,Edamatsu Kazuhito,Male,28-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,13,35.40
11,Edamatsu Kazuhito,Male,02-04-2022,Tsugaike,JPN,Japan,FIS,Big Air,7,29.30
12,Edamatsu Kazuhito,Male,06-03-2022,Niseko,JPN,Japan,National Championships,Big Air,22,24.60
13,Edamatsu Kazuhito,Male,05-03-2022,Niseko,JPN,Japan,National Championships,Slopestyle,12,46.60
14,Edamatsu Kazuhito,Male,30-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,22,20.90
15,Edamatsu Kazuhito,Male,29-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,23,20.40
16,Edamatsu Kazuhito,Male,10-04-2021,Ajigasawa,JPN,Japan,National Championships,Big Air,22,14.33
17,Edamatsu Kazuhito,Male,31-03-2021,Tsugaike,JPN,Japan,FIS,Big Air,15,10.36
18,Edamatsu Kazuhito,Male,31-01-2021,Niseko,JPN,Japan,FIS,Slopestyle,26,12.72
19,Edamatsu Kazuhito,Male,30-01-2021,Niseko,JPN,Japan,FIS,Slopestyle,24,13.71
