,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Elinor Natalie,Female,22-03-2024,Lenk,SUI,Czechia,European Cup,Snowboard Cross,21,32.00
1,Elinor Natalie,Female,21-03-2024,Lenk,SUI,Czechia,European Cup,Snowboard Cross,20,35.20
2,Elinor Natalie,Female,01-03-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,3,60.00
3,Elinor Natalie,Female,29-02-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,1,70.00
4,Elinor Natalie,Female,25-02-2024,Grasgehren,GER,Czechia,European Cup,Snowboard Cross,21,26.00
5,Elinor Natalie,Female,24-02-2024,Grasgehren,GER,Czechia,European Cup,Snowboard Cross,23,25.60
6,Elinor Natalie,Female,17-02-2024,Colere,ITA,Czechia,European Cup,Snowboard Cross,16,54.00
7,Elinor Natalie,Female,16-02-2024,Colere,ITA,Czechia,European Cup,Snowboard Cross,21,36.00
8,Elinor Natalie,Female,06-02-2024,Reiteralm,AUT,Czechia,European Cup,Snowboard Cross,DNS,
9,Elinor Natalie,Female,05-02-2024,Reiteralm,AUT,Czechia,European Cup,Snowboard Cross,DNS,
10,Elinor Natalie,Female,02-02-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,18,26.00
11,Elinor Natalie,Female,01-02-2024,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,28,11.60
12,Elinor Natalie,Female,31-01-2024,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,25,17.40
13,Elinor Natalie,Female,28-01-2024,Puy St. Vincent,FRA,Czechia,European Cup,Snowboard Cross,11,62.40
14,Elinor Natalie,Female,27-01-2024,Puy St. Vincent,FRA,Czechia,European Cup,Snowboard Cross,DNF,
15,Elinor Natalie,Female,20-01-2024,Montafon,AUT,Czechia,National Championships,Snowboard Cross,19,34.80
16,Elinor Natalie,Female,09-12-2023,Pitztal,AUT,Czechia,FIS,Snowboard Cross,11,43.20
17,Elinor Natalie,Female,13-01-2023,Gore Mountain,USA,Czechia,Universiade,Snowboard Cross,10,39.00
18,Elinor Natalie,Female,12-01-2023,Gore Mountain,USA,Czechia,Qualification,Snowboard Cross,5,
19,Elinor Natalie,Female,25-11-2022,Pitztal,AUT,Czechia,FIS,Snowboard Cross,25,13.20
20,Elinor Natalie,Female,24-11-2022,Pitztal,AUT,Czechia,European Cup,Snowboard Cross,14,43.20
21,Elinor Natalie,Female,24-11-2022,Pitztal,AUT,Czechia,Qualification,Snowboard Cross,14,
