,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ellis Jack,Male,13-01-2025,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,DNS,
1,Ellis Jack,Male,14-04-2024,Corvatsch,SUI,United States Of America,European Cup Premium,Big Air,76,10.80
2,Ellis Jack,Male,12-04-2024,Corvatsch,SUI,United States Of America,European Cup Premium,Slopestyle,93,13.40
3,Ellis Jack,Male,30-03-2024,"Copper Mountain, CO",USA,United States Of America,National Championships,Rail Event,7,
4,Ellis Jack,Male,17-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,21,12.20
5,Ellis Jack,Male,04-03-2024,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Slopestyle,43,5.30
6,Ellis Jack,Male,16-02-2024,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,28,7.80
7,Ellis Jack,Male,08-02-2024,Mammoth Mountain,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,45,10.60
8,Ellis Jack,Male,31-01-2024,Mount Snow,USA,United States Of America,FIS,Slopestyle,9,15.20
9,Ellis Jack,Male,26-01-2024,Copper Mountain,USA,United States Of America,Nor-Am Cup,Slopestyle,36,1.60
10,Ellis Jack,Male,21-04-2023,Kitzsteinhorn,AUT,United States Of America,European Cup,Slopestyle,26,34.60
11,Ellis Jack,Male,17-04-2023,Corvatsch,SUI,United States Of America,European Cup Premium,Big Air,57,6.80
12,Ellis Jack,Male,14-04-2023,Corvatsch,SUI,United States Of America,European Cup Premium,Slopestyle,68,9.40
13,Ellis Jack,Male,06-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Slopestyle,38,0.90
14,Ellis Jack,Male,10-02-2023,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,38,4.20
15,Ellis Jack,Male,26-01-2023,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Slopestyle,23,34.10
16,Ellis Jack,Male,18-01-2023,Mount Snow,USA,United States Of America,FIS,Slopestyle,25,4.30
17,Ellis Jack,Male,14-02-2022,Gore Mountain,USA,United States Of America,FIS,Slopestyle,5,24.00
18,Ellis Jack,Male,04-02-2022,"Park City, UT",USA,United States Of America,FIS,Slopestyle,8,16.10
19,Ellis Jack,Male,19-03-2021,"Winter Park Resort, CO",USA,United States Of America,FIS,Slopestyle,34,0.87
