,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Faruk Omer,Male,23-03-2025,Engadin,SUI,Türkiye,Qualification,Parallel Team,32,
1,Faruk Omer,Male,23-03-2025,Engadin,SUI,Türkiye,World Championships,Parallel Team,32,
2,Faruk Omer,Male,22-03-2025,Engadin,SUI,Türkiye,World Championships,Parallel Slalom,44,17.30
3,Faruk Omer,Male,22-03-2025,Engadin,SUI,Türkiye,Qualification,Parallel Slalom,44,
4,Faruk Omer,Male,20-03-2025,Engadin,SUI,Türkiye,World Championships,Parallel Giant Slalom,46,16.70
5,Faruk Omer,Male,20-03-2025,Engadin,SUI,Türkiye,Qualification,Parallel Giant Slalom,46,
6,Faruk Omer,Male,22-01-2025,Bansko,BUL,Türkiye,European Cup,Parallel Giant Slalom,39,
7,Faruk Omer,Male,21-01-2025,Bansko,BUL,Türkiye,European Cup,Parallel Giant Slalom,28,11.60
8,Faruk Omer,Male,05-04-2024,Bansko,BUL,Türkiye,National Championships,Parallel Slalom,32,6.76
9,Faruk Omer,Male,04-04-2024,Bansko,BUL,Türkiye,National Championships,Parallel Giant Slalom,9,75.40
10,Faruk Omer,Male,18-03-2024,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Slalom,3,30.00
11,Faruk Omer,Male,17-03-2024,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Giant Slalom,1,50.00
12,Faruk Omer,Male,28-01-2024,Nova Levante - Welschnofen,ITA,Türkiye,FIS,Parallel Giant Slalom,25,9.60
13,Faruk Omer,Male,27-01-2024,Nova Levante - Welschnofen,ITA,Türkiye,FIS,Parallel Giant Slalom,38,
14,Faruk Omer,Male,26-03-2023,Villach - Gerlitzen,AUT,Türkiye,FIS,Parallel Slalom,13,44.00
15,Faruk Omer,Male,25-03-2023,Villach - Gerlitzen,AUT,Türkiye,FIS,Parallel Slalom,13,44.00
16,Faruk Omer,Male,05-02-2023,Gosau,AUT,Türkiye,FIS,Slalom,21,11.00
17,Faruk Omer,Male,04-02-2023,Gosau,AUT,Türkiye,FIS,Slalom,DNF,
18,Faruk Omer,Male,04-02-2023,Gosau,AUT,Türkiye,FIS,Slalom,16,16.50
19,Faruk Omer,Male,23-01-2023,Piancavallo,ITA,Türkiye,European Youth Olympic Festival,Parallel Giant Slalom,7,43.20
20,Faruk Omer,Male,08-01-2023,Haus im Ennstal,AUT,Türkiye,Junior,Giant Slalom,22,10.80
21,Faruk Omer,Male,07-01-2023,Haus im Ennstal,AUT,Türkiye,Junior,Parallel Giant Slalom,22,10.80
22,Faruk Omer,Male,13-03-2022,Palandoken / Erzurum,TUR,Türkiye,FIS,Parallel Slalom,1,70.00
23,Faruk Omer,Male,12-03-2022,Palandoken / Erzurum,TUR,Türkiye,FIS,Parallel Giant Slalom,8,22.40
24,Faruk Omer,Male,21-02-2021,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Slalom,5,22.50
25,Faruk Omer,Male,20-02-2021,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Slalom,5,22.50
