,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Fava Elisa,Female,26-01-2025,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,47,5.90
1,Fava Elisa,Female,25-01-2025,Rogla,SLO,Italy,Qualification,Parallel Giant Slalom,27,
2,Fava Elisa,Female,25-01-2025,Rogla,SLO,Italy,World Cup,Parallel Giant Slalom,27,45.00
3,Fava Elisa,Female,22-01-2025,Bardonecchia,ITA,Italy,Universiade,Parallel Slalom,1,220.00
4,Fava Elisa,Female,21-01-2025,Bardonecchia,ITA,Italy,Universiade,Parallel Giant Slalom,2,176.00
5,Fava Elisa,Female,19-01-2025,Bansko,BUL,Italy,Qualification,Parallel Giant Slalom,41,
6,Fava Elisa,Female,19-01-2025,Bansko,BUL,Italy,World Cup,Parallel Giant Slalom,41,18.20
7,Fava Elisa,Female,18-01-2025,Bansko,BUL,Italy,Qualification,Parallel Giant Slalom,26,
8,Fava Elisa,Female,18-01-2025,Bansko,BUL,Italy,World Cup,Parallel Giant Slalom,26,50.00
9,Fava Elisa,Female,14-01-2025,Bad Gastein,AUT,Italy,Qualification,Parallel Slalom,34,
10,Fava Elisa,Female,14-01-2025,Bad Gastein,AUT,Italy,World Cup,Parallel Slalom,34,22.00
11,Fava Elisa,Female,11-01-2025,Scuol,SUI,Italy,Qualification,Parallel Giant Slalom,35,
12,Fava Elisa,Female,11-01-2025,Scuol,SUI,Italy,World Cup,Parallel Giant Slalom,35,
13,Fava Elisa,Female,21-12-2024,Davos,SUI,Italy,Qualification,Parallel Slalom,DSQ,
14,Fava Elisa,Female,21-12-2024,Davos,SUI,Italy,World Cup,Parallel Slalom,DSQ,
15,Fava Elisa,Female,14-12-2024,Cortina d'Ampezzo,ITA,Italy,Qualification,Parallel Giant Slalom,22,
16,Fava Elisa,Female,14-12-2024,Cortina d'Ampezzo,ITA,Italy,World Cup,Parallel Giant Slalom,22,90.00
17,Fava Elisa,Female,12-12-2024,Carezza,ITA,Italy,Qualification,Parallel Giant Slalom,25,
18,Fava Elisa,Female,12-12-2024,Carezza,ITA,Italy,World Cup,Parallel Giant Slalom,25,60.00
19,Fava Elisa,Female,08-12-2024,Yanqing (NASC),CHN,Italy,World Cup,Parallel Slalom,25,60.00
20,Fava Elisa,Female,08-12-2024,Yanqing (NASC),CHN,Italy,Qualification,Parallel Slalom,25,
21,Fava Elisa,Female,07-12-2024,Yanqing (NASC),CHN,Italy,World Cup,Parallel Giant Slalom,39,
22,Fava Elisa,Female,07-12-2024,Yanqing (NASC),CHN,Italy,Qualification,Parallel Giant Slalom,39,
23,Fava Elisa,Female,01-12-2024,Mylin,CHN,Italy,World Cup,Parallel Slalom,23,80.00
24,Fava Elisa,Female,01-12-2024,Mylin,CHN,Italy,Qualification,Parallel Slalom,23,
25,Fava Elisa,Female,30-11-2024,Mylin,CHN,Italy,World Cup,Parallel Giant Slalom,25,60.00
26,Fava Elisa,Female,30-11-2024,Mylin,CHN,Italy,Qualification,Parallel Giant Slalom,25,
27,Fava Elisa,Female,17-03-2024,St. Moritz,SUI,Italy,European Cup,Parallel Slalom,17,50.40
28,Fava Elisa,Female,16-03-2024,St. Moritz,SUI,Italy,European Cup,Parallel Giant Slalom,41,6.55
29,Fava Elisa,Female,13-03-2024,Davos/Rinerhorn ,SUI,Italy,European Cup,Parallel Giant Slalom,6,96.00
30,Fava Elisa,Female,12-03-2024,Davos/Rinerhorn ,SUI,Italy,European Cup,Parallel Giant Slalom,4,180.00
31,Fava Elisa,Female,09-03-2024,Winterberg,GER,Italy,Qualification,Parallel Slalom,30,
32,Fava Elisa,Female,09-03-2024,Winterberg,GER,Italy,World Cup,Parallel Slalom,30,
33,Fava Elisa,Female,25-02-2024,Krynica,POL,Italy,Qualification,Parallel Giant Slalom,17,
34,Fava Elisa,Female,25-02-2024,Krynica,POL,Italy,World Cup,Parallel Giant Slalom,17,140.00
35,Fava Elisa,Female,24-02-2024,Krynica,POL,Italy,Qualification,Parallel Giant Slalom,19,
36,Fava Elisa,Female,24-02-2024,Krynica,POL,Italy,World Cup,Parallel Giant Slalom,19,120.00
37,Fava Elisa,Female,09-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Slalom,3,174.00
38,Fava Elisa,Female,08-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Giant Slalom,9,84.10
39,Fava Elisa,Female,28-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,3,108.00
40,Fava Elisa,Female,27-01-2024,Simonhöhe,AUT,Italy,Qualification,Parallel Giant Slalom,21,
41,Fava Elisa,Female,27-01-2024,Simonhöhe,AUT,Italy,World Cup,Parallel Giant Slalom,21,100.00
42,Fava Elisa,Female,24-01-2024,Pamporovo,BUL,Italy,European Cup,Parallel Slalom,5,130.50
43,Fava Elisa,Female,23-01-2024,Pamporovo,BUL,Italy,European Cup,Parallel Slalom,1,290.00
44,Fava Elisa,Female,21-01-2024,Pamporovo,BUL,Italy,Qualification,Parallel Slalom,16,
45,Fava Elisa,Female,21-01-2024,Pamporovo,BUL,Italy,World Cup,Parallel Slalom,16,150.00
46,Fava Elisa,Female,20-01-2024,Pamporovo,BUL,Italy,Qualification,Parallel Slalom,18,
47,Fava Elisa,Female,20-01-2024,Pamporovo,BUL,Italy,World Cup,Parallel Slalom,18,130.00
48,Fava Elisa,Female,12-01-2024,Folgaria,ITA,Italy,Qualification,Parallel Slalom,19,
49,Fava Elisa,Female,12-01-2024,Folgaria,ITA,Italy,European Cup,Parallel Slalom,19,28.80
50,Fava Elisa,Female,11-01-2024,Folgaria,ITA,Italy,Qualification,Parallel Slalom,1,
51,Fava Elisa,Female,11-01-2024,Folgaria,ITA,Italy,European Cup,Parallel Slalom,5,130.50
52,Fava Elisa,Female,22-12-2023,Moninec,CZE,Italy,FIS,Parallel Slalom,2,160.00
53,Fava Elisa,Female,21-12-2023,Moninec,CZE,Italy,FIS,Parallel Slalom,7,72.00
54,Fava Elisa,Female,20-12-2023,Moninec,CZE,Italy,European Cup,Parallel Slalom,12,57.20
55,Fava Elisa,Female,19-12-2023,Moninec,CZE,Italy,European Cup,Parallel Slalom,3,156.00
56,Fava Elisa,Female,16-12-2023,Cortina d'Ampezzo,ITA,Italy,Qualification,Parallel Giant Slalom,25,
57,Fava Elisa,Female,16-12-2023,Cortina d'Ampezzo,ITA,Italy,World Cup,Parallel Giant Slalom,25,60.00
58,Fava Elisa,Female,14-12-2023,Carezza,ITA,Italy,Qualification,Parallel Giant Slalom,22,
59,Fava Elisa,Female,14-12-2023,Carezza,ITA,Italy,World Cup,Parallel Giant Slalom,22,90.00
60,Fava Elisa,Female,09-12-2023,Götschen,GER,Italy,Qualification,Parallel Slalom,18,
61,Fava Elisa,Female,09-12-2023,Götschen,GER,Italy,European Cup,Parallel Slalom,18,46.80
62,Fava Elisa,Female,08-12-2023,Götschen,GER,Italy,Qualification,Parallel Slalom,12,
63,Fava Elisa,Female,08-12-2023,Götschen,GER,Italy,European Cup,Parallel Slalom,12,79.20
64,Fava Elisa,Female,30-03-2023,Cortina dAmpezzo,ITA,Italy,National Championships,Parallel Slalom,5,130.50
65,Fava Elisa,Female,26-03-2023,Bansko,BUL,Italy,FIS Junior World Championships,Parallel Team,4,
66,Fava Elisa,Female,25-03-2023,Bansko,BUL,Italy,FIS Junior World Championships,Parallel Slalom,7,129.60
67,Fava Elisa,Female,25-03-2023,Bansko,BUL,Italy,Qualification,Parallel Slalom,9,
68,Fava Elisa,Female,24-03-2023,Bansko,BUL,Italy,FIS Junior World Championships,Parallel Giant Slalom,7,129.60
69,Fava Elisa,Female,24-03-2023,Bansko,BUL,Italy,Qualification,Parallel Giant Slalom,8,
70,Fava Elisa,Female,19-03-2023,Ratschings,ITA,Italy,European Cup,Parallel Slalom,7,93.60
71,Fava Elisa,Female,18-03-2023,Ratschings,ITA,Italy,European Cup,Parallel Slalom,10,67.60
72,Fava Elisa,Female,12-03-2023,Davos,SUI,Italy,European Cup,Parallel Slalom,7,93.60
73,Fava Elisa,Female,11-03-2023,Davos,SUI,Italy,European Cup,Parallel Slalom,7,129.60
74,Fava Elisa,Female,05-03-2023,Zakopane,POL,Italy,European Cup,Parallel Giant Slalom,4,145.00
75,Fava Elisa,Female,04-03-2023,Zakopane,POL,Italy,European Cup,Parallel Giant Slalom,8,115.20
76,Fava Elisa,Female,26-02-2023,Simonhoehe,AUT,Italy,Junior,Parallel Giant Slalom,2,128.00
77,Fava Elisa,Female,25-02-2023,Simonhoehe,AUT,Italy,Junior,Parallel Giant Slalom,1,180.00
78,Fava Elisa,Female,19-02-2023,Bardonecchia,ITA,Italy,FIS,Parallel Slalom,2,104.00
79,Fava Elisa,Female,18-02-2023,Bardonecchia,ITA,Italy,FIS,Parallel Slalom,3,78.00
80,Fava Elisa,Female,12-02-2023,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,3,120.00
81,Fava Elisa,Female,11-02-2023,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,1,200.00
82,Fava Elisa,Female,05-02-2023,Lenzerheide,SUI,Italy,European Cup,Parallel Slalom,17,30.80
83,Fava Elisa,Female,29-01-2023,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,10,62.40
84,Fava Elisa,Female,29-01-2023,Simonhöhe,AUT,Italy,Qualification,Parallel Giant Slalom,9,
85,Fava Elisa,Female,28-01-2023,Simonhöhe,AUT,Italy,European Cup,Parallel Giant Slalom,10,62.40
86,Fava Elisa,Female,28-01-2023,Simonhöhe,AUT,Italy,Qualification,Parallel Giant Slalom,10,
87,Fava Elisa,Female,22-01-2023,Gore Mountain,USA,Italy,Universiade,Parallel Slalom,4,90.00
88,Fava Elisa,Female,22-01-2023,Gore Mountain,USA,Italy,Qualification,Parallel Slalom,6,
89,Fava Elisa,Female,21-01-2023,Gore Mountain,USA,Italy,Universiade,Parallel Giant Slalom,1,180.00
90,Fava Elisa,Female,21-01-2023,Gore Mountain,USA,Italy,Qualification,Parallel Giant Slalom,5,
91,Fava Elisa,Female,15-01-2023,Alleghe,ITA,Italy,European Cup,Parallel Slalom,7,79.20
92,Fava Elisa,Female,15-01-2023,Alleghe,ITA,Italy,Qualification,Parallel Slalom,8,
93,Fava Elisa,Female,14-01-2023,Alleghe,ITA,Italy,European Cup,Parallel Slalom,1,200.00
94,Fava Elisa,Female,14-01-2023,Alleghe,ITA,Italy,Qualification,Parallel Slalom,3,
95,Fava Elisa,Female,08-01-2023,Haus im Ennstal,AUT,Italy,Junior,Giant Slalom,4,60.00
96,Fava Elisa,Female,07-01-2023,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,2,104.00
97,Fava Elisa,Female,18-12-2022,Hochfügen,GER,Italy,European Cup,Parallel Giant Slalom,23,16.00
98,Fava Elisa,Female,18-12-2022,Hochfügen,GER,Italy,Qualification,Parallel Giant Slalom,23,
99,Fava Elisa,Female,17-12-2022,Hochfügen,GER,Italy,European Cup,Parallel Giant Slalom,28,8.00
100,Fava Elisa,Female,12-04-2022,Chiesa Valmalenco,ITA,Italy,National Championships,Parallel Slalom,8,64.00
101,Fava Elisa,Female,11-04-2022,Chiesa Valmalenco,ITA,Italy,National Championships,Parallel Giant Slalom,3,120.00
102,Fava Elisa,Female,01-04-2022,Chiesa in Valmalenco,ITA,Italy,FIS Junior World Championships,Parallel Slalom,8,115.20
103,Fava Elisa,Female,31-03-2022,Chiesa in Valmalenco,ITA,Italy,FIS Junior World Championships,Parallel Giant Slalom,19,43.20
104,Fava Elisa,Female,20-03-2022,Senales - Schnals,ITA,Italy,Junior,Parallel Slalom,6,56.00
105,Fava Elisa,Female,19-03-2022,Senales - Schnals,ITA,Italy,Junior,Parallel Slalom,6,56.00
106,Fava Elisa,Female,17-03-2022,Rogla,SLO,Italy,European Cup,Parallel Giant Slalom,20,39.60
107,Fava Elisa,Female,13-03-2022,Pizol,SUI,Italy,Junior,Parallel Slalom,11,31.20
108,Fava Elisa,Female,12-03-2022,Pizol,SUI,Italy,Junior,Parallel Slalom,9,37.70
109,Fava Elisa,Female,06-03-2022,Lachtal,AUT,Italy,European Cup,Parallel Giant Slalom,27,16.20
110,Fava Elisa,Female,05-03-2022,Lachtal,AUT,Italy,European Cup,Parallel Giant Slalom,46,
111,Fava Elisa,Female,27-02-2022,Simonhöhe,AUT,Italy,FIS,Parallel Giant Slalom,12,39.60
112,Fava Elisa,Female,26-02-2022,Simonhöhe,AUT,Italy,FIS,Parallel Giant Slalom,16,27.00
113,Fava Elisa,Female,20-02-2022,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,9,52.20
114,Fava Elisa,Female,19-02-2022,Funes - Vilnoess,ITA,Italy,FIS,Parallel Giant Slalom,8,70.40
115,Fava Elisa,Female,06-02-2022,Lenzerheide,SUI,Italy,European Cup,Parallel Slalom,DNF,
116,Fava Elisa,Female,05-02-2022,Lenzerheide,SUI,Italy,European Cup,Parallel Slalom,14,46.80
117,Fava Elisa,Female,30-01-2022,Davos,SUI,Italy,European Cup,Parallel Slalom,15,38.40
118,Fava Elisa,Female,29-01-2022,Davos,SUI,Italy,European Cup,Parallel Slalom,14,43.20
119,Fava Elisa,Female,23-01-2022,Bukovel,UKR,Italy,European Cup,Parallel Giant Slalom,17,36.40
120,Fava Elisa,Female,22-01-2022,Bukovel,UKR,Italy,European Cup,Parallel Giant Slalom,17,36.40
121,Fava Elisa,Female,20-01-2022,Bukovel,UKR,Italy,National Championships,Parallel Slalom,6,88.00
122,Fava Elisa,Female,19-01-2022,Bukovel,UKR,Italy,National Championships,Parallel Giant Slalom,10,57.20
123,Fava Elisa,Female,09-01-2022,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,10,33.80
124,Fava Elisa,Female,08-01-2022,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,9,37.70
125,Fava Elisa,Female,21-12-2021,Moninec,CZE,Italy,FIS,Parallel Slalom,8,57.60
126,Fava Elisa,Female,20-12-2021,Moninec,CZE,Italy,FIS,Parallel Slalom,8,57.60
127,Fava Elisa,Female,19-12-2021,Moninec,CZE,Italy,European Cup,Parallel Slalom,39,
128,Fava Elisa,Female,18-12-2021,Moninec,CZE,Italy,European Cup,Parallel Slalom,19,24.00
129,Fava Elisa,Female,16-12-2021,Carezza,ITA,Italy,Qualification,Parallel Giant Slalom,52,
130,Fava Elisa,Female,16-12-2021,Carezza,ITA,Italy,World Cup,Parallel Giant Slalom,52,
131,Fava Elisa,Female,12-12-2021,Götschen,GER,Italy,European Cup,Parallel Slalom,31,5.60
132,Fava Elisa,Female,11-12-2021,Götschen,GER,Italy,European Cup,Parallel Slalom,30,6.40
133,Fava Elisa,Female,31-03-2021,Villnöss,ITA,Italy,National Championships,Parallel Giant Slalom,11,69.60
134,Fava Elisa,Female,30-03-2021,Villnöss,ITA,Italy,National Championships,Parallel Slalom,19,34.80
135,Fava Elisa,Female,28-03-2021,Villnöss - Funes,ITA,Italy,FIS,Parallel Slalom,6,88.00
136,Fava Elisa,Female,27-03-2021,Villnöss - Funes,ITA,Italy,FIS,Parallel Giant Slalom,12,48.40
137,Fava Elisa,Female,21-03-2021,Pizol,SUI,Italy,Junior,Parallel Slalom,3,30.00
138,Fava Elisa,Female,20-03-2021,Pizol,SUI,Italy,Junior,Parallel Slalom,5,54.00
139,Fava Elisa,Female,07-03-2021,Simonhöhe,AUT,Italy,Junior,Parallel Giant Slalom,12,39.60
140,Fava Elisa,Female,06-03-2021,Simonhöhe,AUT,Italy,Junior,Parallel Giant Slalom,12,35.20
141,Fava Elisa,Female,28-02-2021,Funes/Villnoesses,ITA,Italy,European Cup,Parallel Giant Slalom,15,28.80
142,Fava Elisa,Female,27-02-2021,Funes/Villnoesses,ITA,Italy,European Cup,Parallel Giant Slalom,28,8.80
143,Fava Elisa,Female,07-02-2021,Gosau,AUT,Italy,FIS,Parallel Slalom,DSQ,
144,Fava Elisa,Female,06-02-2021,Gosau,AUT,Italy,FIS,Parallel Slalom,9,20.30
145,Fava Elisa,Female,23-01-2021,Haus im Ennstal,AUT,Italy,Junior,Parallel Slalom,DSQ,
146,Fava Elisa,Female,22-01-2021,Haus im Ennstal,AUT,Italy,Junior,Parallel Slalom,3,54.00
147,Fava Elisa,Female,10-01-2021,Goetschen,GER,Italy,Junior,Parallel Slalom,16,24.00
148,Fava Elisa,Female,09-01-2021,Goetschen,GER,Italy,Junior,Parallel Slalom,25,7.20
149,Fava Elisa,Female,23-02-2020,Funes/Villnoesses,ITA,Italy,FIS,Parallel Giant Slalom,28,8.80
150,Fava Elisa,Female,22-02-2020,Funes/Villnoesses,ITA,Italy,FIS,Parallel Giant Slalom,22,19.80
151,Fava Elisa,Female,19-01-2020,Alleghe,ITA,Italy,FIS,Parallel Slalom,15,25.60
152,Fava Elisa,Female,18-01-2020,Alleghe,ITA,Italy,FIS,Parallel Slalom,13,32.00
153,Fava Elisa,Female,21-12-2019,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,6,28.00
154,Fava Elisa,Female,20-12-2019,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,8,22.40
155,Fava Elisa,Female,15-12-2019,Cortina d Ampezzo,ITA,Italy,Junior,Parallel Slalom,15,25.60
156,Fava Elisa,Female,14-12-2019,Cortina d Ampezzo,ITA,Italy,Junior,Parallel Slalom,13,14.00
157,Fava Elisa,Female,27-03-2019,Piancavallo,ITA,Italy,National Championships,Parallel Giant Slalom,22,26.10
158,Fava Elisa,Female,26-03-2019,Piancavallo,ITA,Italy,National Championships,Parallel Slalom,23,23.20
159,Fava Elisa,Female,02-12-2018,Pfelders,ITA,Italy,FIS,Parallel Giant Slalom,19,26.40
160,Fava Elisa,Female,01-12-2018,Pfelders,ITA,Italy,FIS,Parallel Giant Slalom,25,13.20
