,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Fedchenko Diana,Female,11-02-2022,Sunny Valley,RUS,Russia,FIS,Halfpipe,2,39.00
1,Fedchenko Diana,Female,10-02-2022,Sunny Valley,RUS,Russia,FIS,Halfpipe,2,39.00
2,Fedchenko Diana,Female,23-01-2022,Sunny valley,RUS,Russia,FIS,Big Air,28,1.80
3,Fedchenko Diana,Female,21-01-2022,Sunny valley,RUS,Russia,FIS,Slopestyle,17,12.60
4,Fedchenko Diana,Female,21-12-2021,Nechkino,RUS,Russia,FIS,Snowboard Cross,21,10.00
5,Fedchenko Diana,Female,08-12-2021,"Gornaya Salanga, Kemerovo, Russia",RUS,Russia,FIS,Slopestyle,5,29.30
6,Fedchenko Diana,Female,07-12-2021,"Gornaya Salanga, Kemerovo, Russia",RUS,Russia,FIS,Slopestyle,7,19.20
7,Fedchenko Diana,Female,23-04-2021,Sochi,RUS,Russia,FIS,Slopestyle,13,0.11
8,Fedchenko Diana,Female,21-04-2021,Sochi,RUS,Russia,National Championships,Slopestyle,9,17.61
9,Fedchenko Diana,Female,20-04-2021,Sochi,RUS,Russia,National Championships,Big Air,DNS,
10,Fedchenko Diana,Female,02-04-2021,Krasnojarsk,RUS,Russia,National Championships,Halfpipe,5,17.53
11,Fedchenko Diana,Female,31-03-2021,Krasnojarsk,RUS,Russia,National Junior Championships,Halfpipe,1,10.00
12,Fedchenko Diana,Female,23-03-2021,Krasnoyarsk ,RUS,Russia,FIS Junior World Championships,Halfpipe,4,78.36
13,Fedchenko Diana,Female,22-03-2021,Krasnoyarsk ,RUS,Russia,Qualification,Halfpipe,4,
14,Fedchenko Diana,Female,26-03-2019,Sochi,RUS,Russia,European Cup,Slopestyle,6,64.00
