,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Federspieler Sofia,Female,10-03-2024,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,16,16.50
1,Federspieler Sofia,Female,09-03-2024,Senales - Schnals,ITA,Italy,FIS,Parallel Slalom,11,26.40
2,Federspieler Sofia,Female,24-02-2024,Alleghe,ITA,Italy,Junior,Parallel Giant Slalom,11,33.60
3,Federspieler Sofia,Female,09-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Slalom,23,23.20
4,Federspieler Sofia,Female,08-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Giant Slalom,25,17.40
5,Federspieler Sofia,Female,04-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,18,18.20
6,Federspieler Sofia,Female,03-02-2024,Haus im Ennstal,AUT,Italy,Junior,Parallel Giant Slalom,23,11.20
7,Federspieler Sofia,Female,28-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,26,9.00
8,Federspieler Sofia,Female,27-01-2024,Nova Levante - Welschnofen,ITA,Italy,FIS,Parallel Giant Slalom,22,16.20
9,Federspieler Sofia,Female,05-01-2024,Simonhöhe,AUT,Italy,Junior,Parallel Giant Slalom,19,16.80
10,Federspieler Sofia,Female,30-03-2023,Cortina dAmpezzo,ITA,Italy,National Championships,Parallel Slalom,21,29.00
