,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Fox Max,Male,21-03-2025,"Mammoth Mountain, CA",USA,United States Of America,Nor-Am Cup,Big Air,8,43.50
1,Fox Max,Male,20-03-2025,"Mammoth Mountain, CA",USA,United States Of America,Nor-Am Cup,Slopestyle,31,12.90
2,Fox Max,Male,13-03-2025,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,1,50.00
3,Fox Max,Male,12-02-2025,Aspen / Highlands,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,25,30.10
4,Fox Max,Male,13-01-2025,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,19,21.50
5,Fox Max,Male,04-03-2024,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Slopestyle,8,17.90
6,Fox Max,Male,28-02-2024,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,2,41.50
7,Fox Max,Male,16-02-2024,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,45,4.70
8,Fox Max,Male,31-01-2024,Mount Snow,USA,United States Of America,FIS,Slopestyle,1,50.00
9,Fox Max,Male,18-01-2023,Mount Snow,USA,United States Of America,FIS,Slopestyle,32,1.80
