,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Freeman Luis,Male,08-03-2025,Montafon/Gargellen,AUT,Canada,European Cup,Parallel Giant Slalom,DSQ,
1,Freeman Luis,Male,06-03-2025,Zakopane/Suche,POL,Canada,Qualification,Parallel Slalom Team,4,
2,Freeman Luis,Male,06-03-2025,Zakopane/Suche,POL,Canada,FIS Junior World Championships,Parallel Slalom Team,4,
3,Freeman Luis,Male,05-03-2025,Zakopane/Suche,POL,Canada,FIS Junior World Championships,Parallel Slalom,10,67.60
4,Freeman Luis,Male,05-03-2025,Zakopane/Suche,POL,Canada,Qualification,Parallel Slalom,7,
5,Freeman Luis,Male,04-03-2025,Zakopane/Suche,POL,Canada,Qualification,Parallel Giant Slalom,17,
6,Freeman Luis,Male,04-03-2025,Zakopane/Suche,POL,Canada,FIS Junior World Championships,Parallel Giant Slalom,17,36.40
7,Freeman Luis,Male,02-03-2025,Krynica,POL,Canada,Qualification,Parallel Giant Slalom,53,
8,Freeman Luis,Male,02-03-2025,Krynica,POL,Canada,World Cup,Parallel Giant Slalom,53,
9,Freeman Luis,Male,01-03-2025,Krynica,POL,Canada,Qualification,Parallel Giant Slalom,49,
10,Freeman Luis,Male,01-03-2025,Krynica,POL,Canada,World Cup,Parallel Giant Slalom,49,15.80
11,Freeman Luis,Male,20-02-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,4,110.00
12,Freeman Luis,Male,19-02-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,4,110.00
13,Freeman Luis,Male,16-02-2025,Val St. Come,CAN,Canada,Qualification,Parallel Giant Slalom,36,
14,Freeman Luis,Male,16-02-2025,Val St. Come,CAN,Canada,World Cup,Parallel Giant Slalom,36,19.70
15,Freeman Luis,Male,15-02-2025,Val St. Come,CAN,Canada,Qualification,Parallel Giant Slalom,34,
16,Freeman Luis,Male,15-02-2025,Val St. Come,CAN,Canada,World Cup,Parallel Giant Slalom,34,22.00
17,Freeman Luis,Male,06-02-2025,Toronto Ski Club,CAN,Canada,Nor-Am Cup,Parallel Slalom,3,144.00
18,Freeman Luis,Male,05-02-2025,Toronto Ski Club,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,9,63.80
19,Freeman Luis,Male,25-01-2025,Horseshoe Resort,CAN,Canada,FIS,Parallel Slalom,2,56.00
20,Freeman Luis,Male,17-01-2025,Afton Alps Ski Area,USA,Canada,Nor-Am Cup,Parallel Slalom,1,160.00
21,Freeman Luis,Male,17-01-2025,Afton Alps Ski Area,USA,Canada,FIS,Parallel Slalom,2,56.00
22,Freeman Luis,Male,16-01-2025,Afton Alps Ski Area,USA,Canada,Nor-Am Cup,Parallel Slalom,2,128.00
23,Freeman Luis,Male,10-01-2025,"Howelsen Hill - Steamboat, CO",USA,Canada,Nor-Am Cup,Parallel Giant Slalom,1,160.00
24,Freeman Luis,Male,09-01-2025,"Howelsen Hill - Steamboat, CO",USA,Canada,Nor-Am Cup,Parallel Giant Slalom,1,160.00
25,Freeman Luis,Male,08-01-2025,"Howelsen Hill - Steamboat, CO",USA,Canada,FIS,Giant Slalom,1,90.00
26,Freeman Luis,Male,04-01-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,19,
27,Freeman Luis,Male,03-01-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,8,76.80
28,Freeman Luis,Male,02-04-2024,"Copper Mountain, CO",USA,Canada,National Championships,Parallel Slalom,8,83.20
29,Freeman Luis,Male,01-04-2024,"Copper Mountain, CO",USA,Canada,National Championships,Parallel Giant Slalom,12,57.20
30,Freeman Luis,Male,31-03-2024,"Copper Mountain, CO",USA,Canada,National Championships,Snowboard Cross,9,14.50
31,Freeman Luis,Male,24-03-2024,Lachtal,AUT,Canada,FIS Junior World Championships,Parallel Slalom Team,19,
32,Freeman Luis,Male,23-03-2024,Lachtal,AUT,Canada,Qualification,Parallel Slalom,30,
33,Freeman Luis,Male,23-03-2024,Lachtal,AUT,Canada,FIS Junior World Championships,Parallel Slalom,30,7.68
34,Freeman Luis,Male,22-03-2024,Lachtal,AUT,Canada,FIS Junior World Championships,Parallel Giant Slalom,19,28.80
35,Freeman Luis,Male,22-03-2024,Lachtal,AUT,Canada,Qualification,Parallel Giant Slalom,19,
36,Freeman Luis,Male,17-03-2024,St. Moritz,SUI,Canada,European Cup,Parallel Slalom,DSQ,
