,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Furrer Laurin,Male,08-02-2025,Reiteralm,AUT,Switzerland,European Cup,Snowboard Cross,10,
1,Furrer Laurin,Male,31-01-2025,St. Lary,FRA,Switzerland,European Cup,Snowboard Cross,10,46.80
2,Furrer Laurin,Male,24-01-2025,Puy St. Vincent,FRA,Switzerland,European Cup,Snowboard Cross,9,52.20
3,Furrer Laurin,Male,23-01-2025,Puy St. Vincent,FRA,Switzerland,European Cup,Snowboard Cross,9,58.00
4,Furrer Laurin,Male,12-01-2025,Lenk,SUI,Switzerland,Junior Regional Cup,Snowboard Cross,4,60.00
5,Furrer Laurin,Male,27-11-2024,Pitztal,AUT,Switzerland,Qualification,Snowboard Cross,52,
6,Furrer Laurin,Male,27-11-2024,Pitztal,AUT,Switzerland,European Cup,Snowboard Cross,52,5.36
7,Furrer Laurin,Male,07-04-2024,Gudauri,GEO,Switzerland,FIS Junior World Championships,Snowboard Cross Team,6,
8,Furrer Laurin,Male,06-04-2024,Gudauri,GEO,Switzerland,FIS Junior World Championships,Snowboard Cross,15,57.60
9,Furrer Laurin,Male,05-04-2024,Gudauri,GEO,Switzerland,Qualification,Snowboard Cross,17,
10,Furrer Laurin,Male,24-03-2024,Lenk,SUI,Switzerland,National Championships,Snowboard Cross,7,43.20
11,Furrer Laurin,Male,22-03-2024,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,20,26.40
12,Furrer Laurin,Male,21-03-2024,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,10,62.40
13,Furrer Laurin,Male,14-03-2024,Isola 2000,FRA,Switzerland,European Cup,Snowboard Cross,3,120.00
14,Furrer Laurin,Male,13-03-2024,Isola 2000,FRA,Switzerland,European Cup,Snowboard Cross,7,72.00
15,Furrer Laurin,Male,11-03-2024,Isola 2000,FRA,Switzerland,Junior,Snowboard Cross,4,75.00
16,Furrer Laurin,Male,02-03-2024,St. Moritz,SUI,Switzerland,National Junior Championships,Snowboard Cross,1,70.00
17,Furrer Laurin,Male,25-02-2024,Grasgehren,GER,Switzerland,European Cup,Snowboard Cross,13,58.00
18,Furrer Laurin,Male,24-02-2024,Grasgehren,GER,Switzerland,European Cup,Snowboard Cross,19,38.40
19,Furrer Laurin,Male,17-02-2024,Colere,ITA,Switzerland,European Cup,Snowboard Cross,10,62.40
20,Furrer Laurin,Male,16-02-2024,Colere,ITA,Switzerland,European Cup,Snowboard Cross,24,16.80
21,Furrer Laurin,Male,06-02-2024,Reiteralm,AUT,Switzerland,European Cup,Snowboard Cross,10,52.00
22,Furrer Laurin,Male,05-02-2024,Reiteralm,AUT,Switzerland,European Cup,Snowboard Cross,2,160.00
23,Furrer Laurin,Male,01-02-2024,Dolni Morava,CZE,Switzerland,European Cup,Snowboard Cross,18,28.60
24,Furrer Laurin,Male,31-01-2024,Dolni Morava,CZE,Switzerland,European Cup,Snowboard Cross,40,4.07
25,Furrer Laurin,Male,28-01-2024,Puy St. Vincent,FRA,Switzerland,European Cup,Snowboard Cross,28,8.00
26,Furrer Laurin,Male,27-01-2024,Puy St. Vincent,FRA,Switzerland,European Cup,Snowboard Cross,12,44.00
27,Furrer Laurin,Male,20-01-2024,Montafon,AUT,Switzerland,National Championships,Snowboard Cross,27,13.05
28,Furrer Laurin,Male,09-12-2023,Pitztal,AUT,Switzerland,FIS,Snowboard Cross,6,56.00
29,Furrer Laurin,Male,01-04-2023,St. Moritz,SUI,Switzerland,National Championships,Snowboard Cross,5,130.50
30,Furrer Laurin,Male,31-03-2023,Passo San Pellegrino,ITA,Switzerland,FIS Junior World Championships,Snowboard Cross Team,8,
31,Furrer Laurin,Male,30-03-2023,Passo San Pellegrino,ITA,Switzerland,FIS Junior World Championships,Snowboard Cross,17,44.80
32,Furrer Laurin,Male,19-03-2023,Passo San Pellegrino,ITA,Switzerland,FIS,Snowboard Cross,20,19.80
33,Furrer Laurin,Male,18-03-2023,Passo San Pellegrino,ITA,Switzerland,FIS,Snowboard Cross,24,12.60
34,Furrer Laurin,Male,12-03-2023,Lenk,SUI,Switzerland,National Junior Championships,Snowboard Cross,17,12.60
35,Furrer Laurin,Male,19-02-2023,Flumserberg,SUI,Switzerland,Junior,Snowboard Cross,7,39.60
36,Furrer Laurin,Male,18-02-2023,Flumserberg,SUI,Switzerland,Junior,Snowboard Cross,5,49.50
37,Furrer Laurin,Male,05-02-2023,Dolni Morava,CZE,Switzerland,Junior,Snowboard Cross,3,30.00
38,Furrer Laurin,Male,04-02-2023,Dolni Morava,CZE,Switzerland,Junior,Snowboard Cross,6,20.00
39,Furrer Laurin,Male,03-02-2023,Dolni Morava,CZE,Switzerland,FIS,Snowboard Cross,9,26.10
40,Furrer Laurin,Male,26-01-2023,Piancavallo,ITA,Switzerland,European Youth Olympic Festival,Snowboard Cross,8,22.40
41,Furrer Laurin,Male,14-01-2023,Lenk,SUI,Switzerland,FIS,Snowboard Cross,7,18.00
42,Furrer Laurin,Male,08-01-2023,Isola 2000,FRA,Switzerland,Junior,Snowboard Cross,17,16.80
43,Furrer Laurin,Male,07-01-2023,Isola 2000,FRA,Switzerland,Junior,Snowboard Cross,5,22.50
44,Furrer Laurin,Male,06-01-2023,Isola 2000,FRA,Switzerland,European Cup,Snowboard Cross,16,36.00
45,Furrer Laurin,Male,27-11-2022,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,17,22.40
46,Furrer Laurin,Male,26-11-2022,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,18,23.40
47,Furrer Laurin,Male,25-11-2022,Pitztal,AUT,Switzerland,FIS,Snowboard Cross,94,0.51
48,Furrer Laurin,Male,24-11-2022,Pitztal,AUT,Switzerland,European Cup,Snowboard Cross,81,1.49
49,Furrer Laurin,Male,23-11-2022,Pitztal,AUT,Switzerland,Qualification,Snowboard Cross,81,
50,Furrer Laurin,Male,09-03-2022,Lenk,SUI,Switzerland,Junior,Snowboard Cross,16,7.50
51,Furrer Laurin,Male,04-03-2022,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,21,12.00
52,Furrer Laurin,Male,03-03-2022,Pitztal,AUT,Switzerland,European Cup,Snowboard Cross,33,8.64
53,Furrer Laurin,Male,02-03-2022,Pitztal,AUT,Switzerland,European Cup,Snowboard Cross,52,5.36
54,Furrer Laurin,Male,27-02-2022,Flumserberg,SUI,Switzerland,FIS,Snowboard Cross,17,7.00
55,Furrer Laurin,Male,26-02-2022,Flumserberg,SUI,Switzerland,FIS,Snowboard Cross,7,18.00
56,Furrer Laurin,Male,20-02-2022,Passo San Pellegrino,ITA,Switzerland,Junior,Snowboard Cross,5,31.50
57,Furrer Laurin,Male,19-02-2022,Passo San Pellegrino,ITA,Switzerland,Junior,Snowboard Cross,13,14.00
58,Furrer Laurin,Male,13-02-2022,Grasgehren,GER,Switzerland,Junior,Snowboard Cross,33,2.88
59,Furrer Laurin,Male,12-02-2022,Grasgehren,GER,Switzerland,Junior,Snowboard Cross,25,7.20
60,Furrer Laurin,Male,20-03-2021,Pizol,SUI,Switzerland,Junior,Parallel Slalom,16,7.50
61,Furrer Laurin,Male,28-02-2021,Lenk,SUI,Switzerland,FIS,Snowboard Cross,5,22.50
62,Furrer Laurin,Male,24-01-2021,Reiteralm,AUT,Switzerland,FIS,Snowboard Cross,25,4.20
63,Furrer Laurin,Male,23-01-2021,Reiteralm,AUT,Switzerland,FIS,Snowboard Cross,32,1.82
64,Furrer Laurin,Male,16-01-2021,Crans-Montana,SUI,Switzerland,FIS,Snowboard Cross,33,5.28
