,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Gabuldani Nikolozi,Male,22-03-2025,St. Anton,AUT,Georgia,FIS,Slopestyle,12,15.00
1,Gabuldani Nikolozi,Male,09-03-2025,Gubalowka,POL,Georgia,FIS,Big Air,5,21.60
2,Gabuldani Nikolozi,Male,08-03-2025,Gubalowka,POL,Georgia,FIS,Slopestyle,4,26.70
3,Gabuldani Nikolozi,Male,16-02-2025,Biatka Tatrzanska,POL,Georgia,FIS,Slopestyle,7,12.80
4,Gabuldani Nikolozi,Male,15-02-2025,Biatka Tatrzanska,POL,Georgia,FIS,Big Air,6,16.50
5,Gabuldani Nikolozi,Male,09-02-2025,Mayrhofen,AUT,Georgia,FIS,Slopestyle,11,13.80
6,Gabuldani Nikolozi,Male,10-02-2024,Donovaly,SVK,Georgia,FIS,Slopestyle,7,0.10
7,Gabuldani Nikolozi,Male,02-02-2024,Gubalowka,POL,Georgia,FIS,Big Air,9,9.10
8,Gabuldani Nikolozi,Male,01-02-2024,Gubalowka,POL,Georgia,FIS,Slopestyle,12,3.20
9,Gabuldani Nikolozi,Male,23-11-2023,Glacier 3000,SUI,Georgia,FIS,Slopestyle,26,2.30
10,Gabuldani Nikolozi,Male,27-01-2023,Ravascletto - Zoncolan,ITA,Georgia,European Youth Olympic Festival,Slopestyle,20,3.00
11,Gabuldani Nikolozi,Male,24-01-2023,Ravascletto - Zoncolan,ITA,Georgia,European Youth Olympic Festival,Big Air,19,3.10
