,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Galler Fabio,Male,01-12-2024,Pitztal,AUT,Austria,Junior,Snowboard Cross,31,3.36
1,Galler Fabio,Male,30-11-2024,Pitztal,AUT,Austria,Junior,Snowboard Cross,44,2.08
2,Galler Fabio,Male,30-11-2024,Pitztal,AUT,Austria,Qualification,Snowboard Cross,44,
3,Galler Fabio,Male,07-04-2024,Pitztal,AUT,Austria,Junior,Snowboard Cross,5,22.50
4,Galler Fabio,Male,06-04-2024,Pitztal,AUT,Austria,Junior,Snowboard Cross,5,22.50
5,Galler Fabio,Male,09-03-2024,Colere,ITA,Austria,FIS,Snowboard Cross,13,10.00
6,Galler Fabio,Male,02-03-2024,Reiteralm,AUT,Austria,Junior,Snowboard Cross,10,23.40
7,Galler Fabio,Male,01-03-2024,Reiteralm,AUT,Austria,Junior,Snowboard Cross,13,18.00
8,Galler Fabio,Male,04-02-2024,Colere,ITA,Austria,Junior,Snowboard Cross,7,18.00
9,Galler Fabio,Male,03-02-2024,Colere,ITA,Austria,Junior,Snowboard Cross,13,10.00
10,Galler Fabio,Male,28-01-2024,Grasgehren,GER,Austria,Junior,Snowboard Cross,20,12.10
11,Galler Fabio,Male,27-01-2024,Grasgehren,GER,Austria,Junior,Snowboard Cross,26,2.50
12,Galler Fabio,Male,17-12-2023,Reiteralm,AUT,Austria,Junior,Snowboard Cross,21,7.00
13,Galler Fabio,Male,09-12-2023,Pitztal,AUT,Austria,Junior,Snowboard Cross,38,1.91
