,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Gams Marie,Female,16-02-2025,Funes/Villnoess,ITA,Austria,Junior Regional Cup,Parallel Giant Slalom,6,72.00
1,Gams Marie,Female,15-02-2025,Funes/Villnoess,ITA,Austria,Junior Regional Cup,Parallel Giant Slalom,1,180.00
2,Gams Marie,Female,09-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Slalom,9,84.10
3,Gams Marie,Female,08-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Giant Slalom,7,104.40
4,Gams Marie,Female,26-01-2025,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,27,16.20
5,Gams Marie,Female,25-01-2025,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,36,
6,Gams Marie,Female,22-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,22,32.40
7,Gams Marie,Female,21-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,33,8.64
8,Gams Marie,Female,12-01-2025,Nova Levante - Welschnofen,ITA,Austria,FIS,Parallel Giant Slalom,17,19.60
9,Gams Marie,Female,11-01-2025,Folgaria,ITA,Austria,European Cup,Parallel Giant Slalom,27,
10,Gams Marie,Female,11-01-2025,Folgaria,ITA,Austria,Qualification,Parallel Giant Slalom,27,
11,Gams Marie,Female,10-01-2025,Folgaria,ITA,Austria,European Cup,Parallel Giant Slalom,DNF,
12,Gams Marie,Female,06-01-2025,Simonhoehe,AUT,Austria,Junior Regional Cup,Parallel Giant Slalom,4,70.00
13,Gams Marie,Female,05-01-2025,Simonhoehe,AUT,Austria,Junior Regional Cup,Parallel Giant Slalom,4,70.00
14,Gams Marie,Female,22-12-2024,Moninec,CZE,Austria,FIS,Parallel Slalom,30,5.76
15,Gams Marie,Female,21-12-2024,Moninec,CZE,Austria,FIS,Parallel Slalom,22,14.40
16,Gams Marie,Female,20-12-2024,Moninec,CZE,Austria,European Cup,Parallel Slalom,12,52.80
17,Gams Marie,Female,19-12-2024,Moninec,CZE,Austria,European Cup,Parallel Slalom,1,240.00
18,Gams Marie,Female,15-12-2024,Götschen,GER,Austria,European Cup,Parallel Slalom,7,86.40
19,Gams Marie,Female,14-12-2024,Götschen,GER,Austria,European Cup,Parallel Slalom,15,35.20
20,Gams Marie,Female,24-03-2024,Lachtal,AUT,Austria,FIS Junior World Championships,Parallel Slalom Team,6,
21,Gams Marie,Female,23-03-2024,Lachtal,AUT,Austria,Qualification,Parallel Slalom,5,
22,Gams Marie,Female,23-03-2024,Lachtal,AUT,Austria,FIS Junior World Championships,Parallel Slalom,3,144.00
23,Gams Marie,Female,22-03-2024,Lachtal,AUT,Austria,FIS Junior World Championships,Parallel Giant Slalom,4,120.00
24,Gams Marie,Female,22-03-2024,Lachtal,AUT,Austria,Qualification,Parallel Giant Slalom,13,
25,Gams Marie,Female,10-03-2024,Senales - Schnals,ITA,Austria,FIS,Parallel Slalom,7,39.60
26,Gams Marie,Female,09-03-2024,Senales - Schnals,ITA,Austria,FIS,Parallel Slalom,8,35.20
27,Gams Marie,Female,24-02-2024,Alleghe,ITA,Austria,Junior,Parallel Giant Slalom,3,84.00
28,Gams Marie,Female,10-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Slalom,8,92.80
29,Gams Marie,Female,09-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Giant Slalom,9,84.10
30,Gams Marie,Female,04-02-2024,Haus im Ennstal,AUT,Austria,Junior,Parallel Giant Slalom,7,50.40
31,Gams Marie,Female,03-02-2024,Haus im Ennstal,AUT,Austria,Junior,Parallel Giant Slalom,6,56.00
32,Gams Marie,Female,28-01-2024,Nova Levante - Welschnofen,ITA,Austria,FIS,Parallel Giant Slalom,15,28.80
33,Gams Marie,Female,27-01-2024,Nova Levante - Welschnofen,ITA,Austria,FIS,Parallel Giant Slalom,19,21.60
34,Gams Marie,Female,05-01-2024,Simonhöhe,AUT,Austria,Junior,Parallel Giant Slalom,6,56.00
35,Gams Marie,Female,22-12-2023,Moninec,CZE,Austria,Junior,Parallel Slalom,2,56.00
36,Gams Marie,Female,21-12-2023,Moninec,CZE,Austria,Junior,Parallel Slalom,2,88.00
37,Gams Marie,Female,20-12-2023,Moninec,CZE,Austria,European Cup,Parallel Slalom,DSQ,
38,Gams Marie,Female,19-12-2023,Moninec,CZE,Austria,European Cup,Parallel Slalom,DSQ,
39,Gams Marie,Female,10-12-2023,Götschen,GER,Austria,Junior,Parallel Slalom,12,35.20
40,Gams Marie,Female,09-12-2023,Götschen,GER,Austria,European Cup,Parallel Slalom,21,36.00
41,Gams Marie,Female,09-12-2023,Götschen,GER,Austria,Qualification,Parallel Slalom,21,
42,Gams Marie,Female,08-12-2023,Götschen,GER,Austria,Qualification,Parallel Slalom,19,
43,Gams Marie,Female,08-12-2023,Götschen,GER,Austria,European Cup,Parallel Slalom,19,43.20
44,Gams Marie,Female,02-04-2023,Haus im Ennstal,AUT,Austria,National Championships,Parallel Slalom,9,84.10
45,Gams Marie,Female,01-04-2023,Haus im Ennstal,AUT,Austria,National Championships,Parallel Giant Slalom,4,145.00
46,Gams Marie,Female,26-03-2023,Bansko,BUL,Austria,FIS Junior World Championships,Parallel Team,17,
47,Gams Marie,Female,25-03-2023,Bansko,BUL,Austria,Qualification,Parallel Slalom,29,
48,Gams Marie,Female,25-03-2023,Bansko,BUL,Austria,FIS Junior World Championships,Parallel Slalom,29,12.96
49,Gams Marie,Female,24-03-2023,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,24,
50,Gams Marie,Female,24-03-2023,Bansko,BUL,Austria,FIS Junior World Championships,Parallel Giant Slalom,24,25.20
51,Gams Marie,Female,12-03-2023,ORTISEI,ITA,Austria,FIS,Giant Slalom,9,29.00
52,Gams Marie,Female,11-03-2023,ORTISEI,ITA,Austria,FIS,Giant Slalom,13,20.00
53,Gams Marie,Female,05-03-2023,Val Senales,ITA,Austria,FIS,Parallel Slalom,10,28.60
54,Gams Marie,Female,04-03-2023,Val Senales,ITA,Austria,FIS,Parallel Slalom,19,
55,Gams Marie,Female,26-02-2023,Simonhoehe,AUT,Austria,Junior,Parallel Giant Slalom,11,38.40
56,Gams Marie,Female,25-02-2023,Simonhoehe,AUT,Austria,Junior,Parallel Giant Slalom,11,43.20
57,Gams Marie,Female,12-02-2023,Funes - Vilnoess,ITA,Austria,FIS,Parallel Giant Slalom,20,22.00
58,Gams Marie,Female,11-02-2023,Funes - Vilnoess,ITA,Austria,FIS,Parallel Giant Slalom,18,26.00
59,Gams Marie,Female,05-02-2023,Gosau,AUT,Austria,FIS,Slalom,5,40.50
60,Gams Marie,Female,04-02-2023,Gosau,AUT,Austria,FIS,Slalom,6,36.00
61,Gams Marie,Female,04-02-2023,Gosau,AUT,Austria,FIS,Slalom,1,90.00
62,Gams Marie,Female,29-01-2023,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,36,4.73
63,Gams Marie,Female,29-01-2023,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,36,
64,Gams Marie,Female,28-01-2023,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,25,14.40
65,Gams Marie,Female,28-01-2023,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,25,
