,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Garandel Liam,Male,10-04-2025,Corvatsch,SUI,France,European Cup Premium,Slopestyle,60,43.10
1,Garandel Liam,Male,03-04-2025,Kitzsteinhorn,AUT,France,European Cup,Big Air,23,59.70
2,Garandel Liam,Male,01-04-2025,Kitzsteinhorn,AUT,France,European Cup,Rail Event,DNS,
3,Garandel Liam,Male,21-03-2025,St. Anton,AUT,France,European Cup,Big Air,13,34.20
4,Garandel Liam,Male,11-03-2025,Laax,SUI,France,European Cup Premium,Slopestyle,22,52.00
5,Garandel Liam,Male,05-03-2025,Prato Nevoso,ITA,France,European Cup,Big Air,20,5.90
6,Garandel Liam,Male,19-01-2025,Bardonecchia,ITA,France,Universiade,Big Air,12,11.80
7,Garandel Liam,Male,17-01-2025,Bardonecchia,ITA,France,Universiade,Slopestyle,3,67.30
8,Garandel Liam,Male,11-01-2025,Prato Nevoso,ITA,France,European Cup,Slopestyle,18,29.80
9,Garandel Liam,Male,06-01-2025,Font Romeu,FRA,France,FIS,Rail Event,24,3.40
10,Garandel Liam,Male,05-01-2025,Font Romeu,FRA,France,European Cup Premium,Slopestyle,34,18.80
11,Garandel Liam,Male,14-04-2024,Corvatsch,SUI,France,European Cup Premium,Big Air,51,48.90
12,Garandel Liam,Male,12-04-2024,Corvatsch,SUI,France,European Cup Premium,Slopestyle,91,15.90
13,Garandel Liam,Male,07-04-2024,Vars,FRA,France,National Championships,Big Air,7,30.30
14,Garandel Liam,Male,05-04-2024,Vars,FRA,France,National Championships,Slopestyle,10,37.50
15,Garandel Liam,Male,30-03-2024,Livigno/Mottolino,ITA,France,FIS Junior World Championships,Big Air,21,40.90
16,Garandel Liam,Male,28-03-2024,Livigno/Mottolino,ITA,France,Qualification,Big Air,6,
17,Garandel Liam,Male,26-03-2024,Livigno/Mottolino,ITA,France,FIS Junior World Championships,Slopestyle,50,11.10
18,Garandel Liam,Male,26-03-2024,Livigno/Mottolino,ITA,France,Qualification,Slopestyle,17,
19,Garandel Liam,Male,15-03-2024,Tignes,FRA,France,World Cup,Slopestyle,26,133.70
20,Garandel Liam,Male,15-03-2024,Tignes,FRA,France,Qualification,Slopestyle,17,
21,Garandel Liam,Male,22-02-2024,Prato Nevoso,ITA,France,European Cup,Slopestyle,10,93.20
22,Garandel Liam,Male,17-01-2024,Livigno,ITA,France,Junior,Slopestyle,3,41.50
23,Garandel Liam,Male,05-01-2024,Font Romeu,FRA,France,European Cup,Big Air,12,61.60
24,Garandel Liam,Male,04-01-2024,Font Romeu,FRA,France,European Cup Premium,Slopestyle,50,17.10
25,Garandel Liam,Male,04-09-2023,Cardrona,NZL,France,FIS Junior World Championships,Big Air,21,59.20
26,Garandel Liam,Male,02-09-2023,Cardrona,NZL,France,Qualification,Big Air,10,
27,Garandel Liam,Male,30-08-2023,Cardrona,NZL,France,FIS Junior World Championships,Slopestyle,40,32.60
28,Garandel Liam,Male,28-08-2023,Cardrona,NZL,France,Qualification,Slopestyle,22,
29,Garandel Liam,Male,22-04-2023,Kitzsteinhorn,AUT,France,European Cup,Big Air,19,49.40
30,Garandel Liam,Male,21-04-2023,Kitzsteinhorn,AUT,France,European Cup,Slopestyle,33,27.00
31,Garandel Liam,Male,17-04-2023,Corvatsch,SUI,France,European Cup Premium,Big Air,47,23.40
32,Garandel Liam,Male,14-04-2023,Corvatsch,SUI,France,European Cup Premium,Slopestyle,39,54.00
33,Garandel Liam,Male,01-04-2023,Isola 2000,FRA,France,National Championships,Big Air,3,81.70
34,Garandel Liam,Male,17-03-2023,Laax,SUI,France,European Cup Premium,Slopestyle,36,66.10
35,Garandel Liam,Male,08-02-2023,Font Romeu,FRA,France,Junior,Slopestyle,3,48.30
36,Garandel Liam,Male,04-02-2023,Font Romeu,FRA,France,European Cup,Big Air,10,46.30
37,Garandel Liam,Male,02-02-2023,Font Romeu,FRA,France,European Cup,Slopestyle,24,21.90
38,Garandel Liam,Male,13-03-2022,Leysin,SUI,France,FIS Junior World Championships,Slopestyle,60,7.00
39,Garandel Liam,Male,19-02-2022,Sunrise Park Grau Roig,AND,France,National Championships,Big Air,1,50.00
40,Garandel Liam,Male,06-02-2022,Guzet,FRA,France,Junior,Slopestyle,3,33.20
41,Garandel Liam,Male,04-02-2022,Font Romeu,FRA,France,FIS,Slopestyle,13,21.00
42,Garandel Liam,Male,03-02-2022,Font Romeu,FRA,France,European Cup,Slopestyle,27,7.90
43,Garandel Liam,Male,23-01-2022,Prato Nevoso,ITA,France,European Cup,Slopestyle,11,66.60
44,Garandel Liam,Male,18-01-2022,Livigno,ITA,France,Junior,Slopestyle,11,15.60
45,Garandel Liam,Male,06-03-2021,Götschen,GER,France,FIS,Big Air,19,7.30
46,Garandel Liam,Male,04-03-2021,Flachauwinkel,AUT,France,European Cup,Big Air,52,2.93
47,Garandel Liam,Male,12-02-2021,La Quillane,FRA,France,FIS,Big Air,4,28.06
48,Garandel Liam,Male,11-02-2021,La Quillane,FRA,France,FIS,Big Air,6,19.41
49,Garandel Liam,Male,01-11-2020,Madrid Snowzone,ESP,France,FIS,Slopestyle,10,6.81
50,Garandel Liam,Male,01-11-2020,Madrid Snowzone,ESP,France,FIS,Slopestyle,8,11.52
51,Garandel Liam,Male,02-02-2020,La Quillane,FRA,France,FIS,Big Air,12,24.20
52,Garandel Liam,Male,01-02-2020,La Quillane,FRA,France,FIS,Big Air,23,8.80
53,Garandel Liam,Male,19-01-2020,Vars,FRA,France,European Cup,Slopestyle,58,
54,Garandel Liam,Male,18-01-2020,Vars,FRA,France,European Cup,Big Air,48,2.58
